ID,名称
ID,Name
1000,날씨
1001,지역
1002,위치
1003,쪽으로
1004,관점
1005,숫자 값
1006,좌표 성분
1007,각도 단위
1008,고정 기본 로그
1009,반올림 방법
1010,
1011,손상 유형
1012,예 아니오
1013,스위치
1014,부울
1015,최대 최소값
1016,비교 계산기
1017,수학적 연산자
1018,플레이어
1019,플레이어 그룹
1020,플레이어 속성
1021,움직임 상태
1022,플레이어 설정
1023,팀
1024,팀 속성
1025,블록 유형
1026,블록 설정
1027,소품
1028,항목 유형
1029,발사체 유형
1030,드롭
1031,생물학
1032,생물학적 유형
1033,바이오메스
1034,생물학적 작용 상태
1035,생물학적 특성
1036,생물학적 설정
1037,상태
1038,트리거
1039,트리거 그룹
1040,타이머
1041,애니메이션 표현
1042,개인 변수
1043,삼각함수
1044,발사체
1045,효과 유형
1046,음향 효과
1047,방향
1048,개체
1049,톤
1050,스크립트
1051,키
1052,바로 가기 막대 버튼
1053,임의의 값
1054,장비 열
1055,장비 유형
1056,색상
1057,그래픽 정보
1058,그래픽 정보 유형
1059,상품
1060,외모 유형
1061,임의 그룹
1062,위치 그룹
1063,지역 그룹
1064,숫자 그룹
1065,문자열 그룹
1066,부울 값 그룹
1067,블록 유형 그룹
1068,항목 유형 그룹
1069,생물학적 유형 그룹
1070,타이머 그룹
1071,효과 유형 그룹
1072,정렬
1073,비디오 링크
1074,인터페이스
1075,구성 요소
1076,패턴 템플릿
1077,모바일 모드
1078,시간 단위
1079,페이지 상태
1080,음악
1081,일시 중지 재개
1082,디스플레이 패널
1083,글로벌 개체
1084,리더보드
1085,테이블
1086,재생 모드
1087,조건
1088,논리 중지
1089,액션 빌딩 블록
1090,메시지
1091,정수
1092,승리 상태
1093,디스플레이 상태
1094,유사성 감지 모드
1095,빌딩 블록 감지 모드
1096,매개 변수 감지 모드
1097,프로그래밍 개체
1098,빌딩 블록 답변
1099,항목 속성
1100,드롭 방법
1101,페이지 지정
1102,액션 재생 모드
1103,항목 라이브러리
1104,소품 바
1105,배낭 소품 바
1106,개체 유형
1107,청사진
1108,각도
1109,거울 이미지
1110,규칙 재정의
1111,게임 플레이 리더보드
1112,완화 곡선
1113,폭과 높이
1114,0
1115,모션 그래픽 표시
1116,모션 그래픽 숨기기
1117,모션 그래픽
1118,텍스트 모션 그래픽 선택
1119,2D 좌표 성분
1120,증가 또는 감소
1121,구성 요소 모션 그래픽
1122,텍스트 모션 그래픽
1123,구성 요소의 부드러운 이동
1124,스카이 박스 시간
1125,스카이박스 지도
1126,스카이 박스 색상
1127,스카이 박스 파라미터
1128,환경 입자 매개 변수
1129,필터 파라미터
1130,카메라 설정
1131,회전 모드
1132,카메라 속성
1133,축방향
1134,스카이 박스 템플릿
1135,색상 보정
1136,필터 템플릿
1137,지형 그룹
1138,스킨 굿즈
1139,스카이 박스 스위치
1140,필터 스위치
1201,대상 그룹
1203,중단 규칙 - 조건 변경 시 트리거
1204,병렬 처리 성공 규칙
1205,병렬 실패 규칙
1206,팀 관계
1207,실제 팀
1208,팀
1209,방위
1210,지도 평가
