ID,名称
ID,Name
10001,아이콘 2
10002,아이콘 1
10003,
10004,
10005,아이콘 169
10006,아이콘 170
10007,아이콘 171
10008,아이콘 26
10009,아이콘 172
10010,아이콘 27
10011,태그 2
10012,태그 1
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,버튼 3
10022,베이스 플레이트 49
10023,베이스 플레이트 78
10024,버튼 46
10025,버튼 47
10026,버튼 48
10027,라벨 61
10028,버튼 4
10029,버튼 5
10030,버튼 6
10031,베이스 플레이트 30
10032,베이스 플레이트 40
10033,베이스 플레이트 41
10034,베이스 플레이트 42
10035,베이스 플레이트 43
10036,베이스 플레이트 44
10037,베이스 플레이트 45
10038,베이스 플레이트 46
10039,베이스 플레이트 47
10040,베이스 플레이트 48
10041,라벨 11
10042,배경 커버 1
10043,베이스 플레이트 59
10044,배경 커버 2
10045,배경 커버 3
10046,배경 커버 4
10047,베이스 플레이트 97
10048,배경 커버 5
10049,배경 커버 6
10050,베이스 플레이트 60
10051,
10052,
10053,
10054,
10055,
10056,
10057,
10058,
10059,
10060,
10061,
10062,
10063,
10064,
10065,
10066,아이콘 173
10067,아이콘 174
10068,아이콘 28
10069,아이콘 175
10070,아이콘 176
10071,아이콘 29
10072,아이콘 177
10073,아이콘 178
10074,아이콘 30
10075,아이콘 179
10076,아이콘 31
10077,아이콘 32
10078,아이콘 33
10079,아이콘 34
10080,아이콘 35
10081,아이콘 36
10082,아이콘 37
10083,아이콘 38
10084,아이콘 39
10085,아이콘 180
10086,아이콘 181
10087,아이콘 182
10088,아이콘 183
10089,아이콘 40
10090,아이콘 156
10091,아이콘 157
10092,아이콘 41
10093,아이콘 42
10094,아이콘 184
10095,아이콘 43
10096,아이콘 44
10097,아이콘 45
10098,아이콘 46
10099,아이콘 47
10100,아이콘 48
10101,아이콘 49
10102,아이콘 50
10103,아이콘 51
10104,아이콘 52
10105,아이콘 53
10106,아이콘 54
10107,아이콘 55
10108,아이콘 56
10109,아이콘 57
10110,아이콘 58
10111,아이콘 59
10112,아이콘 60
10113,아이콘 61
10114,아이콘 104
10115,아이콘 105
10116,아이콘 15
10117,라벨 12
10118,라벨 13
10119,라벨 14
10120,태그 15
10121,태그 16
10122,라벨 17
10123,라벨 18
10124,라벨 19
10125,태그 20
10126,라벨 21
10127,태그 22
10128,라벨 23
10129,라벨 24
10130,태그 25
10131,라벨 26
10132,라벨 27
10133,라벨 28
10134,라벨 29
10135,라벨 30
10136,라벨 31
10137,라벨 32
10138,태그 33
10139,라벨 34
10140,버튼 7
10141,버튼 8
10142,버튼 9
10143,버튼 10
10144,버튼 11
10145,버튼 12
10146,버튼 13
10147,버튼 49
10148,라벨 62
10149,라벨 63
10150,버튼 50
10151,버튼 51
10152,버튼 52
10153,버튼 53
10154,베이스 플레이트 61
10155,버튼 67
10156,버튼 68
10157,버튼 69
10158,버튼 70
10159,버튼 71
10160,버튼 72
10161,버튼 14
10162,베이스 플레이트 50
10163,버튼 15
10164,버튼 16
10165,버튼 17
10166,버튼 73
10167,버튼 74
10168,버튼 75
10169,버튼 18
10170,버튼 76
10171,버튼 77
10172,버튼 78
10173,버튼 39
10174,베이스 플레이트 80
10175,베이스 플레이트 81
10176,베이스 플레이트 82
10177,베이스 플레이트 83
10178,베이스 플레이트 84
10179,라벨 36
10180,라벨 37
10181,베이스 플레이트 62
10182,베이스 플레이트 63
10183,베이스 플레이트 64
10184,베이스 플레이트 8
10185,베이스 플레이트 65
10186,베이스 플레이트 9
10187,베이스 플레이트 66
10188,베이스 플레이트 67
10189,베이스 플레이트 10
10190,베이스 플레이트 11
10191,베이스 플레이트 68
10192,베이스 플레이트 85
10193,베이스 플레이트 86
10194,베이스 플레이트 12
10195,베이스 플레이트 13
10196,베이스 플레이트 14
10197,베이스 플레이트 15
10198,베이스 플레이트 16
10199,베이스 플레이트 17
10200,베이스 플레이트 18
10201,배경 커버 7
10202,배경 커버 8
10203,배경 커버 9
10204,배경 커버 10
10205,배경 커버 11
10206,배경 커버 12
10207,배경 커버 13
10208,배경 커버 14
10209,배경 커버 15
10210,배경 커버 16
10211,배경 커버 17
10212,배경 커버 18
10213,배경 표지 19
10214,배경 커버 20
10215,배경 커버 21
10216,배경 커버 22
10217,배경 커버 23
10218,배경 커버 24
10219,배경 커버 25
10220,배경 커버 26
10221,배경 커버 27
10222,배경 커버 28
10223,배경 커버 29
10224,배경 커버 30
10225,배경 커버 31
10226,배경 커버 32
10227,배경 커버 33
10228,배경 커버 34
10229,배경 커버 35
10230,배경 커버 36
10231,배경 커버 37
10232,배경 커버 38
10233,배경 커버 39
10234,배경 커버 40
10235,배경 커버 41
10236,배경 커버 42
10237,배경 커버 43
10238,배경 커버 44
10239,배경 커버 45
10240,배경 커버 46
10241,배경 커버 47
10242,배경 커버 48
10243,배경 커버 49
10244,배경 커버 50
10245,배경 커버 51
10246,배경 커버 52
10247,배경 커버 53
10248,배경 커버 54
10249,배경 커버 55
10250,배경 커버 56
10251,배경 커버 57
10252,배경 커버 58
10253,배경 커버 59
10254,배경 커버 60
10255,배경 커버 61
10256,배경 커버 62
10257,배경 커버 63
10258,배경 커버 64
10259,배경 커버 65
10260,버튼 81
10261,버튼 82
10262,버튼 88
10263,버튼 89
10264,버튼 90
10265,버튼 100
10266,
10267,
10268,
10269,
10270,
10271,
10272,
10273,
10274,
10275,
10276,베이스 플레이트 94
10277,베이스 플레이트 69
10278,베이스 플레이트 70
10279,베이스 플레이트 19
10280,베이스 플레이트 20
10281,베이스 플레이트 21
10282,베이스 플레이트 22
10283,베이스 플레이트 71
10284,베이스 플레이트 87
10285,베이스 플레이트 72
10286,베이스 플레이트 79
10287,아이콘 62
10288,베이스 플레이트 88
10289,베이스 플레이트 89
10290,베이스 플레이트 90
10291,베이스 플레이트 91
10292,베이스 플레이트 23
10293,베이스 플레이트 24
10294,베이스 플레이트 25
10295,베이스 플레이트 26
10296,베이스 플레이트 27
10297,베이스 플레이트 28
10298,베이스 플레이트 29
10299,라벨 38
10300,태그 42
10301,베이스 플레이트 95
10302,라벨 43
10303,라벨 44
10304,태그 45
10305,라벨 46
10306,태그 47
10307,라벨 48
10308,태그 49
10309,라벨 50
10310,라벨 51
10311,태그 52
10312,라벨 53
10313,태그 54
10314,태그 55
10315,라벨 56
10316,라벨 57
10317,버튼 101
10318,버튼 102
10319,버튼 103
10320,버튼 104
10321,버튼 105
10322,버튼 106
10323,버튼 107
10324,버튼 108
10325,
10326,
10327,
10328,아이콘 155
10329,아이콘 158
10330,아이콘 159
10331,아이콘 63
10332,아이콘 64
10333,아이콘 65
10334,아이콘 66
10335,아이콘 67
10336,아이콘 68
10337,아이콘 69
10338,아이콘 70
10339,아이콘 71
10340,아이콘 72
10341,아이콘 73
10342,아이콘 74
10343,아이콘 75
10344,아이콘 76
10345,아이콘 77
10346,아이콘 78
10347,아이콘 79
10348,아이콘 80
10349,아이콘 81
10350,아이콘 82
10351,아이콘 83
10352,아이콘 84
10353,아이콘 85
10354,
10355,
10356,
10357,
10358,
10359,아이콘 86
10360,아이콘 87
10361,아이콘 88
10362,아이콘 89
10363,아이콘 90
10364,아이콘 91
10365,아이콘 92
10366,아이콘 93
10367,아이콘 94
10368,아이콘 95
10369,아이콘 96
10370,아이콘 97
10371,아이콘 98
10372,아이콘 99
10373,아이콘 100
10374,아이콘 101
10375,아이콘 102
10376,아이콘 103
10377,버튼 109
10378,버튼 110
10379,버튼 111
10380,버튼 112
10381,버튼 113
10382,버튼 114
10383,버튼 115
10384,버튼 116
10385,버튼 117
10386,버튼 118
10387,버튼 119
10388,버튼 120
10389,버튼 121
10390,버튼 122
10391,버튼 123
10392,버튼 124
10393,버튼 125
10394,버튼 126
10395,버튼 127
10396,버튼 128
10397,버튼 129
10398,버튼 130
10399,버튼 131
10400,베이스 플레이트 73
10401,베이스 플레이트 51
10402,버튼 132
10403,베이스 플레이트 74
10404,버튼 91
10405,버튼 133
10406,버튼 134
10407,버튼 135
10408,버튼 80
10409,버튼 136
10410,
10411,버튼 94
10412,버튼 83
10413,버튼 84
10414,버튼 85
10415,버튼 86
10416,버튼 87
10417,버튼 139
10418,버튼 93
10419,버튼 95
10420,버튼 96
10421,버튼 97
10422,버튼 98
10423,버튼 99
10424,버튼 79
10425,아이콘 106
10426,아이콘 107
10427,아이콘 108
10428,아이콘 109
10429,아이콘 110
10430,아이콘 111
10431,아이콘 112
10432,아이콘 113
10433,아이콘 160
10434,아이콘 161
10435,아이콘 114
10436,아이콘 115
10437,아이콘 116
10438,아이콘 117
10439,아이콘 162
10440,아이콘 163
10441,아이콘 118
10442,아이콘 119
10443,아이콘 120
10444,아이콘 121
10445,아이콘 122
10446,아이콘 123
10447,아이콘 124
10448,아이콘 125
10449,아이콘 126
10450,아이콘 127
10451,아이콘 185
10452,아이콘 186
10453,아이콘 128
10454,아이콘 187
10455,아이콘 188
10456,아이콘 189
10457,아이콘 190
10458,아이콘 191
10459,아이콘 192
10460,아이콘 193
10461,아이콘 194
10462,아이콘 195
10463,아이콘 129
10464,아이콘 196
10465,아이콘 197
10466,아이콘 198
10467,아이콘 199
10468,아이콘 200
10469,아이콘 201
10470,아이콘 202
10471,아이콘 203
10472,아이콘 204
10473,아이콘 205
10474,아이콘 206
10475,아이콘 130
10476,아이콘 164
10477,아이콘 165
10478,아이콘 207
10479,아이콘 208
10480,아이콘 209
10481,아이콘 210
10482,아이콘 211
10483,아이콘 212
10484,아이콘 213
10485,아이콘 229
10486,아이콘 214
10487,아이콘 215
10488,아이콘 216
10489,아이콘 230
10490,아이콘 131
10491,아이콘 166
10492,아이콘 167
10493,아이콘 217
10494,아이콘 132
10495,아이콘 133
10496,아이콘 134
10497,아이콘 135
10498,아이콘 231
10499,아이콘 232
10500,아이콘 233
10501,아이콘 234
10502,아이콘 235
10503,아이콘 236
10504,아이콘 237
10505,아이콘 218
10506,아이콘 219
10507,아이콘 220
10508,아이콘 221
10509,아이콘 238
10510,아이콘 239
10511,아이콘 168
10512,아이콘 240
10513,아이콘 136
10514,아이콘 137
10515,아이콘 138
10516,베이스 플레이트 92
10517,베이스 플레이트 93
10518,버튼 19
10519,버튼 20
10520,베이스 플레이트 52
10521,버튼 21
10522,버튼 22
10523,버튼 23
10524,버튼 25
10525,베이스 플레이트 53
10526,버튼 137
10527,버튼 138
10528,
10529,
10530,
10531,
10532,
10533,
10534,
10535,
10536,
10537,
10538,
10539,
10540,
10541,
10542,
10543,
10544,
10545,
10546,
10547,
10548,
10549,
10550,
10551,
10552,화면 데칼_콜드 1
10553,스크린 데칼_콜드 2
10554,화면 데칼_동결
10555,화면 데칼_핫 1
10556,화면 데칼_핫 2
10557,화면 데칼_번
10558,
10559,
10560,
10561,
10562,
10563,
10564,
10565,
10566,
10567,
10568,
10569,
10570,
20001,배경 커버 66
20002,배경 커버 67
20003,버튼 54
20004,배경 커버 68
20005,버튼 26
20006,버튼 27
20007,버튼 28
20008,베이스 플레이트 54
20009,베이스 플레이트 55
20010,배경 커버 69
20011,배경 커버 70
20012,배경 커버 71
20013,버튼 29
20014,버튼 30
20015,버튼 31
20016,버튼 32
20017,버튼 33
20018,버튼 34
20019,버튼 35
20020,버튼 36
20021,버튼 37
20022,버튼 38
20023,버튼 40
20024,버튼 55
20025,라벨 35
20026,아이콘 222
20027,아이콘 223
20028,버튼 56
20029,버튼 57
20030,버튼 58
20031,버튼 59
20032,버튼 60
20033,아이콘 139
20034,아이콘 224
20035,아이콘 140
20036,버튼 61
20037,버튼 62
20038,버튼 63
20039,아이콘 141
20040,아이콘 142
20041,아이콘 143
20042,아이콘 225
20043,아이콘 144
20044,아이콘 145
20045,아이콘 226
20046,아이콘 227
20047,아이콘 146
20048,아이콘 147
20049,아이콘 5
20050,버튼 64
20051,버튼 65
20052,베이스 플레이트 96
20053,베이스 플레이트 31
20054,베이스 플레이트 32
20055,베이스 플레이트 33
20056,베이스 플레이트 34
20057,베이스 플레이트 35
20058,베이스 플레이트 36
20059,베이스 플레이트 37
20060,베이스 플레이트 38
20061,베이스 플레이트 56
20062,베이스 플레이트 57
20063,아이콘 148
20064,아이콘 149
20065,태그 58
20066,라벨 59
20067,배경 커버 72
20068,라벨 60
20069,아이콘 6
20070,버튼 66
21001,베이스 플레이트 39
21002,태그 64
21003,아이콘 7
21004,아이콘 8
21005,아이콘 150
21006,태그 65
21007,아이콘 9
21008,아이콘 10
21009,아이콘 151
21010,아이콘 11
21011,아이콘 152
21012,아이콘 12
21013,아이콘 153
21014,아이콘 13
21015,아이콘 228
21016,태그 66
21017,아이콘 154
21018,베이스 플레이트 75
21019,라벨 67
21020,국경 19
21021,아이콘 14
21022,아이콘 16
21023,아이콘 17
21024,아이콘 18
21025,아이콘 19
21026,아이콘 20
21027,아이콘 21
21028,아이콘 22
21029,아이콘 23
22001,베이스 플레이트 76
22002,배경 커버 73
22003,라벨 68
22004,버튼 24
22005,태그 69
22006,라벨 70
22007,라벨 71
22008,라벨 72
22009,라벨 73
22010,라벨 74
22011,국경 20
22012,아이콘 24
22013,아이콘 25
22014,베이스 플레이트 1
22015,베이스 플레이트 2
22016,베이스 플레이트 3
22017,베이스 플레이트 4
22018,베이스 플레이트 5
22019,베이스 플레이트 6
22020,베이스 플레이트 7
22021,태그 75
22022,라벨 76
22023,라벨 77
22024,라벨 78
22025,라벨 79
22026,태그 80
22027,라벨 81
22028,텍스트 16
22029,라벨 39
23001,버튼 1
23002,버튼 2
23003,라벨 40
23004,라벨 41
23005,배경 커버 74
23006,배경 커버 75
23007,배경 커버 76
23008,베이스 플레이트 58
23009,베이스 플레이트 77
23010,버튼 41
23011,버튼 42
23012,버튼 43
23013,버튼 44
23014,버튼 45
24001,
24002,
24003,
24004,
24005,
24006,
30001,하늘 1
30002,스카이 2
30003,스카이 3
30004,스카이 4
30005,스카이 5
30006,스카이 6
30007,스카이 7
30008,스카이 8
30009,스카이 9
30010,스카이 10
30011,스카이 11
30012,스카이 12
30101,태양 1
30102,태양 2
30103,태양 3
30104,태양 4
30105,태양 5
30201,달 1
30202,달 2
30203,달 3
30204,달 4
30205,달 5
