ID,名称
ID,name
11311,대변
11423,소외된 거대한 코코넛 잎
11603,저급 공격符문
11604,중급 공격 룬
11605,고급 공격 룬
11606,저급 방어 룬문
11607,중급 방어 룬
11608,고급 방어룬
11609,저급 효율 룬문자
11610,중급 효율 룬
11611,고급 효율 룬
11657,빛나는 야광 스틱
12615,생 다시마
12616,보물 지도 유리 병
13600,랜턴 물고기
13602,광선
13604,옅은 푸른 벙어리 물고기
13605,짙은 파란색 벙어리 물고기
13606,검은 벙어리 물고기
13607,옅은 푸른 이상한 물고기
13608,분홍색 못생긴 물고기
13609,황금 벙어리 물고기
13610,황금 치트피쉬
13611,황금 못생긴 물고기
13612,핑크 벙어리 물고기
13613,노란 키키 물고기
13614,보라색 못생긴 물고기
13615,그린 치트피쉬
13616,줄무늬 못생긴 물고기
13617,붉은 치트피쉬
13618,붉은 벙어리 물고기
13619,주황색 못생긴 물고기
13621,게
13623,해마
13624,작은 해마
13626,해파리
13627,날치
13628,상어
13629,가오리
13630,야광봉 해조류 물고기
245,수생식물
247,떠다니는 꽃잎
248,플로팅 플랭크
250,로터스
27,멀리 드리프트 병
295,큰 코코넛
314,적조류
486,케이프 산호
487,케이프 표백 산호
488,버블 코랄
489,표백 버블 산호
490,디스크 산호
491,표백 디스크 산호
492,나무 산호
493,알비노 나무 산호
