角色ID,韩语,韩语,韩语,韩语,韩语
ID,Name,Desc,GeniusName,GeniusDesc,BuyTips
1,장,모든 곳의 탐험을 좋아하고 부족 지역을 확장하고자 하는 원시 부족의 대장.,강인성,기본 대미지 증가 (활성화되지 않음),@Null@
2,장,모든 곳의 탐험을 좋아하고 부족 지역을 확장하고자 하는 원시 부족의 대장.,강인성1,기본 대미지 +5,@Null@
3,장,모든 곳의 탐험을 좋아하고 부족 지역을 확장하고자 하는 원시 부족의 대장.,강인성2,기본 대미지 +10,@Null@
4,대장의 아내,사냥을 잘하는 근육질의 원시시대 어머니,사냥 마스터 ,사냥 획득 증가(활성화되지 않음),@Null@
5,대장의 아내,사냥을 잘하는 근육질의 원시시대 어머니,사냥 마스터1,몬스터 처지 시 더블 드롭을얻을 확률 25%,@Null@
6,대장의 아내,사냥을 잘하는 근육질의 원시시대 어머니,사냥 마스터2,몬스터 처치 시 더블/트리플드롭을 얻을 확률 25%/15%,@Null@
7,KaKa,그는 원시 부족에서 자라났고 야생에서 살아남을 수 있는 능력을 가졌습니다.,완강함,원거리 공격에 의한 대미지 감소,@Null@
8,KaKa,그는 원시 부족에서 자라났고 야생에서 살아남을 수 있는 능력을 가졌습니다.,완강함 1,원거리 공격에 의한 대미지 감소 20% 감소(활성화 되지 않음),@Null@
9,KaKa,그는 원시 부족에서 자라났고 야생에서 살아남을 수 있는 능력을 가졌습니다.,완강함 2,원거리 공격에 의한 대미지 감소 40% 감소(활성화되지 않음),@Null@
10,Nini,특히 노동을 즐겨하는 근면 성실한 원시 시대의 여동생.,근면,줍기 속도 증가(활성화되지 않음),@Null@
11,Nini,특히 노동을 즐겨하는 근면 성실한 원시 시대의 여동생.,근면 1,수집 속도 50% 증가,@Null@
12,Nini,특히 노동을 즐겨하는 근면 성실한 원시 시대의 여동생.,근면 2,수집 속도 100% 증가,@Null@
13,야생의 아이,모두는 야생의 아이를 가지고 있습니다. 잠깐! 손에 무엇을 들고 있죠?,폭탄 천재,폭발 대미지 감소(활성화 되지 않음),@Null@
14,야생의 아이,모두는 야생의 아이를 가지고 있습니다. 잠깐! 손에 무엇을 들고 있죠?,폭탄 천재1,폭발 대미지 20% 감소,@Null@
15,야생의 아이,모두는 야생의 아이를 가지고 있습니다. 잠깐! 손에 무엇을 들고 있죠?,폭탄 천재 2,폭발 대미지 40% 감소,@Null@
16,캡틴 Tom,"세계 평화 유지군의 전역 군인, 생존 및 사격에 능함.",현장 생존,음식 효과 및 수중 호흡 향상(활성화되지 안흠),과채들에서 잠금 해제 도구들을 얻을 수 있습니다.
17,캡틴 Tom,"세계 평화 유지군의 전역 군인, 생존 및 사격에 능함.",현장 생존 1,포만 /건강 회복 및 수중 호흡 시간 15% 증가,과채들에서 잠금 해제 도구들을 얻을 수 있습니다.
18,캡틴 Tom,"세계 평화 유지군의 전역 군인, 생존 및 사격에 능함.",현장 생존 2,포만/건강 회복 및 수중 호흡 시간 15%증가,과채들에서 잠금 해제 도구들을 얻을 수 있습니다.
19,중개상 Laura,흥미로운 모험을 좋아하는 보안 회사의 여신.,예언,1회 동안 치명적 대미지 면역(활성화되지 않음),과채들에서 잠금 해제 도구들을 얻을 수 있습니다.
20,중개상 Laura,흥미로운 모험을 좋아하는 보안 회사의 여신.,예언 1,취해진 손상이 45 점 이상인 경우 사망을 일으키는 경우 건강 값의 25 %가 즉시 재생성됩니다. 트리거 간격은 5 분입니다.,과채들에서 잠금 해제 도구들을 얻을 수 있습니다.
21,중개상 Laura,흥미로운 모험을 좋아하는 보안 회사의 여신.,예언 2,취해진 피해가 25 점보다 크고 죽음을 일으키는 경우 즉시 50 % 건강으로 재생성되며 트리거 간격은 3 분입니다.,과채들에서 잠금 해제 도구들을 얻을 수 있습니다.
22,개구쟁이 Cindy,원시 시대 고고학 팀의 예민한 파일럿,슈퍼 점프,점프 능력 강화 레벨 11에서 더블 점프를 할 수 있습니다,과채들에서 잠금 해제 도구들을 얻을 수 있습니다.
23,개구쟁이 Cindy,원시 시대 고고학 팀의 예민한 파일럿,슈퍼 점프 1,"점프 높이 +50%, 추락 대미지 -10",과채들에서 잠금 해제 도구들을 얻을 수 있습니다.
24,개구쟁이 Cindy,원시 시대 고고학 팀의 예민한 파일럿,슈퍼 점프 2,"점프 높이 +50%, 추락 대미지 -20 더블 점프 가능",과채들에서 잠금 해제 도구들을 얻을 수 있습니다.
25,조력자 Peter,완벽한 졸업 논문을 위해 고고학 팀에 참여하였습니다.,뜻밖의 재미,항아리를깨뜨리면 다양한 아이템들을 발견할 수 있습니다(활성화되지않음),과채들에서 잠금 해제 도구들을 얻을 수 있습니다.
26,조력자 Peter,완벽한 졸업 논문을 위해 고고학 팀에 참여하였습니다.,뜻밖의 재미1,항아리를 깨뜨리면 18% 확률로 희귀 아이템들을 발견할 수 있습니다,과채들에서 잠금 해제 도구들을 얻을 수 있습니다.
27,조력자 Peter,완벽한 졸업 논문을 위해 고고학 팀에 참여하였습니다.,뜻밖의 재미2,항아리를 깨뜨리면 27% 확률로 더욱 희귀한 물질과 특수 큐브를 발견할 수 있습니다,과채들에서 잠금 해제 도구들을 얻을 수 있습니다.
28,Stephen 교수,국립 과학 대학교 교수는 왜 이런 야생 지역에 나타났을까요?,대단한 배움,돌을 캘 때 다양한아이템들을 발견할 수 있습니다(활성화되지 않음),과채들에서 잠금 해제 도구들을 얻을 수 있습니다.
29,Stephen 교수,국립 과학 대학교 교수는 왜 이런 야생 지역에 나타났을까요?,대단한 배움1,돌을 캘 때 4% 확률로 희귀 광석과 물질들을 발견할 수 있습니다,과채들에서 잠금 해제 도구들을 얻을 수 있습니다.
