签到类型/1七天 2每周 3国庆活动,天数/周几,韩语,韩语
SignInType,WhatDay,RewardName,RewardTips
1,1,맑음&비 불꽃놀이,팩을 확인하십시오
1,2,안전,팩을 확인하십시오
1,3,별 선물 상자,팩을 확인하십시오
1,4,작은 별 불꽃놀이,팩을 확인하십시오
1,5,맑음&비 불꽃놀이,팩을 확인하십시오
1,6,별 선물 상자,팩을 확인하십시오
1,7,미니 선물 팩,팩을 확인하십시오
2,1,달걀 행운 가방,팩을 확인하십시오
2,2,드래스 업 패키지,팩을 확인하십시오
2,3,별 선물 상자,팩을 확인하십시오
2,4,드래스 업 패키지,팩을 확인하십시오
2,5,별 선물 상자,팩을 확인하십시오
2,6,미니 콩,계정에 추가
2,7,미니 콩,계정에 추가
3,1,별 선물 상자,팩을 확인하십시오
3,2,미니 콩 한 팩,팩을 확인하십시오
3,3,이동 스크롤,팩을 확인하십시오
3,4,미니 콩 한 팩,팩을 확인하십시오
3,5,불꽃놀이 시작,팩을 확인하십시오
3,6,미니 콩 한 팩,팩을 확인하십시오
3,7,미니 망토,팩을 확인하십시오
3,8,미니 콩 한 팩,팩을 확인하십시오
3,9,미니 콩 한 팩,팩을 확인하십시오
3,10,미니 콩 한 팩,팩을 확인하십시오
3,11,미니 콩 한 팩,팩을 확인하십시오
3,12,드레스 업 카드,팩을 확인하십시오
3,13,미니 콩 한 팩,팩을 확인하십시오
3,14,미니 콩 한 팩,팩을 확인하십시오
3,15,미니 콩 한 팩,팩을 확인하십시오
3,16,미니 콩 한 팩,팩을 확인하십시오
3,17,미니 콩 한 팩,팩을 확인하십시오
3,18,미니 콩 한 팩,팩을 확인하십시오
3,19,미니 콩 한 팩,팩을 확인하십시오
3,20,베레모,팩을 확인하십시오
