购买ID,道具ID,韩语
ProductID,ID,Desc
1,24601,"구매 후 대부분의 맞춤 분장의 무료 이용권을 받을 수 있으며, 유효기간은 30일이며 구매 즉시 효력이 발생합니다"
4,12856,구매 후 사용 : 이름 바꾸기 번
8,12965,집으로 순간이동할 수 있는 릴 3장이 포함돼 있어 편리합니다.
13,10025,현재 플래닛의 위치로 순간전송할 수 있는 릴 3장이 포함되어 있어 편리합니다
10,1055,"호스트 락박스, 온라인 파트너가 집주인이 설정한 비밀번호를 입력하면 켜집니다."
11,1056,"호스트 락박스, 온라인 파트너가 집주인이 설정한 비밀번호를 입력하면 켜집니다."
5,845,호스트 전용으로 매우 단단하고 곰 방지에 꼭 필요합니다
6,846,호스트 전용으로 크고 견고하며 곰 방지에 꼭 필수합니다
2,12751,트위스트 패턴을 하늘로 발사할 수 있는 불꽃놀이 사용 (구매 시#c0AAA1A트위스트 쿠폰 증정*1#n)
3,12752,하나의 열매 무늬를 하늘로 발사할 수 있는 불꽃놀이 사용 (구매 시#c0AAA1A이벤트권 증정*1#n)
7,12831,공중으로 현란한 불꽃놀이를 발사하고 경험 몇 가지를 떨어뜨리세요!
9,12750,"공중으로 웃는 얼굴 불꽃놀이! 
 (구매 시 #c5aea0a 미니빈 #nx300 증정)"
12,10023,사용 후 카드 적립을 받을 수 있습니다.
