ID,名字,类别名,描述
ID,Name,TypeName,Desc
10001,위치로 영역 변환,일반,"|@1|중심점, 크기가 (|@2|,|@3|,|@4|)인 영역"
10002,영역 간격띄우기,일반,"@1|좌표축을 따라 오프셋(|@2|,|@3|,|@4|)"
10003,구역을 넓히기,일반,"|@1|삼축 크기를 각각 X|@2|,Y|@3|,Z|@4|각으로 확대"
10005,좌표 위치 지정,일반,좌표값 X|@1|Y|@2|Z|@3|의 위치
10006,위치 간격띄우기(원래 위치 변경),일반,"@1|좌표축을 따라 오프셋(|@2|,|@3|,|@4|)"
10007,영역의 중앙 위치,일반,@1|의 중앙 위치
10008,영역의 임의 위치,일반,@1|의 임의 위치
10009,타이머 시간,일반,@1|시간
10010,방향 광선의 길이 지정,일반,"|@1|부터, |@2|로 |@3|격의 광선을 투사하고 폐색 사각형에서 시작 위치까지의 광선 길이를 반환합니다."
10011,문자열 접합,일반,@1|와|@2
10012,숫자 값을 문자열로 변환,일반,@1|문자열로 전환
10013,부울치 비교,일반,@1||@2||@4
10014,수치 비교,일반,@1||@2||@4
10015,광선이 도달하는 네모 유형,일반,"|@1|,향|@2|발사|@3|격, 광선을 차단하는 사각형 유형"
10016,상대 3축 좌표계 방향,일반,"@1|향하는 X|@2|,Y|@3|,Z|@4|의 방향"
10017,상대 구형 방향,일반,"@1|향하는 방위각|@2|,양곤 |@3|의 방향"
10018,플레이어 개체 선택,일반,|@1|객체 선택
10019,바이오 개체 선택,일반,Select |@1
10020,투척물 개체 선택,일반,Select |@1
10021,추락물 개체 선택,일반,Select |@1
10022,음조가 수치로 변환됨,일반,@1|숫자로 변환
10023,문자열 비교,일반,@1||@2||@3
10024,위치 간격띄우기(원래 위치 변경 안 함),일반,"@1|좌표축을 따라 오프셋(|@2|,|@3|,|@4|)"
10025,부울치,일반,|@1
10026,수치,일반,|@1
10027,문자열,일반,|@1
10028,모양 유형,일반,|@1
10029,부울치 팀,일반,|@1
10030,수치 팀,일반,|@1
10031,문자열 팀,일반,|@1
10032,임의의 그룹의 값 수를 가져옵니다.,일반,|@1|중간 값 수 가져오기
10033,임의의 그룹의 값 수를 가져옵니다.,일반,|@1|중간|@2|의 수 가져오기
10034,임의의 그룹에 있는 값의 번호 가져옵니다,일반,|@1|중간|@2|의 수 가져오기
10035,임의의 그룹에 임의의 값 판단이 있습니다,일반,@1|존재|@2
10036,임의의 그룹 지정 번호의 존재 값 판단,일반,@1|중간 번호|@2|의 위치 존재 값
10037,extract string.,일반,Extract |@1| of |@2| - |@3| position string
10038,문자열을 정수로 변환합니다,일반,@1| Integer로 변환하십시오
10039,주요 장치 시간 설정을 얻으십시오,일반,Obtain device |@1| time
10040,전체 주요 장치 시간 설정을 얻으십시오,일반,전체 주요 장치 시간 설정을 얻으십시오
10041,무작위 블록 유형,일반,무작위 블록 유형
10042,스트링 분할,일반,"분할|@1| 분할기는 |@2|, 분할 후 |@3| 세그먼트를 가로채십시오."
10043,지정된 태그의 문자열을 가져옵니다.,일반,키 이름의 내용을 가져옵니다 |@1|
10044,게임 서버 시간 가져오기,일반,게임 서버 시간 가져오기 |@1|
10045,타임스탬프를 시간 단위로 변환,일반,타임스탬프 변환 |@1| |@2
10046,전체 서버 시간 확보,일반,전체 서버 시간 확보
10047,타임스탬프를 풀타임으로 변환,일반,타임스탬프 |@1| 풀 타임으로 변환
20001,숫자 연산,수학,@1||@2||@3
20002,잔고를 취하기,수학,@1|Mod|@2
20003,난수,수학,생성|@1|와|@2|사이의 난수
20004,최대값,수학,@1|및|@2|의|@3
20005,정리,수학,|@1| Divide |@2
20006,위치의 좌표 값,수학,@1|의|@2|좌표값
20007,위치 사이의 수평 각도,수학,@1|와|@2|간의 수평 각도
20008,위치 간의 수직각,수학,@1|와|@2|사이의 수직 각도
20009,거듭제곱 연산,수학,@1|의|@2|제곱
20010,처방,수학,@1|개|@2|차방
20011,절대값,수학,@1|의 절대값
20012,삼각함수,수학,@1||@2||@3
20013,고정 하단 로그 함수,수학,@1||@2
20014,임의 베이스 로그 함수,수학,Log|@1||@2
20015,치우기,수학,@1|을 취합니다. 방식은|@2입니다.
20016,각도 및 라디안 변환,수학,|@1|다음으로 변환|@2
20017,논리 대,수학,@1|와|@2
20018,논리 또는,수학,@1|또는|@2
20019,논리 이격 또는,수학,@1|이격 또는|@2
20020,논리 비,수학,비|@1
20021,임의의 값 비교,수학,@1||@2||@3
30001,현재 게임 시간,경기,현재 게임 시간
30002,순위 지정 팀,경기,순위는|@1|의 팀
30003,현재 게임 중력 배수,경기,현재 게임 중력 배수
40001,행렬의 속성,팀,@1|의|@2
40002,행렬의 비교,팀,@1||@2||@3
50001,플레이어 위치,플레이어,@1|의 위치
50002,플레이어 준성 위치 가져오기,플레이어,@1|의 준별 위치
50003,플레이어의 속성,플레이어,@1|의|@2
50004,아이템을 가진 수량,플레이어,@1|소유|@2|의 수
50006,플레이어가 지향하는 각도,플레이어,@1|지향적인 각도
50007,플레이어의 이름,플레이어,@1|의 이름
50008,개별적 판단,플레이어,@1||@2||@3
50009,플레이어 그룹 판단에 있습니다.,플레이어,@1||@2|처해있습니다|@3|중
50010,지역 판단에 처합니다,플레이어,@1||@2|처해있습니다|@3|중
50011,상태 판단,플레이어,@1||@2|소유|@3|의 상태
50012,호스트,플레이어,호스트
50018,플레이어의 팀,플레이어,@1|의 그룹
50019,플레이어의 개인 변수(영역),플레이어,@1|의|@2|(구역)
50020,플레이어의 개인 변수(위치),플레이어,@1|의|@2|(위치)
50021,플레이어의 개인 변수(수치),플레이어,@1|의|@2|(수치)
50022,플레이어의 개인 변수(문자열),플레이어,@1|의|@2|(문자열)
50023,플레이어의 개인 변수(부울값),플레이어,@1|의|@2|(부울치)
50024,플레이어의 개인 변수(플레이어),플레이어,@1|의|@2|(플레이어)
50025,플레이어의 개인 변수(플레이어팀),플레이어,@1|의|@2|(플레이어팀)
50026,플레이어의 개인 변수(네모 유형),플레이어,@1|의|@2|(네모 유형)
50027,플레이어의 개인 변수(아이템 유형),플레이어,@1|의|@2|(아이템 유형)
50028,플레이어의 개인 변수(바이오),플레이어,@1|의|@2|(바이오)
50029,플레이어의 개인 변수(바이오 유형),플레이어,@1|의|@2|(바이오 유형)
50030,플레이어의 개인 변수(바이오 팀),플레이어,@1|의|@2|(바이오 팀)
50031,플레이어의 개인 변수(타이머),플레이어,@1|의|@2|(타이머)
50032,플레이어의 개인 변수(특수효과 유형),플레이어,@1|의|@2|(특수효과 유형)
50033,플레이어가 가리키는 방향,플레이어,@1|준심이 가리키는 방향
