ID,Name,ChildName,Desc,Remarks
ID,Name,ChildName,Desc,Remarks
1010001,날씨가 바뀔 때,세계,어떤 날씨에도 변화가 생겼을 때,날씨가 햇볕이 쬐지 않고 비가오고 비가 화창한 날로 바뀌 었습니다.
1010002,지형 그룹의 날씨가 변할 때,세계,|@1|의 날씨 변화를 지정할 때,공통 그룹: 평야/숲/절벽/정글/분지/빈 섬/강; 해양 그룹: 해변/심해/얕은 바다/섬; 사막 그룹: 사막/오아시스; 보통 한랭 지역: 침엽수림/얼음 밭; 피크 한랭 지역: 빙산; 화산 그룹: 화산; 습지 그룹: 열대우림/늪; 평평하고 빈 섬
1020001,게임 생성 시,게임 논리,게임 생성 시 트리거됨,게임 카운트 다운 3，2，1을 입력 할 때 게임 시작
1020002,게임 내 시간,게임 논리,게임 내 시간은 |@1|,게임이 지정된 시점에있을 때
1020003,게임 실행 시간,게임 논리,게임 실행 시간|@1|초 후,게임을 입력 한 후 지정된 시간을 실행하십시오
1020004,게임 승리,게임 논리,임의 플레이어가 승리를 트리거할 때,@Null@
1020005,게임 실패,게임 논리,임의 플레이어가 실패를 트리거할 때,@Null@
1020007,플레이어가 게임에 들어갑니다,게임 논리,임의 플레이어가 게임에 진입할 때,@Null@
1020008,플레이어가 게임을 떠납니다,게임 논리,임의 플레이어가 게임을 떠날 때,@Null@
1020009,타이머 변경,게임 논리,임의 타이머가 변화를 발생할 때,변수 라이브러리의 모든 타이머 변수가 변경됩니다
1020010,타이머 변경 지정,게임 논리,@1|가 변화를 발생할 때,지정된 타이머 변수가 변수 라이브러리 변경에서 변경되면
1020011,모든 게임 런타임 (루프),게임 논리,런타임 당 게임은 |@1| 초월,"1. 최소값은 0.05 초，0.01-0.09는 0.05가 걸릴 것입니다.
2. 게임이 지정 될 때마다 게임이 트리거 (루프)됩니다."
1020012,지도가 정보를받을 때,게임 논리,지도가 문자열 정보를 수신하면됩니다,@Null@
1030001,플레이어가 패배합니다,플레이어,임의 플레이어가 격패당할 때,@Null@
1030002,부활,플레이어,임의 플레이어가 부활할 때,@Null@
1030003,속성 변경,플레이어,임의 플레이어|@1|변경,플레이어가 속성 인 경우 혈액 볼륨이 변경되면
1030004,목표를 물리치기,플레이어,임의 플레이어가 다른 플레이어나 임의 바이오를 이길 수 있습니다.,플레이어가 다른 플레이어를 물리 치면 바이오입니다. 선수，대상 선수，생물을위한 생물을 이길 수 있습니다.
1030005,공격,플레이어,임의 플레이어가 공격할 때,@Null@
1030006,공격력 적중,플레이어,임의 플레이어 공격력 적중 임의의 플레이어，바이오,플레이어가 다른 플레이어를 공격했을 때，생물. 선수，생물，대상 플레이어，생물학적
1030007,해를 끼침,플레이어,임의 플레이어가 플레이어，바이오에 피해를 줍니다.,플레이어가 다른 플레이어를 아프면 생물이 다쳤습니다. 상처 선수，유기체 선수，이벤트의 생물
1030008,피해를 입음,플레이어,임의 플레이어가 피해를 입습니다.,@Null@
1030009,이동,플레이어,임의 플레이어도 한 칸의 거리를 이동할 때,@Null@
1030010,애니메이션된 표정 사용,플레이어,임의 플레이어가 애니메이션된 표정 사용,@Null@
1030011,플레이어가 아이템 사용,플레이어,임의 플레이어가 아이템 사용,@Null@
1030012,플레이어가 아이템 획득,플레이어,임의 플레이어가 아이템 획득,@Null@
1030013,플레이어가 아이템 소모,플레이어,임의 플레이어가 아이템 소모,@Null@
1030014,플레이어 클릭 바이오,플레이어,임의 플레이어가 바이오 클릭,@Null@
1030015,플레이어 클릭 네모,플레이어,임의 플레이어가 네모 클릭,@Null@
1030016,탈것 타기,플레이어,임의 플레이어는 아무 탈것이나 기구를 탈 수 있습니다.,@Null@
1030017,탈것 타기 취소,플레이어,임의 플레이어 탈것 취소,@Null@
1030018,운동 상태 변경,플레이어,임의 플레이어가|@1|상태로 들어갈 때,@Null@
1030019,충돌,플레이어,임의 플레이어가 다른 플레이어/바이오와 충돌,@Null@
1030020,드랍물 선택,플레이어,플레이어의 임의 드랍 선택,@Null@
1030021,플레이어가 구역으로 이동,플레이어,임의 플레이어가|@1|로 들어갈 때,@Null@
1030022,플레이어가 구역을 떠남,플레이어,임의 플레이어가|@1|를 나갈 때,@Null@
1030023,리그 바 변경,플레이어,임의 플레이어 리그 바 변경,@Null@
1030024,배낭 소품 막대 변경,플레이어,임의 플레이어의 백팩 아이템 바에 변경이 발생함,@Null@
1030025,단축 도구 바 변경,플레이어,임의 플레이어의 단축 아이템바가 변경됩니다.,@Null@
1030026,단축 도구 바 선택,플레이어,모든 플레이어가 임의의 순번의 단축바를 선택합니다.,@Null@
1030027,아이템 폐기,플레이어,임의 플레이어가 아이템 버림,@Null@
1030028,장비를 입기,플레이어,임의 플레이어가 장비 입기,@Null@
1030029,장비를 벗기,플레이어,임의 플레이어가 장비 벗기,@Null@
1030030,채팅 상자 표시 문자열,플레이어,채팅창 표시|@1|,@Null@
1030031,문자열 입력,플레이어,채팅 상자에서 임의 플레이어 입력|@1|,@Null@
1030032,버튼 누름,플레이어,임의 플레이어 누름|@1|,@Null@
1030033,버튼 길게 누름,플레이어,임의 플레이어 장기 누름|@1|,@Null@
1030034,버튼 풀림,플레이어,임의 플레이어 풀림|@1|,@Null@
1030035,상태 효과 얻기,플레이어,임의 플레이어가 상태 효과를 얻을 수 있습니다.,@Null@
1030036,상태 효과 손실,플레이어,임의 플레이어가 상태 효과를 잃을 수 있습니다.,@Null@
1030037,지정된 상태 효과 손실,플레이어,임의 플레이어 손실|@1|,@Null@
1030038,등급이 바뀜,플레이어,임의 플레이어 등급 변경,@Null@
1030039,플레이어는 채팅 정보를 입력합니다 (문자열 포함),플레이어,채팅 상자에서 모든 플레이어 입력 |@1|,플레이어가 채팅 상자에 들어가고 발급되면
1040001,공격 받고있다.,상처 받기,임의 바이오가 해를 입을 때 발생하게 됩니다.,@Null@
1040002,공격,공격,임의 바이오가 공격을 시작합니다,@Null@
1040003,적중 목표,공격력 적중,플레이어，바이오 등 임의 바이오의 공격력을 적중시킵니다.,@Null@
1040004,손상을 일으키다,해를 끼침,임의 바이오가 플레이어，바잉오에게 해를 끼칩니다,@Null@
1040005,주사위,바이오가 패배됨,임의 바이오가 패배했을 때,@Null@
1040006,목표 달성,목표를 격파하기,임의 바이오가 플레이어나 다른 바이오를 격파합니다,@Null@
1040007,지역 입력,바이오가 구역에 진입함,임의 바이오 진입|@1|시,@Null@
1040008,지역 탈퇴,바이오가 구역을 떠남,임의 바이오 떠날|@1|시,@Null@
1040009,생물의 움직임 상태 변화,바이오 행동 상태 변화,임의 생물 진입|@1|상태일 때,@Null@
1040010,충돌,충돌 시,임의 바이오가 플레이어나 다른 바이오를 충돌시킬 때,@Null@
1040011,속성 변경,생물학적 속성 변화,임의 바이오|@1|변화시,@Null@
1040012,만드는 동안,생성됨,임의 바이오가 생성됨,@Null@
1040013,상태 효과를 얻을,상태 효과 얻기,임의 바이오가 상태 효과를 획득,@Null@
1040014,상태 효과를 잃는다,상태 효과 잃기,임의 바이오가 상태 효과를 잃음,@Null@
1040015,특정 상태 효과를 잃는다,지정 상태 효과 잃기,임의 바이오가 잃음|@1|,@Null@
1040016,다친 때,상처를 입었을 때,이런 바이오들이 해를 입을 때,@Null@
1040017,공격을 시작할 때,공격을 시작할 때,이런 바이오들이 공격을 시작할 때,@Null@
