ID,描述
ID,Desc
1000,날씨
1001,영역
1002,위치
1003,방향
1004,시각
1005,수치
1006,좌표분량
1007,각도단위
1008,고정 하단 로그
1009,정리 방식
1010,문자열
1011,생해유형
1012,여부
1013,스위치
1014,부울치
1015,최대최소값
1016,비교 계산자
1017,수학 연산자
1018,플레이어
1019,플레이어 그룹
1020,플레이어 속성
1021,운동 상태
1022,플레이어 설정
1023,그룹
1024,그룹 속성
1025,네모 유형
1026,네모 설정
1027,아이템
1028,아이템 유형
1029,투척물 유형
1030,낙하물
1031,바이오
1032,바이오 유형
1033,바이오 그룹
1034,바이오 행동 상태
1035,바이오 속성
1036,바이오 설정
1037,상태
1038,트리거
1039,트리거 그룹
1040,타이머
1041,애니메이션 이모티콘
1042,개인 변수
1043,삼각함수
1044,투척물
1045,특수 효과 유형
1046,사운드
1047,방향
1048,대상
1049,음조
1050,스크립트
1051,버튼
1052,단축바 버튼
1053,임의 값
1054,장비 바
1055,장비 유형
1056,컬러
1057,그림 정보
1058,그림 정보 유형
1059,상품
1060,모양 유형
1061,임의 그룹
1062,위치 그룹
1063,영역 그룹
1064,수치 그룹
1065,문자열 그룹
1066,부울 치 그룹
1067,네모 유형 그룹
1068,아이템 유형 그룹
1069,바이오 유형 그룹
1070,타이머 그룹
1071,특수 효과 유형 그룹
1072,정렬
1073,비디오 링크
1074,상호 작용
1075,요소
1076,이미지 템플릿
1077,이동 모드
1078,시간 단위
1079,페이지 상태
1080,음악
1081,일시 중지
1082,디스플레이 창
1083,전역 개체
1084,리더보드
1085,테이블
1086,재생 모드
1101,페이지 지정
1137,지형 그룹
