ID,名字,描述,追踪
ID,Name,Desc,TrackDesc
1000,Saya Perlu Kayu,"Kumpulkan kayu, dapatkan 1 blok kayu#r (Tekan lama pada batang untuk kumpul)",Kumpulkan #cfa7a0fKayu
1001,Kraf Tangan!,"Gunakan sebarang kayu untuk membuat papan kayu, gunakan 4 papan kayu untuk membuat 1 kotak peralatan#r (buka ransel kemudian pilih Buat di sebelah kiri)",Buat #cfa7a0fKotak Peralatan
1002,Orang Gasar Kalah!,"Gunakan papan kayu dan stik kayu untuk membuat batang kayu#r (Perlukan kotak peralatan, senjata tahap rendah)",Buat #cfa7a0fBatang Kayu
1003,Pelombong Tahap Rendah,"Gunakan papan kayu dan stik kayu untuk membuat beliung kayu#r (Perlukan kotak peralatan, menggali lubang untuk bersembunyi sebelum malam)",Buat #cfa7a0fBeliung Kayu
1004,Gaya Hidup Bertani!,"Gunakan papan kayu dan stik kayu untuk membuat cangkul kayu#r (Perlukan kotak peralatan, ubah tanah terbiar sebagai tanah pertanian)",Buat #cfa7a0fcangkul Kayu
1005,Pertempuran Pertama,Kalahkan 1 orang liar. Nampaknya memakai kepala binatang#r (Orang liar adalah makhluk yang bahaya dan muncul pada waktu malam),Kalahkan #cfa7a0fOrang Liar
1006,Waktu BBQ!,"Gunakan 8 batu untuk membuat relau peleburan#r (Perlukan kotak peralatan, boleh meleburkan pelbagai galian)",Buat #cfa7a0fRelau Peleburan
1007,Hadiah Dari Tuhan,Merumput untuk mendapat biji gandum@1#r (Kemungkinan dapat jika tekan lama pada rumput),Ambil #cfa7a0fBiji Gandum
1008,Sebakul Arang Hitam,"Gunakan bahan kayu untuk membakar kayu untuk mendapatkan arang hitam@1#r (Perlukan relau peleburan, boleh membuat obor)",Buat #cfa7a0fArang Hitam
1009,Jongkong Besi,Leburkan bijih besi untuk mendapat jongkong besi@1#r(perlukan tungku peleburan),Leburkan#cfa7a0fjongkong besi
1010,Pelombong Senior,Gunakan jongkong besi dan stik kayu untuk membuat beliung besi#r(beliung boleh mengumpul bijih berlian biru),Membuat#cfa7a0fbeliung besi
1011,Saya kaya!,Gunakan beliung besi atau beliung berlian untuk mengumpul bijih emas#r(di bawah tanah yang dalam),Kumpulkan#cfa7a0fbijih emas
1012,"Wow, Berlian!",Gunakan beliung besi atau beliung berlian untuk mengumpul bijih berlian biru#r(di bawah tanah yang dalam),Kumpulkan#cfa7a0fbijih berlian
1013,Kejutan elektrik pertama,Gunakan beliung besi atau beliung berlian untuk mengumpul bijih batu elektrik#r(di bawah tanah yang dalam),Kumpulkan#cfa7a0fbijih batu elektrik
1014,Barang Keras,Gunakan beliung berlian untuk mengumpul kristal hitam#r(mungkin akan muncul di sekitar lava),Kumpulkan#cfa7a0fkristal hitam
1015,Ahli Magik,"Membuat lakuran kotak sihir#r(perlukan kotak peralatan, alat boleh disihirkan)",Membuat#cfa7a0fkotak ajaib
1016,Ia menatap saya,Kalahkan Fantom untuk mendapat Mata Teras Bumi#r(Mata Teras Bumi seolah-olah akan menerbang ke suatu tempat),Mendapat#cfa7a0fMata Teras Bumi
1017,Permata kuno,"Dapatkan permata kuno dari penjara bawah tanah, buanglah mereka dan pilih mereka, kerana ia memancarkan sihir kuno ...",Mendapat#cfa7a0fpermata kuno
1018,Batu Pintu Teras Bumi,"Permata kuno dan spar hitam, dan lain-lain #L#cfa7a0f portal bingkai batu #n",Membuat#cfa7a0fBatu Pintu Teras Bumi
1022,Portal Teras Bumi,Buat blok portal dan isi bingkai pintu portal untuk membuka portal #r (ruang 2 * 3 di tengah),Membuat#cfa7a0fPortal Teras Bumi
1023,Dunia lain,Masukkan teras bumi dan mengalahkan gergasi lava @1#r (dunia penuh dengan api),Kalahkan#cfa7a0fraksasa lava
1024,pembunuh naga,Kalahkan Naga Hitam Purba di Flamus @1,Kalahkan#cfa7a0fcnaga hitam purba
