id编号,标题,内容,作者,是否匿名
Id,Title,Context,Author,ShouldAnonymity
1,,Mari kita ukir cerita baru dan sejarah baru di Mini World pada tahun 2023 dengan tujuan dan semangat baru.,,
2,,"Untuk menang besar, kadang-kadang anda perlu mengambil risiko besar.",Bill Gate,
3,,"Saya mempunyai banyak impian seperti kanak-kanak, dan saya fikir banyak berkembang dari fakta bahawa saya mempunyai peluang untuk membaca banyak.",Bill Gate,
4,,"Misteri adalah perkara paling indah yang dapat kita alami, itu adalah sumber semua seni dan sains yang benar.",Albert Einstein,
5,,"Kehidupan sangat berbahaya, bukan untuk orang yang melakukan kejahatan, tetapi bagi mereka yang duduk dan menonton apa yang berlaku.",Albert Einstein,
6,,"Masa anda adalah terhad, jadi jangan buang-buang hidup orang lain",Steve Jobs,
7,Kata-kata motivasi,"Sekiranya anda mempersembahkan diri anda dengan keyakinan, anda boleh menarik banyak perkara.",,
8,Kata-kata motivasi,"Anda tidak boleh kembali dan menukar permulaan, tetapi anda boleh memulakan di mana anda berada dan menukar pengakhirannya.",,
9,Kata-kata motivasi,Halangan sering menjadi batu loncatan.,,
10,Kata-kata motivasi,Dunia ini tiada jaminan melainkan satu peluang.,,
11,,"Ucapan Selamat Hari Lahir! Semoga dipanjangkan umur, dimurahkan rezeki dan dipermudahkan segala urusan.",,
12,,Selamat ulang tahun rakanmu! Semoga kuat hadapi dunia baru ini dengan penuh kejayaan dan kebaikan.,,
13,Kata-kata motivasi,Kekalahan tidak pahit kecuali anda yang menelannya.,,
14,Kata-kata motivasi,Perjalanan seribu batu bermula dengan satu langkah.,,
15,Kata-kata motivasi,Kejayaan tidak datang kepada manusia yang leka.,,
16,Kata-kata motivasi,Kesempatan sebenar untuk kejayaan yang terletak dalam diri orang itu dan bukannya dalam pekerjaan.,,
17,Kata-kata motivasi,Kegagalan tidak akan menimpa jika bertekad untuk berjaya.,,
18,Kata-kata motivasi,"Jika suka dengan apa yang anda tidak boleh,maka anda perlu mencintai apa yang anda ada.",,
19,Kata-kata motivasi,"Setiap kali anda menghadapi sesuatu yang buruk, tumpukan pada sesuatu yang indah. Apa yang anda tumpukan untuk berkembang. Hanya anda yang boleh mengubah realiti anda.",,
20,Kata-kata motivasi,"Menyerah tidak selalu bermakna anda lemah, kadang-kadang anda hanya cukup kuat untuk melepaskannya.",,
21,Kata-kata motivasi,Kadangkala soalan itu rumit dan jawapannya mudah. Kita yang buatnya makin sukar.,,
22,Kata-kata motivasi,Kata-kata yang lembut dapat melembutkan hati yang lebih keras dari batu.Tetapi kata-kata yang kasar dapat mengasarkan hati yang lunak menjadi seperti sutera.,,
23,Kata-kata motivasi,Jangan duduk mengelilingi perkara yang lebih mudah dan berharap bahawa anda lebih baik dalam mencapai apa yang anda mahu capai. Ia sepatutnya bermula dengan harapan dan kemudian bekerja keras.,,
24,Kata-kata motivasi,Hari esok sudah tentu akan ada tetapi belum tentunya hari esok adalah untuk kita. Beringat-ingatlah untuk menghadapi esok yang pastikan mendatang.,,
25,Kata-kata motivasi,Seseorang yang tidak pernah melakukan kesilapan tidak pernah mencuba sesuatu yang baru.,,
26,Kata-kata motivasi,"Cuba untuk tidak menjadi seorang yang berjaya, tetapi cuba untuk menjadi seorang yang bernilai.",,
27,,"Cinta sekejap mata, terkenang sepanjang masa. Si kucing, saya cinta padamu.",,
28,,"Kehidupan kita ini sebuah perjalanan, bukan pelarian.",,
29,,"Saudara sekalian, dunia ini bukanlah tempat untuk mengumpul Followers. Tempat untuk mengumpul pahala.",,
30,<Lawak harian>,"Kata orang, ketawa adalah ubat. Tetapi, jika orang itu ketawa seseorang... Iyulah tandanya, orang itu perlukan ubat!",,
31,<Lawak harian>,"<Lawak harian>
Kecil-kecil cili padi, kecil lagi biji cili",,
32,<Lawak harian>,"<Lawak harian>
Cubit paha kanan, paha kiri tak rasa apa-apa pun",,
33,<Lawak harian>,"<Lawak harian>
Diam-diam ubi berisi, diam-diam orang... bisu",,
34,<Lawak harian>,"<Lawak harian>
Biar putih tulang, jangan kuning gigi",,
35,<Lawak harian>,"<Lawak harian>
Cara memasak nasi goreng lazat adalah.....minta tolong ibu masakkan.",,
36,<Teka-teki harian>,"<Teka-teki harian> 
Dalam banyak-banyak hantu, hantu apa yang pandai bersilat?
(Jawapan: Hang Tuah)",,
