ID,名称
ID,Name
1000001,suis kabus.
100001,Buka
100002,Kwan
10001,Hujan renyai-renyai
10002,Hari yang cerah.
10003,Hari hujan
10004,Ribut petir
10005,Cuaca buruk
10006,Salji
10007,Ribut pasir
10008,Ribut
10009,Ribut salji
1010001,Suis kedalaman medan
110001,Nilai maksimum
110002,Nilai minimum
120001,=
120002,≠
120003,>
120004,<
120005,≥
120006,≤
130001,+
130002,-
130003,*
130004,/
140001,Kesihatan Maksimum
140002,Kesihatan semasa
140003,Kehidupan dipulihkan.
140006,Kelaparan semasa
140008,Nilai oksigen semasa
140010,Kelajuan Pergerakan
140011,Kelajuan larian
140012,Kelajuan Menyelinap
140013,Kelajuan berenang
140014,Lompat
140015,Kadar pengelakan
140016,serangan jarak dekat.
140017,Serangan jarak jauh
140018,pertahanan jarak dekat
140019,Pertahanan Jarak Jauh
140020,Saiz Model
140022,Bilangan bintang
140023,Pengalaman Semasa
140024,Aras semasa
140025,Nilai kekuatan fizikal maksimum
140026,Nilai kekuatan fizikal semasa
140027,Faktor kelajuan pemulihan nilai kekuatan fizikal
140028,Serangan fizikal
140029,Serangan unsur
140030,Pertahanan fizikal
140031,Pertahanan unsur
150001,Statik
150002,Gerak
150004,lari
150005,Lompat
150006,Dua lompatan.
150007,Stealth
150011,Mendarat
160001,Boleh Alih
160002,Blok boleh diletakkan.
160003,Boleh berinteraksi dengan blok
160004,boleh memusnahkan blok.
160005,Alat peraga boleh digunakan.
160006,Boleh Serang
160007,Boleh cedera.
160008,boleh dibunuh.
160009,Alat peraga yang boleh diambil
160010,Kematian boleh jatuh.
160011,Alat peraga boleh dibuang.
170001,Pasukan 1 Merah
170002,Pasukan 2 biru
170003,Pasukan 3 Hijau
170004,Pasukan 4 Kuning
170005,Pasukan 5 Jingga
170006,Pasukan 6 Ungu
170007,Tiada pasukan
180001,Bilangan pemain
180002,Markah
190001,Boleh dimusnahkan.
190002,Boleh berinteraksi
190003,boleh ditolak.
190004,Alat peraga boleh jatuh
200001,kosong
200002,Bersedia.
200003,lepak.
200004,serangan jarak dekat.
200005,Serangan jarak jauh
200006,Ikut.
200007,Berenang
200008,melarikan diri.
200009,Letupan diri
20001,Timur
200010,Tertarik dengan
200011,Mengawan
20002,Selatan
20003,Barat
20004,Utara
20005,unggul.
20006,Bawah
2030001,Tiada
2030002,Mengganggu diri sendiri
2030003,Mengganggu keutamaan rendah
2030004,Semua
2040001,Mana-mana nod anak berjaya
2040002,Semua nod anak berjaya
2050001,Tiada
2050002,Mana-mana nod anak gagal
2050003,Semua nod anak gagal
2060001,Mana-mana
2060002,Pihak rakan
2060003,Pihak musuh
2060004,Neutral
2070001,Mana-mana
2070002,Bermusuhan neutral
2070003,Pasif neutral
2070010,Tiada pasukan
2070011,Pasukan 1 Merah
2070012,Pasukan 2 Biru
2070013,Pasukan 3 Hijau
2070014,Pasukan 4 Kuning
2070015,Pasukan 5 Oren
2070016,Pasukan 6 Ungu
2090001,Sekeliling
2090002,Depan
2090003,Belakang
2100001,Ikut pengarang
2100002,Gemar peta
2100003,Menilai peta
210001,Kesihatan Maksimum
210002,Kesihatan semasa
210003,Kehidupan dipulihkan.
210005,Kelaparan semasa
210007,Nilai oksigen semasa
210009,Kelajuan Pergerakan
210011,Kelajuan berenang
210012,Kuasa melompat
210014,Kadar pengelakan
210015,serangan jarak dekat.
210016,Serangan jarak jauh
210017,pertahanan jarak dekat
210018,Pertahanan Jarak Jauh
210019,Saiz Model
210020,Julat penglihatan
210021,Kelajuan pusingan
210022,Serangan fizikal
210023,serangan unsur
210024,Pertahanan fizikal
210025,Pertahanan unsur
220001,Boleh Alih
220002,Boleh diserang
220003,boleh dibunuh.
220004,Alat peraga yang boleh diambil
220005,Kematian boleh jatuh.
230001,Kawasan terpilih di dunia
240001,Lokasi dalam acara
240002,Tempat lahir
240003,Pilih lokasi di dunia
250001,Pemain yang mencetuskan peristiwa
250002,Pemain sasaran dalam acara
260001,blok udara.
260002,Jenis blok dalam acara
260003,Jenis blok terakhir dibuat.
270001,Jenis prop dalam acara
270002,Jenis prop terakhir dibuat.
280001,lontaran yang mencetuskan peristiwa
290001,Barang yang jatuh semasa kejadian.
300001,Makhluk yang mencetuskan peristiwa
300002,Sasaran makhluk semasa kejadian.
300003,Pilih makhluk di dunia.
300004,Makhluk terakhir dicipta.
30001,Perspektif Utama
30002,Sudut pandangan belakang
30003,Perspektif Positif
30004,Sudut pandang bawah
30005,Sudut pandangan suai
30006,Perspektif Aksi
310001,Ekspresi animasi semasa acara.
320001,sebenar.
320002,Palsu
330001,Dalam
330002,Kot.
330003,Tan
340001,Jenis kesan khas dalam acara
340002,Jenis kesan khas terakhir dibuat.
350001,Arah atas.
350002,Arah bawah
350003,Arah kiri positif
350004,Arah kanan
350005,terus ke hadapan.
350006,Arah hadapan ke belakang.
360001,Objek yang mana tindakan dilakukan
370001,Treble 1
370002,Treble 1 (L)
370003,Treble 2
370004,Treble 2 (L)
370005,Treble 3
370006,Treble 4
370007,Treble 4 (L)
370008,Treble 5
370009,Treble 5 (L)
370010,Treble 6
370011,Treble 6 (L)
370012,Treble 7
370013,Sederhana 1
370014,Sederhana 1 (liter)
370015,Sederhana 2
370016,Tenor 2 (L)
370017,Tenor 3
370018,Tenor 4
370019,Tenor 4 (L)
370020,Tenor 5
370021,Tenor 5 (L)
370022,Tenor 6
370023,Tenor 6 (L)
370024,Sederhana 7
370025,bes 1
370026,Bass 1 (L)
370027,bes 2
370028,Bass 2 (L)
370029,bes 3
370030,bes 4.
370031,Bass 4 (L)
370032,bes 5
370033,Bass 5 (L)
370034,bes 6.
370035,Bass 6 (L)
370036,bes 7.
380001,Kekunci W
380002,Kekunci A
380003,Kekunci S
380004,Kekunci D
380005,Ruang Kekunci
380006,Shift Kekunci
380007,Kekunci B
380008,Kekunci C
380009,Kekunci E
380010,Kekunci F
380011,Kekunci G
380012,Kekunci H
380013,Kekunci I
380014,Kekunci J
380015,Kekunci K
380016,Kekunci L
380017,Kekunci M
380018,Kekunci N
380019,Kekunci O.
380020,Kekunci P
380021,Q bit kunci
380022,Kekunci R
380023,Kekunci T
380024,Kekunci U
380025,Kekunci V
380026,Kekunci X
380027,Kekunci Y
380028,Kekunci Z
390001,Bar Pintasan 1
390002,Bar Pintasan 2
390003,Bar Pintasan 3
390004,Bar Pintasan 4
390005,Bar Pintasan 5
390006,Bar Pintasan 6
390007,Bar Pantas 7
390008,Bar Pintasan 8
400001,Bar pintasan dalam acara
40001,X
40002,Y
40003,Z
410001,Kesan keadaan semasa acara
420001,Lajur Peralatan 1 (Topi keledar)
420002,Lajur gear 2 (pelindung dada)
420003,Bar Peralatan 3 (Pelindung Kaki)
420004,Bar gear 4 (but)
420005,Lajur peralatan 5 (hiasan belakang)
430001,Bar gear semasa kejadian.
440001,Jenis biologi yang mencetuskan peristiwa
440002,Jenis organisma sasaran dalam acara
440003,Jenis biologi terakhir yang dibuat.
450001,Resipi semasa acara
460001,Peleburan semasa acara.
470001,Plot dalam kejadian
480001,Bilangan prop dalam acara
490001,Papan aksara
490002,Teks Terapung
490003,Bar kemajuan
490004,Anak panah menunjuk ke objek
490005,Anak panah menunjuk ke lokasi
490006,Arah ke permukaan panduan objek
490007,Permukaan pemandu yang menunjuk ke lokasi
490008,Garis panduan menunjuk ke objek.
490009,Garis panduan menunjuk ke lokasi.
490010,Gambar
500001,tertib menaik.
500002,Tertib ke bawah
50001,Sistem Sudut
50002,Sistem radian
510001,Komponen dalam acara
520001,Antara muka pengeditan semasa
520002,Antara muka dalam acara
530001,Terbang
530002,Mod Pergerakan Lalai
540001,tahun
540002,bulan
540003,Hari
540004,Masa
540005,Markah
540006,detik.
540007,Cap masa (saat)
550001,Rentetan dalam peristiwa
570001,Muzik semasa acara
580001,Jeda
580002,& Simpan Semula
580003,Tutup
590001,Pilih papan paparan di dunia.
600001,Objek Global
60001,Log
60002,Amin.
610001,Main balik gelung
610002,Main sekali sahaja.
620001,Logik ini
680001,Kuasa serangan
680002,Bilangan maksimum tindanan
680003,pertahanan jarak dekat
680004,Pertahanan Jarak Jauh
680005,Pertahanan Letupan
680006,pertahanan pembakaran
680007,Pertahanan terhadap toksin
680008,pertahanan huru-hara.
680009,Ketahanan maksimum
680010,Selang tembakan maksimum
680011,Jumlah maksimum majalah
690001,Pemain membuang barang.
690002,Kotak itu rosak dan terjatuh.
690003,Makhluk itu dikalahkan dan jatuh.
690004,Blok itu rosak dan jatuh.
690005,Penciptaan pencetus.
690006,Penciptaan permainan objek jatuh
700001,Main balik gelung
700002,Main sekali sahaja.
700003,Berhenti di bingkai terakhir selepas tamat mainan.
700004,Tekan mod main balik tindakan asal.
70001,Bawah
70002,Membundarkan ke atas
70003,Naik.
710001,Semua palang beg galas
710002,Semua Bar Pintasan
710003,Semua lajur peralatan
720001,Kotak Beg galas 1
720002,Kotak Beg galas 2
720003,Kotak beg galas 3
720004,Kotak Beg galas 4
720005,Kotak Beg galas 5
720006,Kotak Beg galas 6
720007,Kotak Beg galas 7
720008,Kotak Beg galas 8
720009,Kotak Beg galas 9
720010,Kotak beg galas 10
720011,kekisi beg galas 11
720012,Kotak Beg galas 12
720013,Kotak beg galas 13
720014,Kotak beg galas 14
720015,Kotak Beg galas 15
720016,kekisi beg galas 16
