ID,名称
ID,Name
10001,ikon 2
10002,ikon 1
10003,
10004,
10005,ikon 169
10006,ikon 170
10007,Ikon 171
10008,ikon 26
10009,ikon 172
10010,ikon 27
10011,Label 2
10012,Label 1
10013,
10014,
10015,
10016,
10017,
10018,
10019,
10020,
10021,Butang 3
10022,Plat tapak 49
10023,Plat bawah 78
10024,Butang 46
10025,Butang 47
10026,Butang 48
10027,Label 61
10028,Butang 4
10029,Butang 5
10030,Butang 6
10031,Plat bawah 30
10032,Plat bawah 40
10033,plat asas 41
10034,Plat bawah 42
10035,Plat bawah 43
10036,Plat bawah 44
10037,Plat bawah 45
10038,Plat bawah 46
10039,Plat bawah 47
10040,Plat bawah 48
10041,Label 11
10042,Latar belakang Rajah 1
10043,Plat bawah 59
10044,Gambar latar belakang 2
10045,Gambar latar belakang 3
10046,Gambar latar belakang 4
10047,Plat asas 97
10048,Gambar latar belakang 5
10049,Gambar latar belakang 6
10050,Plat asas 60
10051,
10052,
10053,
10054,
10055,
10056,
10057,
10058,
10059,
10060,
10061,
10062,
10063,
10064,
10065,
10066,ikon 173
10067,Ikon 174
10068,ikon 28
10069,ikon 175
10070,ikon 176
10071,Ikon 29
10072,Ikon 177
10073,ikon 178
10074,ikon 30
10075,ikon 179
10076,ikon 31
10077,ikon 32
10078,ikon 33
10079,ikon 34
10080,ikon 35
10081,ikon 36
10082,ikon 37
10083,Ikon 38
10084,Ikon 39
10085,ikon 180
10086,Ikon 181
10087,Ikon 182
10088,ikon 183
10089,Ikon 40
10090,ikon 156
10091,ikon 157
10092,ikon 41
10093,Ikon 42
10094,Ikon 184
10095,ikon 43
10096,ikon 44
10097,ikon 45
10098,ikon 46
10099,ikon 47
10100,ikon 48
10101,ikon 49
10102,Ikon 50
10103,ikon 51
10104,ikon 52
10105,ikon 53
10106,ikon 54
10107,ikon 55
10108,ikon 56
10109,ikon 57
10110,ikon 58
10111,ikon 59
10112,Ikon 60
10113,Ikon 61
10114,ikon 104
10115,ikon 105
10116,ikon 15
10117,Label 12
10118,Label 13
10119,Label 14
10120,Label 15
10121,Label 16
10122,Label 17
10123,Label 18
10124,Label 19
10125,Label 20
10126,Label 21
10127,Label 22
10128,Label 23
10129,Label 24
10130,Label 25
10131,Label 26
10132,Label 27
10133,Label 28
10134,Label 29
10135,Tag 30
10136,Label 31
10137,Label 32
10138,Label 33
10139,Label 34
10140,Butang 7
10141,Butang 8
10142,Butang 9
10143,Butang 10
10144,Butang 11
10145,Butang 12
10146,Butang 13
10147,Butang 49
10148,Label 62
10149,Label 63
10150,Butang 50
10151,Butang 51
10152,Butang 52
10153,Butang 53
10154,Plat bawah 61
10155,Butang 67
10156,Butang 68
10157,Butang 69
10158,Butang 70
10159,Butang 71
10160,Butang 72
10161,Butang 14
10162,Plat bawah 50
10163,Butang 15
10164,Butang 16
10165,Butang 17
10166,Butang 73
10167,Butang 74
10168,Butang 75
10169,Butang 18
10170,Butang 76
10171,Butang 77
10172,Butang 78
10173,Butang 39
10174,Plat asas 80
10175,Plat asas 81
10176,Plat bawah 82
10177,Plat bawah 83
10178,Plat bawah 84
10179,Label 36
10180,Tag 37
10181,Plat bawah 62
10182,Plat bawah 63
10183,Plat bawah 64
10184,Tapak 8
10185,Plat bawah 65
10186,Plat asas 9
10187,Plat asas 66
10188,Plat bawah 67
10189,Plat bawah 10
10190,Plat bawah 11
10191,Plat bawah 68
10192,Plat asas 85
