ID,名字,Desc
ID,Name,Desc
1001,Berubah kelajuan pergerakan,Membuat pemain@1@2
1002,Berubah kelajuan menggali,Mengubah kelajuan menggali pemain@1
1003,Berubah ratio kecederaan,Pemain yang terkena@1@2
1004,Lompat,Meningkatkan kekuatan lompatan pemain@1
1005,Berubah maximum tahap HP / Kelaparan,Buat maksimum@1pemain@2
1006,Terus berubah tahap kelaparan,Setiap@1saat tahap kelaparan pemain@2poin
1007,Terus memulihkan HP,Setiap@1saat HP pemain pulih@2
1008,Terus cedera,Setiap@1saat pemain mendapatkan@2@3
1009,Kecerahan penglihatan,Kecerahan penglihatan@1
1010,Ratio Kecederaan,Pemain mendapatkan@1@2
1011,Tahap kelaparan,Kecepatan kelaparan pemain@1
1012,Bertuah,Pemain@1ada@2kemungkinan mendapat@3kali ganda benda yang jatuh
1013,Kuatkan serangan Knock back,Jarak knock-back bertambah@1blok
1014,Pertahanan serangan Knock back,Jarak knock-back berkurang@1blok
1015,Isi padu model,Membuat ukuran pemain@1@2
1016,Berubah model,Berubah model menjadi@1
1017,Pening,Bergerak ke arah yang berlawanan
1018,Tak terkalahkan,Buat pemain menjadi tak terkalahkan
1019,Gelembung,Buat pemain dikelilingi oleh gelembung
1020,Beku,Pemain tidak dapat bergerak
1021,Oksigen,Pemain dalam@1keadaan setiap@2saat tahap oksigen@3poin
1022,Menyerap kecederaan,Pemain mendapat perisai yang dapat menyerap@1kecederaan
1023,Berubah kekuatan serangan,Membuat pemain@1@2
1024,Serangan pukulan kuat,Serangan dekat pemain dapat memukul sasaran keluar sebanyak@1blok.
1025,Status sampingan serangan,Semasa pemain membuat serangan mempunyai@1kemungkinan untuk mengenakan@3status pada sasaran sepanjang@2saat
1026,Berubah nilai pertahanan,Membuat pemain@1@2
1027,Kembalikan kecederaan,Semasa pemain kena serangan dekat mempunyai@1kemungkinan untuk menyebabkan penyerang mengalami@2poin kecederaan
1028,Panjat dinding,Pemain dapat bergerak sesuka hati di semua permukaan sperti memanjat tanga.
1029,Kadar permulihan HP,Tingkatkan pemulihan HP Pemain@1
1030,Kadar pengumpulan EXP,Kadar pengumpulan EXP pemain@1
1031,Max Stamina %,Pemain Max@1meningkat@2
1032,Max Stamina,Pemain Max@1meningkat@2
1033,Memulihkan stamina secara berterusan,Setiap@1saat memulihkan@2poin stamina
1034,Kadar kehilangan stamina,"Semasa pemain menjalankan@1, stamina akan hilang@2"
1035,Kadar permulihan stamina,"Semasa pemain berada@1, tahap pemulihan stamina@2"
1036,Pulih daripada keletihan,"Semasa stamina pemain pulih ke atas@1, status keletihan dihapuskan."
1037,Puasa,Tidak dapat menggunakan alat makanan.
1038,"Semasa bermula status, benda akan jatuh.","Semasa dalam status@1, pemain akan menghasilkan@2"
1039,Jatuhkan benda secara berterusan,"Setiap@1saat, pemain akan menghasilkan@2"
1040,Tidak dapat berlari,Pemain tidak dapat berlari.
1041,"Semasa status tamat, benda akan jatuh.","Semasa status@1berakhir, pemain akan menghasilkan@2"
1042,Berubah model (kulit),Berubah model pemain@1
1043,Memulihkan nyawa berterusan,Memulihkan kesihatan diri dan rakan sepasukan anda sebanyak 2 HP sesaat
1044,Terkena kerosakan berpanjangan,Menyebabkan monster mengambil 2 kerosakan sesaat
1045,Rosak memakan stamina,Watak menerima jumlah @1 sama apabila mereka mengambil stamina
1046,Ambil kerosakan semasa melakukan tindakan,Watak itu menerima @2 mata @3 apabila melakukan @1
1047,Status imuniti,Imuniti Watak @1
1048,Status tambahan,Watak mendapat @2 setiap @1 saat
1049,Dilarang operasi,Semua tindakan watak adalah dilarang
1050,Jenis status imuniti,Semua status jenis imuniti watak @1
1051,Jatuh,Menyebabkan makhluk terbang jatuh ke tanah
1052,Dilarang mengerak,Pergerakan watak adalah dilarang
1053,,
1054,,
1055,,
1056,Applique Skrin,Jadikan paparan skrin watak appliques
1057,Hentikan Tindakan,Jadikan watak berhenti pada bingkai semasa
1058,Tukar Tekstur,Tukar tekstur watak kepada bahan ais
1059,Kesan Khas Ais,Tambah kesan khas ais kepada watak
1060,Tamatkan perubahan suhu,Mengesetkan suhu aksara kepada @2 apabila status tamat
1061,Tamatkan bermain kesan khas dan kesan bunyi,Mainkan kesan khas dan kesan bunyi apabila status tamat
1062,Suhu menjejaskan tempoh,Tempoh status akan berubah kerana suhu sekitarnya
1063,Alih keluar status apabila mengambil kerosakan kumulatif,Status dialih keluar apabila kumulatif @1 kerosakan mencapai @2
1064,Tukar suhu dari semasa ke semasa,Tukar suhu watak dengan @2 setiap @1s
1065,Perubahan suhu yang ketara,Tukar suhu persekitaran yang menjejaskan aksara oleh @1
1066,Perubahan Suhu Sekeliling,Tingkatkan suhu persekitaran dalam @1 grid sekitar aksara dengan @2
1067,Sekat Pemeluwapan dan Lebur,"Jadikan pembekuan air dalam @1 grid di sekeliling aksara, dengan perbezaan ketinggian @2 grid di atas dan di bawah"
1068,Menjana blok secara rawak berdekatan,"Di dalam kawasan silinder di sekeliling pemain dengan jejari @1 dan ketinggian @2, jana @4 di permukaan atas blok rawak setiap @3s"
1069,Menyebabkan penyerang dapatkan status,"Apabila diserang @1 kali, kebarangkalian @2% meyebabkan penyerang mendapat @3"
1070,Perubahan pengganda jumlah pemulihan makanan,Jumlah pemulihan @2 makanan @1 meningkat sebanyak @3
