iD,马来语,马来语
ID,Name,AttrDesc
5,Serangan Pukul kuat,Serangan dekat dapat memukul sasaran dan terbang ke langit sejauh 4 blok.
5,Serangan Pukul kuat,Serangan dekat dapat memukul sasaran dan terbang ke langit sejauh 6 blok.
5,Serangan Pukul kuat,Serangan dekat dapat memukul sasaran dan terbang ke langit sejauh 8 blok.
5,Serangan Pukul kuat,Serangan dekat dapat memukul sasaran dan terbang ke langit sejauh 10 blok.
5,Serangan Pukul kuat,Serangan dekat dapat memukul sasaran dan terbang ke langit sejauh 12 blok.
6,Tajam,Kecederaan serangan dekat +5
6,Tajam,Kecederaan serangan dekat +10
6,Tajam,Kecederaan serangan dekat +16
6,Tajam,Kecederaan serangan dekat +24
6,Tajam,Kecederaan serangan dekat +35
7,Pemburu Manusia,Kecederaan serangan dekat terhadap manusia +8
7,Pemburu Manusia,Kecederaan serangan dekat terhadap manusia +16
7,Pemburu Manusia,Kecederaan serangan dekat terhadap manusia +25
7,Pemburu Manusia,Kecederaan serangan dekat terhadap manusia +40
7,Pemburu Manusia,Kecederaan serangan dekat terhadap manusia +60
8,Pemburu Haiwan,Kecederaan serangan dekat terhadap haiwan +8
8,Pemburu Haiwan,Kecederaan serangan dekat terhadap haiwan +16
8,Pemburu Haiwan,Kecederaan serangan dekat terhadap haiwan +25
8,Pemburu Haiwan,Kecederaan serangan dekat terhadap haiwan +40
8,Pemburu Haiwan,Kecederaan serangan dekat terhadap haiwan +60
9,Pemburu syaitan,Kecederaan serangan dekat terhadap pemanah sulfur dan Raksasa Lava +8
9,Pemburu syaitan,Kecederaan serangan dekat terhadap pemanah sulfur dan Raksasa Lava +16
9,Pemburu syaitan,Kecederaan serangan dekat terhadap pemanah sulfur dan Raksasa Lava +25
9,Pemburu syaitan,Kecederaan serangan dekat terhadap pemanah sulfur dan Raksasa Lava +40
9,Pemburu syaitan,Kecederaan serangan dekat terhadap pemanah sulfur dan Raksasa Lava +60
29,Pemburu orang liar,Kecederaan serangan dekat orang liar +8
29,Pemburu orang liar,Kecederaan serangan dekat orang liar +16
29,Pemburu orang liar,Kecederaan serangan dekat orang liar +25
29,Pemburu orang liar,Kecederaan serangan dekat orang liar +40
29,Pemburu orang liar,Kecederaan serangan dekat orang liar +60
10,Menyalakan,Serangan ini akan membakar sasaran selama 3 saat dengan 5 poin cedera setiap saat
10,Menyalakan,Serangan ini akan membakar sasaran selama 3 saat dengan 10 poin cedera setiap saat
10,Menyalakan,Serangan ini akan membakar sasaran selama 3 saat dengan 15 poin cedera setiap saat
10,Menyalakan,Serangan ini akan membakar sasaran selama 3 saat dengan 20 poin cedera setiap saat
10,Menyalakan,Serangan ini akan membakar sasaran selama 3 saat dengan 25 poin cedera setiap saat
11,Serangan mundur,Serangan ini akan membuat sasaran mundur 2 blok.
11,Serangan mundur,Serangan ini akan membuat sasaran mundur 4 blok.
11,Serangan mundur,Serangan ini akan membuat sasaran mundur 6 blok.
11,Serangan mundur,Serangan ini akan membuat sasaran mundur 8 blok.
11,Serangan mundur,Serangan ini akan membuat sasaran mundur 10 blok.
12,Pemburu bertuah,Terdapat 20% kesempatan utk mendapatkan kejatuhan benda sebanyak dua kali ganda semasa mengalahkan makhluk.
12,Pemburu bertuah,Terdapat 20% /15% kesempatan utk mendapatkan kejatuhan benda sebanyak dua / tiga kali ganda semasa mengalahkan makhluk.
12,Pemburu bertuah,Terdapat 20% / 15%/ 15% kesempatan utk mendapatkan kejatuhan benda sebanyak dua / tiga / empat kali ganda semasa mengalahkan makhluk.
13,Tembakan kuat,Kecederaan disebabkan oleh serangan panah bertambah 25%.
13,Tembakan kuat,Kecederaan disebabkan oleh serangan panah bertambah 50%.
13,Tembakan kuat,Kecederaan disebabkan oleh serangan panah bertambah 75%.
13,Tembakan kuat,Kecederaan disebabkan oleh serangan panah bertambah 100%.
13,Tembakan kuat,Kecederaan disebabkan oleh serangan panah bertambah 125%.
14,Tembakan tidak terhad,Tembakan memanah tidak lagi menghabiskan anak panah tetapi bertukar menggunakan 5 poin ketahanan untuk memanah.
14,Tembakan tidak terhad,Tembakan memanah tidak lagi menghabiskan anak panah tetapi bertukar menggunakan 4 poin ketahanan untuk memanah.
14,Tembakan tidak terhad,Tembakan memanah tidak lagi menghabiskan anak panah tetapi bertukar menggunakan 3 poin ketahanan untuk memanah.
14,Tembakan tidak terhad,Tembakan memanah tidak lagi menghabiskan anak panah tetapi bertukar menggunakan 2 poin ketahanan untuk memanah.
14,Tembakan tidak terhad,Tembakan memanah tidak lagi menghabiskan anak panah tetapi bertukar menggunakan 1 poin ketahanan untuk memanah.
15,Ketahanan,Meningkatkan ketahanan barang sebanyak 40%
15,Ketahanan,Meningkatkan ketahanan barang sebanyak 80%
15,Ketahanan,Meningkatkan ketahanan barang sebanyak 160%
15,Ketahanan,Meningkatkan ketahanan barang sebanyak 240%
15,Ketahanan,Meningkatkan ketahanan barang sebanyak 320%
16,Pertahanan serangan dekat,Menambah 1 poin pertahanan serangan dekat
16,Pertahanan serangan dekat,Menambah 3 poin pertahanan serangan dekat
16,Pertahanan serangan dekat,Menambah 5 poin pertahanan serangan dekat
16,Pertahanan serangan dekat,Menambah 9 poin pertahanan serangan dekat
16,Pertahanan serangan dekat,Menambah 15 poin pertahanan serangan dekat
17,Pertahanan serangan jauh,Menambah 1 poin pertahanan serangan jauh
17,Pertahanan serangan jauh,Menambah 3 poin pertahanan serangan jauh
17,Pertahanan serangan jauh,Menambah 5 poin pertahanan serangan jauh
17,Pertahanan serangan jauh,Menambah 9 poin pertahanan serangan jauh
17,Pertahanan serangan jauh,Menambah 15 poin pertahanan serangan jauh
18,Pertahanan ledakan,Menambah 1 poin pertahanan serangan ledakan
18,Pertahanan ledakan,Menambah 3 poin pertahanan serangan ledakan
18,Pertahanan ledakan,Menambah 5 poin pertahanan serangan ledakan
18,Pertahanan ledakan,Menambah 9 poin pertahanan serangan ledakan
18,Pertahanan ledakan,Menambah 15 poin pertahanan serangan ledakan
19,Pertahanan Api,Menambah 1 poin pertahanan api
19,Pertahanan Api,Menambah 3 poin pertahanan api
19,Pertahanan Api,Menambah 5 poin pertahanan api
19,Pertahanan Api,Menambah 9 poin pertahanan api
19,Pertahanan Api,Menambah 15 poin pertahanan api
20,Pertahanan keracunan,Menambah 1 poin pertahanan keracunan
20,Pertahanan keracunan,Menambah 3 poin pertahanan keracunan
20,Pertahanan keracunan,Menambah 5 poin pertahanan keracunan
20,Pertahanan keracunan,Menambah 9 poin pertahanan keracunan
20,Pertahanan keracunan,Menambah 15 poin pertahanan keracunan
21,Pertahanan huru-hara,Menambah 1 poin pertahanan huru-hara
21,Pertahanan huru-hara,Menambah 3 poin pertahanan huru-hara
21,Pertahanan huru-hara,Menambah 5 poin pertahanan huru-hara
21,Pertahanan huru-hara,Menambah 9 poin pertahanan huru-hara
21,Pertahanan huru-hara,Menambah 15 poin pertahanan huru-hara
22,Serangan balik,"Semasa diserang dalam jarak dekat, mempunyai kesempatan 50% untuk menyebabkan 5 poin kecederaan pada penyerang"
22,Serangan balik,"Semasa diserang dalam jarak dekat, mempunyai kesempatan 50% untuk menyebabkan 10 poin kecederaan pada penyerang"
