ID,名字,描述,,
ID,Name,Desc,Order,IsHide
1,50 Koin Mini,@Null@,,
2,250 Koin Mini,@Null@,,
3,500 Koin Mini,Bonus 25 Koin Mini,,
4,1000 Koin Mini,Bonus 100 Koin Mini,,
5,2500 Koin Mini,Bonus 500 Koin Mini,,
6,5000 Koin Mini,Bonus 1500 Koin Mini,,
7,100 Koin Mini,Bonus 100 Koin Mini (Had Beli: 1 kali),,
8,300 Koin Mini,Bonus 300 Koin Mini (Had Beli: 1 kali),,
11,12 Koin Mini,Bonus 1 Koin Mini,3,0
12,14 Koin Mini,,,
13,27 Koin Mini,,,
14,41 Koin Mini,,,
17,20 Koin Mini,,,
20,25 Koin Mini,,4,0
21,14400 Koin Mini,Tambahan 4600 Koin Mini percuma,,
22,33 Koin Mini,33 Koin Mini percuma (1 pembelian sahaja),,
23,150 Koin Mini,150 Koin Mini percuma (1 pembelian sahaja),,
