ID,名称
ID,Name
79000000,Blok rumput
79000001,Blok Dadih Hitam
79000002,Blok Dadih Hitam
79000003,Blok Dadih Hitam
79000004,Blok Dadih Hitam
79000005,Blok Dadih Hitam
79000006,Blok Dadih Hitam
79000007,Tanah Pertanian
79000008,Tanah Pertanian
79000009,Blok Racun
79000010,Kristal Hitam
79000011,Blok Rumput Blueberry
79000012,Blok Tanah Blueberry
79000013,Blok Dadih
79000014,Blok Rumput Horas
79000015,Pasir Kristal Sulfur
79000016,Bijih Besi
79000017,Batu Magik
79000018,Batu Berlumut
79000019,Blok Abu
79000020,Tanah Merah Pertanian
79000021,Tanah Merah Pertanian
79000022,Tanah Merah
79000023,Pasir Merah
79000024,Batu Sedimen
79000025,Batu Sedimen
79000026,Batu Aeolian
79000027,Batu Aeolian
79000028,Tanah
79000029,Batu Kutukan
79000030,Tanah Kering
79000031,Ais keras
79000032,Pasir Panas
79000033,Pasir Panas
79000034,Tanah Beku
79000035,Blok Tenaga Kondensasi
79000036,Brugo Gergasi
79000037,Buah Bulu Sisik Gergasi
79000038,Blok Tanah Berumput
79000039,Kerikil
79000040,Ais Rangup
79000041,Ais Rangup
79000042,Pancang Ais Rangup
79000043,Pancang Ais Pepejal
79000044,Kayu Gen Botak
79000045,Kayu Gen
79000056,Balak Kayu Arbor
79000057,Dahan Kayu Poplar Tebal
79000058,Dahan Kayu Pinus Tebal
79000059,Balak Pokok Kelapa
79000060,Dahan Kayu Ceri Tebal
79000061,Teras Pohon Hutan Hujan
79000062,Teras Pohon Hutan Hujan
79000063,Dahan Pokok Persik Tebal
79000064,Balak Phoebe
79000065,Balak Pohon Populus
79000066,Balak Pohon Populus
79000067,Dahan Kayu Sequoia Tebal
79000068,Batang pohon suci
79000069,Dahan Pokok Kenari Tebal
79000070,Bata Separuh Moden
79000071,Daun Pori Mutan
79000072,Batang Tumbuhan Mutan
79000073,Pasir Kuning
79000074,Blok Minyak
79000075,Pasir Kuning
79000076,Tanah Pasir
79000077,Blok Celesthium
79000078,Batu
79000079,Batu Sulfur
79000080,Batu Pusat Bumi
79000081,Batu Asas-Konkrit
79000082,Batu Asas-Tanah Retak
79000083,Batu Asas Putih
79000084,Batu Asas-Ais Pepejal
79000085,Batu Bata
79000086,Lantai
79000087,Papan Lantai Oren Gelap
79000088,Lantai Merah Begonia
79000089,Papan Nipis Vertikal Tembaga
79000090,Papan Nipis Vertikal Bata Simen
79000091,Batu Bata Kasar
79000092,Blok karamel
79000093,Blok Kereta
79000094,Bata Separuh Oriental
79000095,Bata Separuh Oriental
79000096,Batu bata Minimalis
79000097,Bata Separuh Minimalis
79000098,Jubin Dinding Minimalis
79000099,Jubin Dinding Minimalis
79000100,Blok Kaca
79000101,Bata Kaca
79000102,Bata Kaca Horizontal
79000103,Bata Kaca Vertikal
79000104,Bata Kaca Grid
79000105,Bata Kaca Tidak Teratur
79000106,Lampu Kaca Hijau
79000107,Blok Kaca Keras
79000108,Tumpukan Jerami
79000109,Madu Hangus
79000110,Blok Tembaga Horas
79000111,Bata Ais
79000112,Blok Penderia Inframerah
79000113,Papan Nipis Vertikal Blok Mangan
79000114,Papan Nipis Vertikal Mithril
79000115,Papan Nipis Vertikal Kuning Lemon
79000116,Papan Nipis Vertikal Bambu
79000117,Papan Nipis Vertikal Gading
79000118,Papan Nipis Vertikal Oren Gelap
79000119,Papan Nipis Vertikal Hoary
79000120,Papan Nipis Vertikal
79000121,Papan Nipis Vertikal Cinerous
79000122,Papan Cinerous
79000123,Papan Nipis Vertikal Carmine
79000124,Papan Nipis Vertikal Oren Terbenam
79000125,Papan Kayu Populus
