ID,名称
ID,Name
11000005,Mangkuk
11000006,Bintang
11000007,Separuh Silinder
11000008,Meja
11000009,Bangku
11000010,Papan
11000011,Hemisfera
11000012,Lifebuoy
11000013,Kek bulat
11000014,Pokok
11000015,Injap
11000016,Bangku Panjang
11000017,Blok
11000018,Bunga
11000019,Pokok Roti
11000020,Pagar
11000021,Payung
11000022,Kayu Panjang
11000023,Tukul
11000024,Bunga Berputar
11000025,Berayun tukul
11000026,Pokok Roti Lantun
11000027,Injap Berputar
11000028,Kusyen Udara
11000029,Pagar Kembung
11000030,Asap 1
11000031,Asap 8
11000032,Asap 23
11000033,Letupan 2
11000034,Letupan 15
11000035,Letupan 37
11000036,Api 3
11000037,Api 11
11000038,Api 31
11000039,Persekitaran 2
11000040,Persekitaran 12
11000041,Persekitaran 8
11000042,Kesan Cahaya 52
11000043,Kesan Cahaya 9
11000044,Kesan Cahaya 7
11000045,Zarah 2
11000046,Zarah 6
11000047,Zarah 24
11000048,Petua 1
11000049,Petua 7
11000050,Petua 44
11000051,Kesan Cahaya 35
11000052,Kesan Cahaya 47
11000053,Kesan Cahaya 72
11000054,Kesan Cahaya 77
11000055,Kesan Cahaya 86
11000056,Asap 2
11000057,Asap 4
11000058,Asap 5
11000059,Asap 26
11000060,Asap 30
11000061,Asap 32
11000062,Asap 42
11000063,Zarah 5
11000064,Zarah 12
11000065,Zarah 21
11000066,Zarah 25
11000067,Zarah 29
11000068,Zarah 31
11000069,Zarah 33
11000070,Zarah 35
11000071,Zarah 40
11000072,Zarah 43
11000073,Persekitaran 11
11000074,Persekitaran 16
11000075,Api 4
11000076,Api 15
11000077,Donat
11000078,Wafer
11000079,Semanggi
11000080,paip air merah
11000081,Epal Merah
11000082,Karusel Biru
11000083,Halangan
11000084,Daun
11000085,Cendawan Kuning
11000086,Pelangi
11000088,Penanda X
11000089,Hati Merah Jambu
11000090,Gelongsor
11000091,Lori
11000092,Treler
11000093,Lori
11000094,Kereta biru
11000095,Van
11000096,Kanopi
11000097,Tanda Pizza
11000098,Eskalator
11000099,Cangkuk
11000100,Saluran Pengudaraan
11000101,Gerbang
11000102,Kotak hadiah
11000103,Kuda Trojan
11000104,Belon udara panas
11000105,TV
11000107,Bulan
11000108,Pancuran
11000109,Sudu
11000110,Buku
11000111,Pisau
11000112,Pemutar skru
11000113,Botol
11000114,Berlian
11000115,Hati
11000116,Gear
11000117,Anak panah melengkung
11000118,Anak Panah Lurus
11000119,silinder
11000120,Kon Terpenggal
11000121,cincin
11000122,Arka
11000123,gerbang
11000124,cincin persegi
11000125,Prisma segi tiga
11000126,Prisma heksagon
11000127,Silinder Sektor
11000128,silinder cembung
11000129,silinder cekung
11000130,Kon Tetragon
11000131,Kon Heksagon
11000132,gelongsor
16000000,Kiub
16000001,Sfera
16000002,Silinder
16000003,Kon
16000004,Baji
