接口ID,马来语,马来语,马来语,马来语,马来语,马来语,马来语
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,Pengurusan permainan,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,Tamatkan permainan,local result = Game:doGameEnd()
10002,Pengurusan permainan,setScriptVar,"Game:setScriptVar(index, val)","index:number mula mencari dari 1, val:number custom",ErrorCode.OK,Tetapkan parameter skrip untuk penggunaan khusus,"local result = Game:setScriptVar(index, val)"
10003,Pengurusan permainan,getScriptVar,Game:getScriptVar(index),index:number mula mencari dari 1,"ErrorCode.OK, val:number User Value","Dapatkan parameter skrip, sesuaikan penggunaan",local result = Game:getScriptVar(index)
10004,Pengurusan permainan,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,Muat naik parameter skrip yang ditetapkan,local result = Game:sendScriptVars2Client()
10005,Pengurusan permainan,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",Kesan global baru,local result = Game:addRenderGlobalEffect(path)
10006,Pengurusan permainan,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,Keluarkan kesan global,local result = Game:removeRenderGlobalEffect(effectid)
10007,Pengurusan permainan,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,Tetapkan kedudukan kesan global,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,Pengurusan permainan,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,Tetapkan zoom kesan global,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,Pengurusan permainan,msgBox,Game:msgBox(msg),,,messagebox,local result = Game:msgBox(msg)
20001,Pengurusan dunia,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",Adakah pada waktu siang,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --Sekiranya pada waktu malam, nyalakan obor kepada pemain
 local itemId, itemCnt = 817, 2 --Id dan kuantiti obor
 Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,Pengurusan dunia,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",Adakah permainan ini ciptaan khas,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Permainan semasa adalah permainan khas') end"
