签到类型/1七天 2每周 3国庆活动,天数/周几,马来语,马来语
SignInType,WhatDay,RewardName,RewardTips
1,1,Bunga api Hujan & Bersinar,Telah disimpan di gudang
1,2,Peti keselamatan,Telah disimpan di gudang
1,3,Kotak hadiah bintang,Telah disimpan di gudang
1,4,Bunga Api Bintang,Telah disimpan di gudang
1,5,Bunga api Hujan & Bersinar,Telah disimpan di gudang
1,6,Kotak hadiah bintang,Telah disimpan di gudang
1,7,Pek hadiah mini,Telah disimpan di gudang
2,1,Beg telur bertuah,Telah disimpan di gudang
2,2,Pakej pakaian,Telah disimpan di gudang
2,3,Kotak hadiah bintang,Telah disimpan di gudang
2,4,Pakej pakaian,Telah disimpan di gudang
2,5,Kotak hadiah bintang,Telah disimpan di gudang
2,6,Kacang mini,Telah ditambah ke akaun
2,7,Kacang mini,Telah ditambah ke akaun
3,1,Kotak hadiah bintang,Telah disimpan di gudang
3,2,Satu beg kacang mini,Telah disimpan di gudang
3,3,Teleport Tatal,Telah disimpan di gudang
3,4,Satu beg kacang mini,Telah disimpan di gudang
3,5,Bunga Api Bintang,Telah disimpan di gudang
3,6,Satu beg kacang mini,Telah disimpan di gudang
3,7,Jubah mini,Telah disimpan di gudang
3,8,Satu beg kacang mini,Telah disimpan di gudang
3,9,Satu beg kacang mini,Telah disimpan di gudang
3,10,Satu beg kacang mini,Telah disimpan di gudang
3,11,Satu beg kacang mini,Telah disimpan di gudang
3,12,Kad pakaian,Telah disimpan di gudang
3,13,Satu beg kacang mini,Telah disimpan di gudang
3,14,Satu beg kacang mini,Telah disimpan di gudang
3,15,Satu beg kacang mini,Telah disimpan di gudang
3,16,Satu beg kacang mini,Telah disimpan di gudang
3,17,Satu beg kacang mini,Telah disimpan di gudang
3,18,Satu beg kacang mini,Telah disimpan di gudang
3,19,Satu beg kacang mini,Telah disimpan di gudang
3,20,Baret,Telah disimpan di gudang
