ID,购买提示
ID,BuyTips
1,Buahan taman boleh membantu anda buka kunci item.
2,Buahan taman boleh membantu anda buka kunci item.
3,Buka kunci dalam acara
4,Buka kunci dalam acara
5,Alat membuka kunci dapat diperoleh dari buah-buahan rumah. (Hiburan yang sederhana dan rasional)
6,Alat membuka kunci dapat diperoleh dari buah-buahan rumah. (Hiburan yang sederhana dan rasional)
7,Akses terbuka ke rumah setelah mencapai tahap 10.
8,Alat membuka kunci dapat diperoleh dari buah-buahan rumah. (Hiburan yang sederhana dan rasional)
9,Alat membuka kunci dapat diperoleh dari buah-buahan rumah. (Hiburan yang sederhana dan rasional)
10,Alat membuka kunci dapat diperoleh melalui aktiviti operasi.
11,Alat membuka kunci dapat diperoleh melalui aktiviti operasi.
12,@Null@
13,@Null@
14,@Null@
15,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
16,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
17,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
18,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
19,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
20,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
21,@Null@
22,@Null@
23,@Null@
24,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
25,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
26,@Null@
27,@Null@
28,@Null@
29,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
30,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
31,@Null@
32,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
33,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
34,Alat membuka kunci dapat diperoleh melalui kedai kebajikan.
35,Alat membuka kunci dapat diperoleh melalui kedai kebajikan.
36,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
37,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
38,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
39,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
40,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
45,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
46,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
47,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
48,Pembelian untuk membuka kunci (Hiburan yang sederhana dan rasional)
49,Alat membuka kunci dapat diperoleh melalui aktiviti operasi.
50,Alat membuka kunci dapat diperoleh melalui aktiviti operasi.
51,Alat membuka kunci dapat diperoleh melalui aktiviti operasi.
52,Alat membuka kunci dapat diperoleh melalui aktiviti operasi.
53,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
54,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
55,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
56,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
57,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
58,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
59,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
60,Alat membuka kunci dapat diperoleh melalui aktiviti operasi.
61,Alat membuka kunci dapat diperoleh melalui aktiviti operasi.
62,"Alat membuka kunci dapat diperoleh dari buah aktiviti kebun rumah, tidak dimasukkan ke dalam buah keemasan dan buah biasa (Hiburan yang sederhana dan rasional)"
63,Alat membuka kunci dapat diperoleh melalui aktiviti operasi.
64,Alat membuka kunci dapat diperoleh melalui aktiviti operasi.
65,Alat membuka kunci dapat diperoleh melalui aktiviti operasi.
66,Alat membuka kunci dapat diperoleh melalui aktiviti operasi.
67,Alat membuka kunci dapat diperoleh melalui aktiviti operasi.
68,Buy unlock (moderate entertainment and rational consumption)
69,"Item yang dikunci boleh diperolehi dari buah acara taman, tidak terdapat dalam buah emas dan buah biasa (hiburan yang sesuai dan penggunaan rasional)"
70,"Item yang dikunci boleh diperolehi dari buah acara taman, tidak terdapat dalam buah emas dan buah biasa (hiburan yang sesuai dan penggunaan rasional)"
71,Pembelian untuk membuka kunci (hiburan yang sesuai dan penggunaan rasional)
72,"Item yang dikunci boleh diperolehi dari buah acara taman, tidak terdapat dalam buah emas dan buah biasa (hiburan yang sesuai dan penggunaan rasional)"
73,"Item yang dikunci boleh diperolehi dari buah acara taman, tidak terdapat dalam buah emas dan buah biasa (hiburan yang sesuai dan penggunaan rasional)"
74,"Buka kunci item boleh didapati di belian tawaran istimewa, beli Pek Hadiah"
75,"Item yang dikunci boleh diperolehi dari buah acara taman, tidak terdapat dalam buah emas dan buah biasa (hiburan yang sesuai dan penggunaan rasional)"
76,"Item yang dikunci boleh diperolehi dari buah acara taman, tidak terdapat dalam buah emas dan buah biasa (hiburan yang sesuai dan penggunaan rasional)"
