ID,任务名,任务描述,任务追踪
ID,Name,Desc,TrackDesc
1001001,Tempatkan Buah Suci,"Tempatkan @item_587# di atas Altar Batu Hidup
@1#r (""Buah Suci"" mewakili teknologi pengubahsuaian genetik ""Orang Purba"" yang pernah gemilang.)",Tempatkan @item_587# di atas Altar Batu Hidup
1001002,Tempatkan Pedang Api Patah,"Tempatkan @item_588# di atas Altar Batu Keberanian @1#r (""Pedang Api Patah"" adalah simbol kerjasama antara Orang Purba dan Naga Hitam bertahun-tahun.)",Tempatkan @item_588# di atas Altar Batu Keberanian
1001003,Tempatkan Mata Orang Batu,"Tempatkan @item_589# di atas Altar Batu Kebijaksanaan @1#r (""Mata Orang Batu"" mewakili Kebijaksanaan yang pernah dibanggakan oleh ""Orang Purba"".)",Tempatkan @item_589# di atas Altar Batu Kebijaksanaan
1001004,Pertempuran dengan Bayang Hampa!,"Kalahkan Bayang Hampa! #r(Tidak boleh patah balik, demi Mini World!)",Kalahkan Bayang Hampa!
1001005,Sentuhi Hampa,@item_11333# diperolehi #r(Ini……permulaan baru?……),@item_11333# diperolehi.
1002001,Kembali ke Miras,"Akhirnya tiba di Miras. #rTetapi semasa menerobos sekatan Rantai Bintang, seluruh pasukan telah dipisahkan. Adakah rakan lain tiba di Miras?",Tiba di Miras
1002002,Saya perlukan beberapa batu,"Kumpulkan @item_110# untuk dapatkan @item_11627#@1#r (Tekan lama pada blok batu untuk kumpulkan, atau buka panel kawalan, mensintesis @item_104 untuk mendapatkan @item_11627#.)",Kumpulkan @item_110# untuk dapatkan @item_11627#@1
1002003,Lebih Banyak Bahan,"Kumpul dahan untuk mendapatkan @item_11323#@1#r (tekan lama pada dahan untuk mengumpul, sesetengah dahan pokok tumbuh di kedudukan yang agak tinggi, adakah cara untuk menaikkan diri anda lebih tinggi)",Kumpul dahan untuk mendapatkan @item_11323#@1
1002004,Mulai Kehidupan Bahagia,Gunakan @item_11627# dan @item_11323# untuk sintesis @item_11002#@1#r (Alat berguna boleh mempercepatkan pengumpulan sumber),Buka Panel Kawalan untuk sintesis @item_11002#@1
1002005,Penebang,"Pegang @item_11002#, kumpul dahan! Mendapatkan lebih banyak @item_11323#@1#r (@item_11323# sangat penting dalam perjalanan masa depan.)",Tebang pokok untuk mengumpul @item_11323#@1
1002006,Pakar Bangunan,"Gunakan @item_11323# untuk mensintesis @item_206#@1#r (Kecuali @item_206#, kebanyakan alat kayu memerlukan @item_11323#. Kumpulkan sebanyak mungkin.)",Sintesis @item_206#@1
1002007,Tempat Tinggal,"Letakkan @item_206#@1#r (Nampaknya sebuah rumah usang berhampiran Stesen Bintang tadi. Mungkin boleh dibaiki dengan @item_206#, jangan risau)",Letakkan @item_206#@1
1002008,Mempersenjatai Diri,"Gunakan @item_11323# dan @item_11627# untuk mensintesis @item_12012#@1#r (Bertahan di alam liar sangat berbahaya, jadi mempunyai senjata yang berguna adalah penting!)",Sintesis @item_12012#@1
1002009,Serang!,Kalahkan mana-mana makhluk@1#r (Pertahanan terbaik adalah serangan? Cubalah senjata yang baru dibuat),Kalahkan mana-mana makhluk@1
1002010,Terang Dalam Gelap!,"Gunakan @item_11323# dan @item_11226# untuk mensintesis @item_298#@1#r (Ingat! Masa membakar obor kecil terbatas, perlu dinyalakan semula jika terpadam. Tetapi ia adalah alat pencahayaan sementara))",Sintesis @item_298#@1
1002011,Pesta Unggun Api,"Gunakan @item_298# untuk menyalakan @item_1200#@1#r (Kemungkinan @item_1200# disembunyikan di rumah usang di Stesen Bintang berhampiran, atau anda boleh mensintesis lagi)",Nyalakan @item_1200#@1
1002012,Tukang,"Gunakan item_11323# dan @item_11627# untuk mensintesis @item_800#@1#r (Meja Tukang, kepenting dalam penjalanan! Untuk mensintesis lebih banyak item)",Sintesis @item_800#@1
1002014,Rehat Sekejap,"Gunakan @item_828# untuk tidur #r (klik @item_828# untuk berbaring di atasnya, tetapi tidak boleh tidur pada siang hari, hanya tidur pada waktu malam. Malam di Miras mulai dari pukul 20: 00, memberi perhatian)",Klik untuk letakkan @item_828# untuk tidur
1003001,"Daging Panggang, Wangi!",Panggang @item_12513# di atas unggun api untuk mendapatkan @item_12514#@1#r (Kebanyakan daging yang dijatuhkan dari haiwan boleh dimasak. Makan daging mentah terus di alam liar adalah sangat berbahaya. Sila panggang sebelum makan!),Gunakan @item_1200# untuk memanggang dan dapatkan @item_12514#@1
1003002,Ditakluki Oleh Daging Panggang,"Makan @item_12514# untuk memulihkan stamina@1#r (Selepas makan, anda berasa kenyang!)",Makan @item_12514#@1
1003003,Alat Penggalian,"Gunakan @item_11627# dan @item_11627# untuk mensintesis @item_11012#@1#r (Dengan @item_11012#, mengumpul mineral dengan lebih cepat. susah untuk melombong dengan tangan kosong!)",Sintesis @item_11012#@1
1003004,Sumber Baru?,"Gunakan @item_11012# untuk melombong @item_402# dan dapatkan @item_11201#@1#r (@item_11201# ialah bahan api peleburan yang paling biasa di Miras. Ia agak biasa ditemui di atas dan di bawah tanah, perhatikan.)",Lombong @item_402#@1
1003005,Mineral Baru!,"Gunakna @item_11012# untuk menggali @item_451#@1#r (@item_451# bertabur di Miras, biasa dtemui di atas dan di bawah tanah Miras)",Lombong @item_451#@1
1003006,Tukang Meja Peleburan,"Gunakan @item_11226# dan @item_101# untuk mensintesis @item_802#@1#r (Dengan @item_802#, dapat melebur logam, tiba masanya untuk menaik taraf alat dengan melombong)",Sintesis @item_802#@1
1003007,Peleburan Logam: Tembaga,Gunakan @item_451# untuk melebur @item_11329# di dalam @item_802#@1#r (@item_11329# ialah logam yang sangat asas dan kegunaan yang luas. Digunakan untuk menaik taraf alat dan meningkatkan kecekapan),Lebur untuk mendapatkan @item_11329#@1
1003008,Alat yang lebih berguna,"Gunakan @item_11329# dan @item_11323# untuk mensintesis @item_11011#@1#r (@item_800# diperlukan untuk mensintesis. Dengan @item_11011#, kelajuan perlombongan lebih cepat! )",Sintesis @item_11011#@1
1004001,Pertanian Bermula,Gunakan @item_11627# dan @item_11323# untuk mensintesis @item_11032#@1#r (Anda dapat menambak tanah pertanian),Sintesis @item_11032#@1
1004002,Penambakan Tanah Pertanian,"Gunakan @item_11032# pada @item_100# atau @item_101#, untuk menjadi tanah pertanian@1#r (Menambak tanah pertanian: PC: Klik kanan dan tekan lama pada blok. Mudah alih: Tekan lama pada blok)",Gunakan @item_11032# untuk menambak tanah pertanian@1
1004004,Pembajaan,"Gunakan @item_11311# pada tanaman@1#r (@item_11311# boleh mempercepatkan pertumbuhan kebanyakan tanaman, tetapi setiap kali pembajaan tidak semestinya berjaya...)",Guna @item_11311# @1pada tanaman
1004005,Masa Penuaian!,Tuai @item_229# yang matang@1#r (Tuaian pertama sentiasa tidak dapat dilupakan),Tuai @item_229#@1
1004006,Langkah pertama untuk menjadi chef,"Gunakan @item_104# untuk mensintesis @item_200108#@1#r (@item_800# diperlukan untuk mensintesis. Unggun api dapat dinyalakan dengan @item_298#, ingat? Tempatkan @item_200108# di atas @item_1200# yang dinyalakan untuk membuat lebih banyak makanan)",Sintesis @item_200108#@1
1004007,Penyediaan Bahan,Gunakan @item_229# untuk mensintesis @item_344#@1#r (@item_800# diperlukan untuk sintesis. @item_344# adalah bahan asas untuk kebanyakan masakan),Sintesis @item_344#@1
1004008,Masakan Lazat,"Masak @item_12502#@1#r (Gunakan @item_344# dalam @item_200108#, tunggu masakan lazat)",Memasak @item_12502# dalam @item_200108#@1
1004009,Nikmati makanan yang lazat,Makan @item_12502#@1#r (Mempunyai kekuatan untuk bekerja selepas kenyang!),Makan @item_12502#@1
1004010,Beg galas sudah penuh!,Gunakan @item_11323# untuk mensintesis @item_1180#@1#r (Item yang tidak boleh dimuatkan dalam beg galas boleh disimpan di dalam kotak simpanan.),Sintesis @item_1180#@1
