ID,名字
ID,EnumName
10001,Cerah dan hujan
10002,Cerah
10003,Hujan
10004,Ribut petir
10005,Cuaca buruk
10006,Salji
10007,Ribut pasir
10008,Ribut
10009,Ribut salji
20001,Timur
20002,Selatan
20003,Barat
20004,Utara
20005,Atas
20006,Bawah
30001,Perspektif hadapan
30002,Perspektif belakang
30003,Pandangan hadapan
30004,Pandangan tunduk
30005,Padanagan custom
30006,
40001,X
40002,Y
40003,Z
50001,Sistem sudut
50002,Sistem Radian
60001,Log
60002,Ln
70001,Ke bawah
70002,Pembundaran
70003,Ke atas
80001,Kecederaan jarak dekat
80002,Kecederaan jarak jauh
80003,Kecederaan letupan
80004,Kecederaan bakar
80005,Kecederaan racun
80006,Kerosakan huru-hara
80007,Kecederaan jatuh
80008,Kecederaan asfiksia
80009,Kerosakan Beku
90001,Ya
90002,Tidak
100001,On
100002,Off
110001,Max.
110002,Min.
120001,Sama dengan
120002,Tidak sama dengan
120003,Lebih daripada
120004,Kurang daripada
120005,Lebih besar sama dengan
120006,Lebih kecil sama dengan
130001,Tambah
130002,Kurang
130003,Kali
130004,Bagi
140001,Max. Nilai Nyawa
140002,Saat HP
140003,Penyembuhan
140006,Tahap kelaparan
140008,Tahap oksigen sekarang
140010,Kelajuan bergerak
140011,Kelajuan berlari
140012,Kelajuan menyelinap
140013,Kelajuan berenang
140014,Melompat
140015,Kadar mengelak
140016,Serangan jarak dekat
140017,Serangan jarak jauh
140018,Ketahanan jarak dekat
140019,Ketahanan jarak jauh
140020,Ukuran model
140022,Bintang
140023,EXP semasa
140024,Tahap semasa
140025,Stamina Maksima
140026,Stamina Semasa
140027,Kadar pemulihan stamina
150001,Beku
150002,Bergerak
150004,Lari
150005,Lompat
150006,Lompat berganda
150007,Menyelinap
150011,Mendarat
160001,Boleh bergerak
160002,Boleh letak blok
160003,Boleh berinteraktif dengan blok
160004,Boleh rosakkan blok
160005,Boleh guna peralatan
160006,Boleh menyerang
160007,Boleh diserang
160008,Boleh dibunuh
160009,Boleh mengutip peralatan
160010,Dapat kalahkan bahan jatuh
160011,Boleh buang peralatan
170001,Kumpulah1Merah
170002,Kumpulah2Biru
170003,Kumpulah3Hijau
170004,Kumpulah4Kuning
170005,Kumpulah5Jingga
170006,Kumpulah6Ungu
170007,Tiada kumpulan
180001,Bilangan pemain
180002,Markah
190001,Boleh dirosak
190002,Boleh berinteraktif
190003,Boleh ditolak
190004,Boleh jatuh bahan
200001,Kosong
200002,AFK
200003,Jalan-jalan
200004,Serangan jarak dekat
200005,Serangan jarak jauh
200006,Ikut
200007,Berenang
200008,Lari
200009,Penghacuran diri
200010,Terpikat
200011,Cocokan
210001,Max. Nilai Nyawa
210002,Nilai Nyawa Semasa
210003,Pemulihan nyawa
210005,Nilai lapar semasa
210007,Nilai oksigen semasa
210009,Kelajuan bergerak
210011,Kelajuan berberenang
210012,Kelajuan berlompat
210014,Sklajuan bermengelak
210015,Serangan jarak dekat
210016,Serangan jarak jauh
210017,Pertahanan jarak dekat
210018,Pertahanan jarak jauh
210019,Ukuran model
220001,Boleh berbergerak
220002,Boleh berdiserang
220003,Boleh dibunuh
220004,Boleh mengutip peralatan
220005,Dapatkan kalahkan bahan jatuh
230001,Pilih kawasan
240001,Lokasi dalam peristiwa
240002,Tempat lahir
240003,Pilih lokasi
250001,Peristiwa pencetus pemain
250002,Sasaran pemain dalam peristiwa
260001,Blok udara
260002,Jenis blok dalam peristiwa
260003,Jenis blok yang terakhir dibuat
270001,Jenis peralatan dalam peristiwa
270002,Jenis prop yang terakhir dibuat
280001,Bahan galing dalam pencetus peristiwa
290001,Bahan jatuh dalam peristiwas
300001,Makhluk di peristiwa pencetus
300002,Makhluk sasaran dalam peristiwa
300003,Pilih makhluk di dunia
300004,Makhluk ciptaan terakhir
310001,Emoji peristiwa
320001,BENAR
320002,SALAH
330001,Sin
330002,Cos
330003,Tan
340001,Kesan khas dalam peristiwa
340002,Jenis kesan khas yang terakhir dibuat
350001,Arah atas
350002,Aras bawah
350003,Arah Kiri
350004,Arah kanan
350005,Arah hadapan
350006,Arah belakang
360001,Objek yang melakukan tindakan
370001,Nada tinggi1
370002,Nada tinggi1(Naik)
370003,Nada tinggi2
370004,Nada tinggi2(Naik)
370005,Nada tinggi3
370006,Nada tinggi4
370007,Nada tinggi4(Naik)
370008,Nada tinggi5
370009,Nada tinggi5(Naik)
370010,Nada tinggi6
370011,Nada tinggi6(Naik)
370012,Nada tinggi7
370013,Nada sederhana1
370014,Nada sederhana1(Naik)
370015,Nada sederhana2
370016,Nada sederhana2(Naik)
370017,Nada sederhana3
370018,Nada sederhana4
370019,Nada sederhana4(Naik)
370020,Nada sederhana5
370021,Nada sederhana5(Naik)
370022,Nada sederhana6
370023,Nada sederhana6(Naik)
370024,Nada sederhana7
370025,Nada rendah1
370026,Nada rendah1(Naik)
370027,Nada rendah2
370028,Nada rendah2(Naik)
370029,Nada rendah3
370030,Nada rendah4
370031,Nada rendah4(Naik)
370032,Nada rendah5
370033,Nada rendah5(Naik)
370034,Nada rendah6
370035,Nada rendah6(Naik)
370036,Nada rendah7
380001,Tombol W
380002,Tombol A
380003,Tombol S
380004,Tombol D
380005,Tombol Space
380006,Tombol Shift
380007,Key B
380008,Key C
380009,Key E
380010,Key F
380011,Key G
380012,Key H
380013,Key I
380014,Key J
380015,Key K
380016,Key L
380017,Key M
380018,Key N
380019,Key O
380020,Key P
380021,Key Q
380022,Key R
380023,Key T
380024,Key U
380025,Key V
380026,Key X
380027,Key Y
380028,Key Z
390001,Bar jalan pintas1
390002,Bar jalan pintas2
390003,Bar jalan pintas3
390004,Bar jalan pintas4
390005,Bar jalan pintas5
390006,Bar jalan pintas6
390007,Bar jalan pintas7
390008,Bar jalan pintas8
400001,Bar jalan pintas dalam peristiwa
410001,Kesan status dalam peristiwa
420001,Bar Peralatan1(Helmet)
420002,Bar Peralatan2(Pelindung Dada)
