ID,名字,类别名,描述
ID,Name,TypeName,Desc
10001,Tukar kedudukan kepada kawasan,Umum,"|@1|sebagai pusat, kawasan bersaiz (|@2|,|@3|,|@4|)"
10002,Offset kawasan,Umum,"@1| Offset sepanjang paksi (|@2|, |@3|, |@4|)"
10003,Meluaskan kawasan,Umum,"Meluaskan |@1| tiga paksi dengan X|@2|, Y|@3|, Z|@4| grid"
10005,Koordinat kedudukan tertentu,Umum,Kedudukan nilai koordinat X|@1|Y|@2 |Z|@3|
10006,Offset kedudukan (ubah kedudukan asal),Umum,"@1| offset sepanjang koordinat (|@2|,|@3|,|@4|)"
10007,Kedudukan pusat di kawasan,Umum,Kedudukan pusat di |@1
10008,Kedudukan rawak di dalam kawasan,Umum,Kedudukan rawak |@1
10009,Masa pemasa,Umum,Waktu |@1
10010,Kepanjangan sinaran untuk arah tertentu,Umum,"Dari |@1|, sinar |@3| grid dilancarkan ke |@2|, kepanjangan sinar kembali antara blok penyekat dan kedudukan permulaan"
10011,Penyambungan rentetan,Umum,@1| dan |@2
10012,Nilai angka tukar kepada rentetan,Umum,@1| tukar kepada rentetan
10013,Perbandingan Boolean,Umum,@1||@2||@3
10014,Perbandingan nilai,Umum,@1||@2||@3
10015,Jenis blok yang terkena sinar,Umum,"Dari |@1|, sinar |@3| grid dilancarkan ke |@2|, jenis blok yang menyekat sinaran"
10016,Arah sistem koordinat tiga paksi,Umum,"@1| menghadap ke arah X|@2|, Y|@3|, Z|@4"
10017,Arah sistem koordinat sfera,Umum,"@1| menghadap ke azimuth |@2|, arah sudut ketinggian |@3"
10018,Pilih Objek Pemain,Umum,"Pilih objek |@1 "
10019,Pilih Objek Makhluk,Umum,"Pilih objek |@1 "
10020,"Pilih Objek Lontaran ",Umum,Pilih Objek |@1
10021,Pilih Objek Jatuhan,Umum,Pilih Objek |@1
10022,Nada tukar kepada nilai,Umum,@1| tukar kepada nilai
10023,Perbandingan rentetan,Umum,@1||@2||@3
10024,Offset kedudukan (kekal kedudukan asal),Umum,"@1| offset sepanjang koordinat paksi (|@2|,|@3|,|@4|)"
10025,Nilai Boolean,Umum,|@1
10026,Nilai,Umum,|@1
10027,Rentetan,Umum,|@1
10028,Jenis penampilan,Umum,|@1
10029,Kumpulan Boolean,Umum,|@1
10030,Kumpulan nilai,Umum,|@1
10031,Kumpulan rentetan,Umum,|@1
10032,Dapatkan jumlah nilai dalam mana-mana kumpulan,Umum,Dapatkan jumlah dalam nilai |@1
10033,Dapatkan jumlah sebarang nilai dalam mana-mana kumpulan,Umum,Dapatkan jumlah |@2| dalam |@1
10034,Dapatkan ID sebaran nilai dalam mana-mana kumpulan,Umum,Dapatkan ID |@2| dari |@1
10035,Penilaian sebarang nilai dalam mana-mana kumpulan,Umum,@2| wujud dalam |@1
10036,Penilaian nombor nilai wujud tertentu di mana-mana kumpulan,Umum,Nilai wujud kedudukan bernombor |@2| di dalam |@1
10037,"Memintas rentetan ",Umum,Memintas |@2| |@1| - |@3| teks bit
10038,Rentetan tukar kepada nilai,Umum,@1| tukar kepada nilai
10039,Dapatkan masa peranti hos,Umum,Dapatkan masa |@1| peranti
10040,Dapatkan sepenuh masa peranti utama,Umum,Dapatkan sepenuh masa peranti
10041,Jenis blok rawak,Umum,Jenis blok rawak
10042,Bahagikan rentetan,Generik,"Pembahagian|@1|, pembahagi ialah |@2|, potong bahagian |@3| selepas pembahagian."
10043,Mendapat rentetan bagi tag yang ditentukan.,Generik,"Dapatkan |@1|, kandungan dengan nama kunci |@2|"
10044,Dapatkan masa pelayan permainan.,Generik,Dapatkan masa pelayan permainan |@1| masa
10045,Tukar setem masa kepada unit masa.,Generik,Tukar cap masa |@1| kepada |@2
10046,Dapatkan masa pelayan penuh.,Generik,Dapatkan masa pelayan penuh.
10047,Tukar setem masa kepada masa penuh.,Generik,Tukar cap masa |@1| kepada masa penuh.
20001,Operasi nilai,Matematik,@1||@2||@3
20002,Baki,Matematik,@1|Mod|@2
20003,Nilai rawak,Matematik,Menjana nilai rawak antara |@1| dan |@2
20004,Nilai maksimum,Matematik,@1| dan |@3| |@2
20005,Pembahagian,Matematik,@1| dibahagikan |@2
20006,Nilai koordinat kedudukan,Matematik,@2| |@1| nilai koordinat
20007,Sudut mendatar antara kedudukan,Matematik,Sudut mendatar antara |@1| dan |@2
20008,Sudut menegak antara kedudukan,Matematik,Sudut menegak antara|@1| dan |@2
20009,Eksponensial,Matematik,@1| kuasa |@2
20010,segi empat sama,Matematik,Akar |@2| ke |@1
20011,Nilai mutlak,Matematik,Nilai mutlak |@1
20012,Fungsi trigonometri,Matematik,@1||@2||@3
20013,Fungsi logaritma asas tetap,Matematik,@1||@2
20014,Sebarang asas fungsi logaritma,Matematik,Log|@1||@2
20015,Pembundaran,Matematik,"Pembundaran |@1|, kaedah |@2"
20016,Penukaran sudut dan radian,Matematik,@1| tukar kepada |@2
20017,Logik dan,Matematik,@1| dan |@2
20018,Logik atau,Matematik,@1| atau |@2
20019,Logik XOR,Matematik,@1| XOR |@2
20020,Logik bukan,Matematik,Bukan |@1
20021,Perbandingan sebarang nilai,Matematik,@1||@2||@3
30001,Masa permainan semasa,Permainan,Masa permainan semasa
30002,Kedudukan kumpulan yang ditetapkan,Permainan,Kumpulan yang berada kedudukan |@1
30003,Graviti berganda permainan semasa,Permainan,"Graviti berganda permainan semasa "
40001,Atribut kumpulan,Kumpulan,@2| |@1
40002,Perbandingan kumpulan,Kumpulan,@1||@2||@3
50001,Kedudukan Pemain,Pemain,Kedudukan |@1
