keyid,名字,属性描述
keyid,Name,AttrDesc
5001,Knockup,10% peluang untuk Knockup
5002,Knockup,20% peluang untuk Knockup
5003,Knockup,30% peluang untuk Knockup
6001,Tajam,Serangan Melee+
6002,Tajam,Serangan Melee+
6003,Tajam,Serangan Melee+
7001,Pemburu Manusia,Pemburu Manusia +
7002,Pemburu Manusia,Pemburu Manusia +
7003,Pemburu Manusia,Pemburu Manusia +
8001,Pemburu Haiwan,Pemburu Haiwan+
8002,Pemburu Haiwan,Pemburu Haiwan+
8003,Pemburu Haiwan,Pemburu Haiwan+
9001,Pemburu Elit,Pemburu Elit+
9002,Pemburu Elit,Pemburu Elit+
9003,Pemburu Elit,Pemburu Elit+
10001,Rasa panas,Tahap Pembakaran
10002,Rasa panas,Tahap Pembakaran
10003,Rasa panas,Tahap Pembakaran
11001,Jarak knockback meningkat,Jarak knockback meningkat
11002,Jarak knockback meningkat,Jarak knockback meningkat
11003,Jarak knockback meningkat,Jarak knockback meningkat
12001,Pemburuan Bertuah,Tahap Pemburuan Bertuah
12002,Pemburuan Bertuah,Tahap Pemburuan Bertuah
12003,Pemburuan Bertuah,Tahap Pemburuan Bertuah
13001,Tembakan Kuat,Kerosakan busur dan anak panah+
13002,Tembakan Kuat,Kerosakan busur dan anak panah+
13003,Tembakan Kuat,Kerosakan busur dan anak panah+
14001,Tembakan tanpa had,Tembakan tanpa had
14002,Tembakan tanpa had,Tembakan tanpa had
14003,Tembakan tanpa had,Tembakan tanpa had
15001,Ketahanan,Ketahanan +
15002,Ketahanan,Ketahanan +
15003,Ketahanan,Ketahanan +
16001,Rintangan Melee,Rintangan Melee+
16002,Rintangan Melee,Rintangan Melee+
16003,Rintangan Melee,Rintangan Melee+
17001,Rintangan Pelbagai,Rintangan Julat+
17002,Rintangan Pelbagai,Rintangan Julat+
17003,Rintangan Pelbagai,Rintangan Julat+
18001,Rintangan Letupan,Rintangan Letupan +
18002,Rintangan Letupan,Rintangan Letupan +
18003,Rintangan Letupan,Rintangan Letupan +
19001,Rintangan Pembakaran,Rintangan Terbakar+
19002,Rintangan Pembakaran,Rintangan Terbakar+
19003,Rintangan Pembakaran,Rintangan Terbakar+
20001,Rintangan Racun,Rintangan Racun+
20002,Rintangan Racun,Rintangan Racun+
20003,Rintangan Racun,Rintangan Racun+
21001,Rintangan huru-hara,Rintangan huru-hara+
21002,Rintangan huru-hara,Rintangan huru-hara+
21003,Rintangan huru-hara,Rintangan huru-hara+
22001,Serangan balas,15% peluang untuk menyerang balas jarak dekat +
22002,Serangan balas,30% peluang untuk menyerang balas jarak dekat +
22003,Serangan balas,45% peluang untuk menyerang balas jarak dekat +
23001,Jarak knockback dikurangkan,Jarak knockback dikurangkan
23002,Jarak knockback dikurangkan,Jarak knockback dikurangkan
23003,Jarak knockback dikurangkan,Jarak knockback dikurangkan
24001,Perolehan Lengkap,Perolehan Lengkap
24002,Perolehan Lengkap,Perolehan Lengkap
24003,Perolehan Lengkap,Perolehan Lengkap
25001,Kelajuan menggali,Kelajuan menggali+
25002,Kelajuan menggali,Kelajuan menggali+
25003,Kelajuan menggali,Kelajuan menggali+
26001,Menggali bertuah,Tahap Penggalian Bertuah
26002,Menggali bertuah,Tahap Penggalian Bertuah
26003,Menggali bertuah,Tahap Penggalian Bertuah
27001,Tembakan Letupan,Tembakan Letupan+
27002,Tembakan Letupan,Tembakan Letupan+
27003,Tembakan Letupan,Tembakan Letupan+
28001,Kejatuhan Naga,Kerosakan jatuh -
28002,Kejatuhan Naga,Kerosakan jatuh -
28003,Kejatuhan Naga,Kerosakan jatuh -
29001,Spear Goblin,Spear Goblin+
29002,Spear Goblin,Spear Goblin+
29003,Spear Goblin,Spear Goblin+
30001,Menuruni bukit (Greaves),"Crouch di udara, kelajuan jatuh +"
30002,Menuruni bukit (Greaves),"Crouch di udara, kelajuan jatuh +"
30003,Menuruni bukit (Greaves),"Crouch di udara, kelajuan jatuh +"
31001,Memanjat Dinding (Kasut),"Dayakan Pendakian Dinding, tetapi kelajuan"
31002,Memanjat Dinding (Kasut),"Dayakan Pendakian Dinding, tetapi kelajuan"
31003,Memanjat Dinding (Kasut),"Dayakan Pendakian Dinding, tetapi kelajuan"
32001,Berdarah,Tahap berdarah
32002,Berdarah,Tahap berdarah
32003,Berdarah,Tahap berdarah
33001,Kilat Whip,Kilat Whip Lvl 1
33002,Kilat Whip,Kilat Whip Lvl 2
33003,Kilat Whip,Kilat Whip Lvl 3
34003,Kilat Whip,Kilat Whip Lvl 4
35003,Kilat Whip,Kilat Whip Lvl 5
36001,Memancing Bertuah,Tahap Memancing Bertuah
36002,Memancing Bertuah,Tahap Memancing Bertuah
36003,Memancing Bertuah,Tahap Memancing Bertuah
37001,Tahan sejuk,Tahan sejuk+
37002,Tahan sejuk,Tahan sejuk+
37003,Tahan sejuk,Tahan sejuk+
38001,Rintangan Pembekuan,Rintangan Beku+
38002,Rintangan Pembekuan,Rintangan Beku+
38003,Rintangan Pembekuan,Rintangan Beku+
39003,Berkat Alat,Berkat Alat
40003,Berkat Senjata,Berkat Senjata
41003,Berkat Peralatan,Berkat Peralatan
42001,Kerosakan Ais,Tahap Kerosakan Ais
42002,Kerosakan Ais,Tahap Kerosakan Ais
42003,Kerosakan Ais,Tahap Kerosakan Ais
43001,Bonus kerosakan fizikal jarak dekat,Kerosakan fizikal jarak dekat+
43002,Bonus kerosakan fizikal jarak dekat,Kerosakan fizikal jarak dekat+
43003,Bonus kerosakan fizikal jarak dekat,Kerosakan fizikal jarak dekat+
44001,Ketabahan,Pengurangan kerosakan+
44002,Ketabahan,Pengurangan kerosakan +
44003,Ketabahan,Pengurangan kerosakan+
45001,Perlindungan jauh,Kerosakan fizikal jarak jauh-
45002,Perlindungan jauh,Kerosakan fizikal jarak jauh-
45003,Perlindungan jauh,Kerosakan fizikal jarak jauh-
46001,Perlindungan letupan,Kerosakan letupan-
46002,Perlindungan letupan,Kerosakan letupan-
46003,Perlindungan letupan,Kerosakan letupan-
47001,Kelajuan pemulihan ketangguhan,Kelajuan pemulihan ketangguhan+
47002,Kelajuan pemulihan ketangguhan,Kelajuan pemulihan ketangguhan+
47003,Kelajuan pemulihan ketangguhan,Kelajuan pemulihan ketangguhan+
48001,Lompat tinggi,Keupayaan lompat+
48002,Lompat tinggi,Keupayaan lompat+
48003,Lompat tinggi,Keupayaan lompat+
49001,Berubah,Kebarangkalian menyebabkan musuh berubah+
49002,Berubah,Kebarangkalian menyebabkan musuh berubah+
49003,Berubah,Kebarangkalian menyebabkan musuh berubah+
50001,Perlindungan tahan lama,Kebarangkalian tidak kehilangan ketahanan+
50002,Perlindungan tahan lama,Kebarangkalian tidak kehilangan ketahanan+
50003,Perlindungan tahan lama,Kebarangkalian tidak kehilangan ketahanan+
51001,Kelajuan memancing,Kelajuan memancing+
51002,Kelajuan memancing,Kelajuan memancing+
51003,Kelajuan memancing,Kelajuan memancing+
52001,Lambat,Kebarangkalian memperlahankan musuh+
52002,Lambat,Kebarangkalian memperlahankan musuh+
52003,Lambat,Kebarangkalian memperlahankan musuh+
53001,Stamina menggali berkurangan,Stamina menggali berkurangan
53002,Stamina menggali berkurangan,Stamina menggali berkurangan
53003,Stamina menggali berkurangan,Stamina menggali berkurangan
54001,Meteorit jatuh,Meteorit jatuh
54002,Meteorit jatuh,Meteorit jatuh
54003,Meteorit jatuh,Meteorit jatuh
55001,Bonus EXP bintang,Bonus EXP bintang+
55002,Bonus EXP bintang,Bonus EXP bintang+
55003,Bonus EXP bintang,Bonus EXP bintang+
56001,Kemahiran kepantasan,Kemahiran penyejukan-
56002,Kemahiran kepantasan,Kemahiran penyejukan-
56003,Kemahiran kepantasan,Kemahiran penyejukan-
57001,Serangan terakhir,Kerosakan serangan terakhir +2%
57002,Serangan terakhir,Kerosakan serangan terakhir +2%
57003,Serangan terakhir,Kerosakan serangan terakhir +2%
58001,Rintangan knockback,Rintangan knockback +5%
58002,Rintangan knockback,Rintangan knockback +10%
58003,Rintangan knockback,Rintangan knockback +15%
59001,Bonus kerosakan binatang,Kerosakan binatang+
59002,Bonus kerosakan binatang,Kerosakan binatang+
59003,Bonus kerosakan binatang,Kerosakan binatang+
60001,Bonus kerosakan Orang Liar,Kerosakan Orang Liar+
60002,Bonus kerosakan Orang Liar,Kerosakan Orang Liar+
60003,Bonus kerosakan Orang Liar,Kerosakan Orang Liar+
61001,Bonus kerosakan Elit,Kerosakan Elit+
61002,Bonus kerosakan Elit,Kerosakan Elit+
61003,Bonus kerosakan Elit,Kerosakan Elit+
62001,Bonus kerosakan Hampa,Kerosakan Makhluk Hampa+
62002,Bonus kerosakan Hampa,Kerosakan Makhluk Hampa+
62003,Bonus kerosakan Hampa,Kerosakan Makhluk Hampa+
63001,Bonus kerosakan makhluk asing,Kerosakan makhluk asing+
63002,Bonus kerosakan makhluk asing,Kerosakan makhluk asing+
63003,Bonus kerosakan makhluk asing,Kerosakan makhluk asing+
64001,Bonus kerosakan akuatik,Kerosakan makhluk akuatik+
64002,Bonus kerosakan akuatik,Kerosakan makhluk akuatik+
64003,Bonus kerosakan akuatik,Kerosakan makhluk akuatik+
