ID,名字,描述
ID,Name,Desc
1001,Velocidade de movimento da amostra,@Null@
1002,Velocidade de movimento da amostra,@Null@
1003,Velocidade de movimento da amostra,@Null@
2001,Velocidade de escavação de amostra,@Null@
3001,Recuperação lenta da vida (Nível 1),Recuperar 5 vidas a cada 4s.
3002,Recuperação lenta da vida (Nível 2),Recuperar 5 vidas a cada 2s.
3003,Recuperação lenta da vida (Nível 3),Recuperar 5 vidas a cada 1s.
4001,Corrida de velocidade (Nível 1),Velocidade da corrida aumentada em 25%.
4002,Corrida de velocidade (Nível 2),Velocidade da corrida aumentada em 50%.
4003,Corrida de velocidade (Nível 3),Velocidade da corrida aumentada em 75%.
4004,Corrida de velocidade (Nível 4),Velocidade da corrida aumentada em 75%.
5001,Natação rápida (Nível 1),Aumenta a velocidade de natação em 25%.
5002,Natação rápida (Nível 2),Aumenta a velocidade de natação em 50%.
5003,Natação rápida (Nível 3),Aumenta a velocidade de natação em 75%.
6001,Salto alto (Nível 1),Salto elevado
6002,Salto alto (Nível 2),Salto elevado
6003,Salto alto (Nível 3),"Pule mais alto, mas tenha cuidado com suas pernas!"
6004,Salto alto (Nível 4),"Pule mais alto, mas tenha cuidado com suas pernas!"
6005,Parkour Aprimorado,Velocidade básica aumentada em 90% e altura do salto aumentada em 25.
7001,Escavação (Nível 1),Aumenta a velocidade de escalação em 25%.
7002,Escavação (Nível 2),Aumenta a velocidade de escalação em 50%.
7003,Escavação (Nível 3),Aumenta a velocidade de escalação em 75%.
8001,Lento (Nv.1),Velocidade reduzida em 25%.
8002,Lento (Nv.2),Velocidade reduzida em 50%.
8003,Lento (Nv.3),Velocidade reduzida em 75%.
9001,Cansaço ao cavar (Nível 1),Diminui a velocidade de escavação em 25%.
9002,Cansaço ao cavar (Nível 2),Diminui a velocidade de escavação em 50%.
9003,Cansaço ao cavar (Nível 3),Diminui a velocidade de escavação em 75%.
10001,Absorção de danos (Nível 1),Dá 2 pontos de vida para absorver dano.
10002,Absorção de danos (Nível 2),Dá 4 pontos de vida para absorver dano.
10003,Absorção de danos (Nível 3),Dá 6 pontos de vida para absorver dano.
11001,Golpe crítico (Nível 1),Dano crítico aumenta em 25%
11002,Golpe crítico (Nível 2),Dano crítico aumenta em 50%
11003,Golpe crítico (Nível 3),Dano crítico aumenta em 75%
12001,Impulso forte (Nível 1),A distância de recuo aumenta em 2 metros
12002,Impulso forte (Nível 2),A distância de recuo aumenta em 4 metros.
12003,Impulso forte (Nível 3),A distância de recuo aumenta em 6 metros.
13001,Resistência à rejeição (Nível 1),Reduz a distância de recuo em 1 metros
13002,Resistência à rejeição (Nível 2),Reduz a distância de recuo em 2 metros
13003,Resistência à rejeição (Nível 3),Reduz a distância de recuo em 3 metros
14001,Cavação da Sorte (Nível 1),Aumenta as chances de queda especial em 1%.
14002,Cavação da Sorte (Nível 2),Aumenta as chances de queda especial em 2%.
14003,Cavação da Sorte (Nível 3),Aumenta as chances de queda especial em 3%.
15001,Caça da Sorte (Nível 1),Aumenta as chances de queda especial em 1%.
15002,Caça da Sorte (Nível 2),Aumenta as chances de queda especial em 2%.
15003,Caça da Sorte (Nível 3),Aumenta as chances de queda especial em 3%.
16001,Visão noturna (Nível 1),A visibilidade noturna é aumentado em 20
16002,Visão noturna (Nível 2),A visibilidade noturna é aumentado em 40
16003,Visão noturna (Nível 3),A visibilidade noturna é aumentado em 50
16004,Visão noturna (Nível 4),A visibilidade noturna é aumentado em 60
16005,Visão noturna (Nível 5),A visibilidade noturna é aumentado em 50
17001,Ataque Potente (Nível 1),Dano corporal aumentado em 25%.
17002,Ataque Potente (Nível 2),Dano corporal aumentado em 50%.
17003,Ataque Potente (Nível 3),Dano corporal aumentado em 75%.
18001,Disparo Potente (Nível 1),Dano à distância aumenta em 25%.
18002,Disparo Potente (Nível 2),Dano à distância aumenta em 50%.
18003,Disparo Potente (Nível 3),Dano à distância aumenta em 75%.
19001,Explosão Potente (Nível 1),Dano explosivo aumenta em 25%.
19002,Explosão Potente (Nível 2),Dano de explosão aumenta em 50%.
19003,Explosão Potente (Nível 3),Dano de explosão aumenta em 75%.
20001,Ataque de fogo (Nível 1),Dano de chamas aumenta em 100%.
21001,Ataque venenoso (Nível 1),Dano de veneno aumenta 100%.
22001,Ataque do Caos (Nível 1),Dano do caos aumenta em 100%.
23001,Caçador de Elite nv. 1,O dano causado a inimigos de elite aumenta em 25%.
23002,Caçador de Elite nv. 2,O dano causado a inimigos de elite aumenta em 50%.
23003,Caçador de Elite nv. 3,O dano causado a inimigos de elite aumenta em 75%.
24001,Caçador de Bestas nv. 1,O dano causado a bestas aumenta em 25%.
24002,Caçador de Bestas nv. 2,O dano causado a bestas aumenta em 50%.
24003,Caçador de Bestas nv. 3,O dano causado a bestas aumenta em 75%.
25001,Caçador de humanos (Nível 1),Danos contra humanos aumenta em 25%.
25002,Caçador de humanos (Nível 2),Danos contra humanos aumenta em 50%.
25003,Caçador de humanos (Nível 3),Danos contra humanos aumenta em 75%.
