ID,名称,描述,说明
ID,Name,Desc,Notes
100001,Modo de Clima Global Atual,Modo de Clima Global Atual,
100002,Distância entre posições,Distância entre %1 e %2,
100006,Determina a área à qual o local pertence,%1%2 está em %3,
100007,Tipo de bloco na localização específica,Tipo de Bloqueio de %1,
100008,Direção: de uma posição para a outra,Direção de %1 para %2,
100009,A direção das coordenadas absolutas de três eixos,"Direção de X%1, Y%2, Z%3",
10001,Converter localização em área,"Definir %1 como o centro, área com dimensões (%2, %3, %4)",
100010,A direção das coordenadas esféricas absolutas,"Azimute %1, elevação %2",
100011,Localização,Localização de %1,
100012,Área,Área de %1,
100013,Temporizador,Temporizador de %1,
100014,Grupo de Localização,Grupo de Localização de %1,
100015,Grupo de Área,Grupo de Área de %1,
100016,Grupo de Temporizador,Grupo de Temporizador de %1,
100017,Clima Aleatório,Clima Aleatório,
100018,Clima de Grupo do Terreno,Clima de %1,
10002,Deslocamento da Área,"%1 desloca-se ao longo do eixo das coordenadas (%2, %3, %4)",
10003,Expandir área,"Expandir os eixos coordenados de %1 em X%2, Y%3, Z%4",
10005,Localização de Coordenada Especificada,"Posição de X%1, Y%2, Z%3",
10006,Deslocamento de Localização (alterações da localização original),"%1 desloca-se ao longo do eixo das coordenadas (%2, %3, %4)",
10007,Localização Central da Área,Localização central de %1,
10008,Localização Aleatória da Área,Localização aleatória de %1,
10009,Tempo do Temporizador,Tempo de %1,
10010,Comprimento do raio da direção atribuída,"Começar com %1, projetar um raio de %3 casas para %2, retornar o comprimento do raio entre o início e o bloco",
10011,Concatenação de Cadeia,%1 e %2,
10012,Converter valor em cadeia,%1 converte para cadeira,
10015,Tipo de bloco atingido por raio,Tipo de bloco atingido pelo raio de %3 casas de %1 para %2,
10016,Direção relativa ao sistema de coordenadas de três eixos,"%1 está voltado para X%2, Y%3, Z%4",
10017,Direção relativa ao sistema de coordenadas esféricas,"%1 está voltado para o azimute %2, elevação %3",
10018,Objeto do Jogador,Objeto de %1,
10019,Objeto da Criatura,Objeto de %1,
10020,Objeto do Projétil,Objeto de %1,
10021,Objeto dos Drops,Objeto de %1,
10022,Tom se transforma em número,%1 converte para valor,
10024,Deslocamento de Localização (alterações da localização fixa),"%1 desloca-se ao longo do eixo das coordenadas (%2, %3, %4)",
10025,Valor Booleano,Valor Booleano de %1,
10026,Valor,Valor de %1,
10027,Cadeia,Cadeia de %1,
10028,Tipo de Aparência,Tipo de Aparência de %1,
10029,Grupo Booleano,Grupo Booleano de %1,
10030,Grupo Numérico,Grupo Numérico de %1,
10031,Grupo de Cadeia,Grupo de Cadeia de %1,
10032,Obter contagem de valor de qualquer grupo,Obter a contagem de valor em %1,
10033,Obter contagem de valor de qualquer valor em qualquer grupo,Obter o número de %2 em %1,
10034,Obter ID de qualquer valor em qualquer grupo,Obter o ID de %2 em %1,
10035,Determina se existe um valor em um qualquer grupo,%2 existe em %1,
10036,Determina se existe um ID específico em um qualquer grupo,Existe %2 em %1 no ID da localização,
10037,Extrair cadeia,Intercepta %2- %3 unidades de texto de %1,
10038,Converter cadeia em valor,%1 converte para valor,
10039,Obter tempo do dispositivo principal,Obter o tempo %1 do dispositivo,
10040,Obter tempo total do dispositivo principal,Obter tempo total do dispositivo,
10041,Tipo de bloco aleatório,Tipo de bloco aleatório,
10042,Dividir cadeia,"Dividir %1, separador é %2; interceptar %3 após a divisão",
10043,Obtain the string with the JSON-specified mark,"Obtain %1 in JSON, content with the key name being %2",
10044,Obter tempo do servidor do jogo,Obter o tempo %1 do servidor do jogo,
10045,Converter carimbo de tempo em unidade de tempo,Converter carimbo de tempo de %1 para %2,
10046,Obter tempo total do servidor,Obter tempo total do servidor,
10047,Converter carimbo de tempo para tempo total,Converter carimbo de tempo de %1 para tempo total,
10048,Obter comprimento da cadeia,Obter comprimento de %1,
10049,Nome de Tipo de Estado,Nome do Tipo de %1,
10050,Descrição de Tipo de Estado,Descrição de Plug-in de %1,
10051,Obter coordenadas do tipo de bloco,Obter as coordenadas de %2 mais próximas de %1 e procurar um raio de %3 blocos no eixo XYZ,
10052,Barra de Itens da Mochila,Obter %1,
10053,Tecla de Barra de Atalhos,Obter %1,
10054,Barra de Equipamento,Obter %1,
10055,Tipo de bloco se converte em tipo de item,%1 converte para tipo de item,
10056,Tipo de item se converte em bloco,%1 converte para tipo de bloco,
10057,Obter ID da sala atual,Obter ID da sala atual,
1010001,Mudança Climática,Quando o clima muda,Quando o tempo muda de ensolarado para chuvoso e de chuvoso para ensolarado
1010002,Quando o clima do grupo do terreno muda,Quando o clima para o %1 especificado muda,Grupos comuns: Planície/Floresta/Penhasco/Selva/Bacia/Ilha Flutuante/Rio; Grupo do Oceano: Praia/Mar profundo/Mar Raso/Ilhas; Grupo do Deserto: Deserto/Oásis; Zona Frígida Comum: Floresta de Coníferas/Campo de Gelo; Zona Frígida Alpina: Iceberg; Grupo Vulcânico: Vulcão; Grupo das Zonas Úmidas: Floresta Tropical/Pântano; Ilha Plana e Flutuante
1020001,Criar Jogo,Quando o jogo é criado,"Contagem regressiva iniciada. 3, 2, 1, iniciando o jogo..."
1020002,Momento do Jogo,Quando está %1 no jogo,Quando o jogo estiver em um ponto de tempo específico
1020003,Tempo de Execução do Jogo,Quando o jogo é executado por %1s,Depois de entrar no jogo e correr por um tempo determinado
1020004,O jogador vence,Quando o jogador vence,
1020005,O jogador perde,Quando o jogador perde,
1020007,Jogador entra no jogo,Quando o jogador entra no jogo,
1020008,Jogador deixa o jogo,Quando o jogador sai do jogo,
1020009,Mudanças do Temporizador,Quando o temporizador muda,Quando qualquer variável do temporizador na biblioteca de variáveis muda
1020010,Mudanças específicas do temporizador,Quando %1s muda,Quando a variável do temporizador especificada na biblioteca de variáveis muda
1020011,Durante cada tempo de execução do jogo (loop),Por cada %1s que o jogo é executado,"1. O valor mínimo é de 0.05 segundos. Para valores entre 0.01 e 0.09, será considerado 0.05.
2. Será ativado após cada período específico de execução do jogo (ciclo)."
1020012,Quando a sala do servidor recebe qualquer mensagem,Quando a sala do servidor recebe qualquer mensagem,
1020013,Receber Transmissão,Ao receber transmissão %1,
1020014,Condições reunidas,Quando %1 é estabelecido,
1020015,Ao colocar plantas,Quando a planta é colocada,
1020016,Quando a sala do servidor recebe a mensagem de transmissão do servidor,Quando a sala do servidor recebe transmissão do servidor %1,
1030001,O jogador é derrotado,Quando o jogador é derrotado,
1030002,O jogador renasce,Quando o jogador renasce,
1030003,Os atributos do jogador mudam,Quando o atributo de %1 do jogador muda,"Quando o atributo do jogador, como o HP, muda"
1030004,O jogador derrota o alvo,Quando o jogador derrota o alvo,Quando o jogador derrota outros jogadores ou criaturas Os jogadores e as criaturas derrotadas são os alvos do evento
1030005,O jogador ataca,Quando o jogador começa a atacar,
1030006,O ataque do jogador atinge,Quando o ataque do jogador atinge,Quando o ataque do jogador atinge outro jogador ou criatura Os jogadores e as criaturas que estão sendo atingidas são os alvos do evento
1030007,O jogador causa dano,Quando o jogador causa dano,Quando o jogador causa dano a outros jogadores e criaturas Os jogadores e criaturas que estão sendo atacadas são os alvos do evento
1030008,O jogador recebe dano,Quando o jogador recebe dano,
1030009,O jogador se move,Quando o jogador se afasta uma casa,
1030010,O jogador usa emoji,Quando o jogador usa emoji,
1030011,O jogador usa o item,Quando o jogador usa o item,
1030012,O jogador obtém o item,Quando o jogador obtém o item,
1030013,O jogador consume o item,Quando o jogador consome o item,
1030014,O jogador clica na criatura ou em outro jogador,Quando o jogador clica na criatura ou em outro jogador,
1030015,O jogador clica no bloco,Quando o jogador clica no bloco,
1030016,O jogador dirige,Quando o jogador monta qualquer montaria ou dirige qualquer veículo,
1030017,O jogador para de dirigir,Quando o jogador desmonta qualquer montaria ou para de dirigir qualquer veículo,
1030018,O estado de movimento do jogador muda,Quando o jogador começa %1,
1030019,O jogador está em colisão,Quando o jogador colide com qualquer jogador ou criatura,
1030020,O jogador pega no item,Quando o jogador pega os drops,
1030021,O jogador entra na área,Quando o jogador entra em %1,"A entrada e saída da área dos eventos não podem ativar ações relacionadas ao desenvolvedor, como reproduzir anúncios, exibir a janela de compra de itens ou abrir a Loja do Desenvolvedor."
1030022,O jogador sai da área,Quando o jogador termina %1,"A entrada e saída da área dos eventos não podem ativar ações relacionadas ao desenvolvedor, como reproduzir anúncios, exibir a janela de compra de itens ou abrir a Loja do Desenvolvedor."
1030023,A barra de equipamento do jogador muda,Quando a barra de equipamento do jogador muda,
1030024,O espaço da mochila do jogador muda,Quando o espaço da mochila do jogador muda,
1030025,A barra de atalhos do jogador muda,Quando a barra de atalhos do jogador muda,
1030026,O jogador seleciona a barra de atalhos,Quando o jogador seleciona a barra de atalhos,
1030027,O jogador descarta o item,Quando o jogador descarta o item,
1030028,O jogador equipa o equipamento,Quando o jogador equipa o equipamento,
1030029,O jogador remove o equipamento,Quando o jogador desequipa o equipamento,
1030030,O jogador exibe as mensagens do chat,Quando a caixa de chat do jogador exibe %1,
1030031,O jogador insere as mensagens do chat,Quando o jogador envia %1 na caixa de chat,
1030032,O jogador pressiona a tecla,Quando o jogador pressiona %1,
1030033,O jogador pressiona continuamente a tecla,Quando o jogador pressiona continuamente %1,
1030034,O jogador libera a tecla,Quando o jogador libera %1,
1030035,O jogador obtém o estado,Quando o jogador obtém o estado,
1030036,O jogador perde o estado,Quando o jogador perde o estado,
1030037,O jogador perde o efeito de estado específico,Quando o jogador perde o estado de %1,
1030038,O nível do jogador muda,Quando o jogador o nível do jogador muda,
1030039,Os jogadores inserem informações do chat (incluindo cadeias),Quando qualquer jogador insere conteúdo que inclui %1 na caixa de chat,Quando o jogador insere o conteúdo especificado na caixa de chat e o envia
1030040,O jogador seleciona o item específico,Quando o jogador seleciona %1 na barra de atalhos,
1030041,Jogador convida amigos,Quando um jogador convida amigos,
1040001,A criatura recebe dano,Quando a criatura recebe dano,
1040002,A criatura ataca,Quando a criatura começa a atacar,
1040003,O ataque da criatura atinge,Quando o ataque da criatura atinge,
1040004,A criatura causa dano,Quando a criatura causa dano,
1040005,A criatura é derrotada,Quando a criatura é derrotada,
1040006,A criatura derrota o alvo,Quando a criatura derrota o alvo,
1040007,A criatura entra na área,Quando a criatura entra em %1,
1040008,A criatura sai da área,Quando a criatura sai de %1,
1040009,O estado de movimento da criatura muda,Quando a criatura começa %1,
1040010,A criatura está em colisão,Quando a criatura colide com qualquer jogador ou criatura,
1040011,Os atributos da criatura mudam,Quando o atributo de %1 da criatura muda,
1040012,A criatura é criada,Quando a criatura é criada,
1040013,A criatura obtém efeito de estado,Quando a criatura obtém o estado,
1040014,A criatura perde estado,Quando a criatura perde o estado,
1040015,A criatura perde efeito de estado específico,Quando a criatura perde %1,
1040016,Esta criatura recebe dano,Quando este tipo de criatura recebe dano,
1040017,Esta criatura ataca,Quando este tipo de criatura começa a atacar,
1040018,O ataque desta criatura atinge,Quando este tipo de criatura começa a atacar e atinge o alvo,
1040019,Esta criatura causa dano,Quando este tipo de criatura causa dano ao alvo,
1040020,Esta criatura é derrotada,Quando este tipo de criatura é derrotada,
1040021,Esta criatura derrota o alvo,Quando este tipo de criatura derrota o alvo,
1040022,O estado de ação desta criatura muda,Quando este tipo de criatura começa %1,
1040023,Esta criatura está em colisão,Quando este tipo de criatura colide com qualquer jogador ou criatura,
1040024,Os atributos desta criatura mudam,Quando o atributo de %1 deste tipo de criatura muda,
1040025,A criatura é criada,Quando este tipo de criatura é criada,
1040026,Esta criatura obtém estado,Quando este tipo de criatura obtém o estado,
1040027,Esta criatura perde estado,Quando este tipo de criatura perde o estado,
1040028,Esta criatura é clicada por jogadores,Quando este tipo de criatura é clicada por jogadores,
1050001,A escavação do bloco foi terminada,Quando a escavação deste bloco termina,
1050002,O bloco é destruído,Quando este bloco é destruído,
1050003,O estado do interruptor do bloco muda,Quando o estado do interruptor do bloco muda,
1050004,Alteração do item no contêiner de armazenamento,Quando o item muda no contêiner de armazenamento,
1050005,O bloco é criado,Quando este bloco é criado,
1050006,Itens são colocados no contêiner,Quando itens são colocados no contêiner,
1050007,Itens são retirados do contêiner,Quando os itens são retirados do contêiner,
1050008,O bloco é escavado,Quando este bloco é escavado,
1050009,A escavação do bloco é interrompida,Quando a escavação deste bloco é interrompida,
1050010,Este bloco é escavado,Quando este tipo de bloco é escavado,
1050011,A escavação deste bloco terminou,Quando a escavação deste tipo de bloco é terminada,
1050012,A escavação deste bloco é interrompida,Quando a escavação deste tipo de bloco é interrompida,
1050013,Este bloco é destruído,Quando este tipo de bloco é destruído,
1050014,Este bloco é criado,Quando este tipo de bloco é criado,
1050015,O estado do interruptor do bloco muda,Quando o estado do interruptor deste tipo de bloco muda,
1050016,Este bloco é obtido,Quando o jogador/criatura obtém este tipo de bloco,
1050017,Este bloco é clicado por jogadores,Quando o jogador clica neste tipo de bloco,
1050018,A cor do bloco muda,Quando a cor do bloco muda,
1060001,Projétil atinge o alvo,"Quando o projétil ataca qualquer outro jogador, criatura ou bloco",
1060002,Projétil entra na área,Quando o projétil entra em %1,
1060003,Projétil sai da área,Quando o projétil sai de %1,
1060004,Os drops entram na área,Quando os drops entram em %1,
1060005,Os drops saem da área,Quando os drops saem de %1,
1060006,Os drops são coletados,Quando os drops são coletados,
1060007,Os drops desaparecem,Quando os drops desaparecem,
1060008,O projétil é criado,Quando o projétil é criado,
1060009,Este item é obtido,Quando este tipo de item é obtido por jogadores ou criaturas,
1060010,Este item é descartado,Quando este tipo de item é descartado,
1060011,Este item desaparece,Quando este tipo de item caído desaparece,
1060012,Este item está danificado,Quando este tipo de item é danificado,
