ID,名字,Desc
ID,Name,Desc
1001,Alterar a velocidade de movimento,Fazer jogador @1 @2
1002,Alterar a velocidade de mineração,Faça a velocidade de escavação do jogador @1
1003,Alterar multiplicador de dano,Jogador-causou @1 @2
1004,Saltar,Aumenta força de salto do jogador em @1
1005,Alterar o máximo de HP/fome,Torna o máximo do jogador @1 @2
1006,Continue mudando o nível da fome,Cada @1 segundo o nível de fome do jogador @2 pontos
1007,Continue restaurando HP,"Cada @1 segundo, o HP do jogador se recupera @2"
1008,Continue se machucando,Cada @1 segundo jogador recebe @2 @3
1009,Brilho do campo de visão,Brilho da visão @1
1010,Proporção de lesões,Jogador recebe @1 @2
1011,Velocidade da perda de fome,Velocidade da fome do jogador @1
1012,Sorte,Jogador@1 tem @2 probabilidade de obter @3
1013,Bata para trás ainda mais,Aumento da distância para trás @1 blocos
1014,Resistência à batida,Distância para trás diminui @1 blocos
1015,Modelo Volume,Faça o tamanho do jogador @1 @2
1016,Mudar o modo,Mude o modo para @1
1017,Desorientado,Mover na direção oposta
1018,Invencível,Torne o jogador invencível
1019,Bolha,Faça o jogador cercado por bolhas
1020,Congelado,Jogador não pode se mover
1021,Oxigênio,Oxigênio do jogador @3 em @1 cada @2 segundo
1022,Dano absorvido,Jogador recebe um escudo que pode absorver @1 dano
1023,Mudar o poder de ataque,Faça o jogador @1 @2
1024,Bater,Ataque corpo a corpo do jogador derrubará o inimigo por @1 blocos
1025,Status adicional de ataque,"Quando o alvo é atingido, haverá @1 probabilidade de ter @3 estado para @2 segundos"
1026,Alterar o valor de defesa,Faça @1 @2
1027,Lesão Refletido,"Quando o alvo é atingido, haverá @1 probabilidade de causar @2 dano"
1028,Escalar a parede,"Jogador pode se mover em qualquer superfície, como subir uma escada"
1029,Velocidade de recuperação de HP,Taxa de recuperação da HP de caracteres @1
1030,Velocidade de EXP,Taxa de EXP do personagem @1
1031,% do limite superior de resistência,Character Max @1 aumenta em @2
1032,Limite superior de resistência,Character Max @1 aumenta em @2
1033,Recupere constantemente a resistência,Recupere @2 Stamina a cada @1 segundos
1034,Taxa de consumo de Stamina,"Quando o personagem faz @1, o Vigor exaure em @2"
1035,Taxa de recuperação de resistência,"Quando o personagem está no status @1, a taxa de recuperação de Vigor aumenta em @2"
1036,Recupere-se da exaustão,"Quando a resistência do personagem se recupera acima de @1, o status de exuasão é removido."
1037,Jejum,Incapaz de consumir comida
1038,"Quando o status estiver em vigor, solte os itens","Quando no status @1, o caractere produzirá @2"
1039,Largue itens constantemente,"A cada @1 segundos, o personagem produzirá @2"
1040,Incapaz de correr,Personagem não consegue correr
1041,"Quando o status terminar, solte os itens","Quando o status @1 terminar, o caractere produzirá @2"
1042,Alterar modelo (skin),Mude o seu modelo de avatar para @1
1043,Restaura 2 pontos de vida constantemente,Restaura a sua saúde e a de seus companheiros em 2 pontos por segundo
1044,Dano sustentado constantemente,Faz com que os monstros recebam 2 pontos de dano a cada segundo
1045,Danos por consumir resistência,Lidar com a mesma quantidade de @1 ao consumir stamina
1046,Dano ao realizar uma ação,Lidar com @2 pontos @3 ao realizar @1
1047,Estado imune,carácter imune@1
1048,Buff extra,Dá o carácter @2 a cada @1 segundo
1049,Operação proibida,Proibir todas as acções
1050,Debuff imune,O carácter é imune a todos os buff de @1 classe
1051,Cair,Provocando a queda de criaturas voadoras no chão
1052,Proibido mover,Proibir movimento de caráter
1053,,
1054,,
1055,,
1056,Decalque de Tela,Faça os decalque de exibição da tela do personagem
1057,Parar Ação,Faça o personagem parar no quadro atual
1058,Mudar Textura,Altere a textura do personagem para um material de gelo
1059,Efeito especial de gelo,Adicione efeitos especiais de gelo ao personagem
1060,Finalizar a mudança de temperatura,Defina a temperatura do personagem como @2 quando o estado terminar
1061,Finalizar a reprodução de efeitos especiais e efeitos sonoros,Reproduzir efeitos especiais e efeitos sonoros quando o estado terminar
1062,A temperatura afeta a duração,A duração do estado mudará em função da temperatura ambiente
1063,Remover o estado ao receber dano cumulativo,O estado é removido quando o dano cumulativo de @1 atinge @2
1064,Mudança de temperatura ao longo do tempo,Altera a temperatura do personagem em @2 a cada @1s
1065,Mudança de temperatura aparente,Altere a temperatura ambiente que afeta o personagem em @1
1066,Mudança de temperatura ao redor,Aumentar a temperatura ambiente dentro de @1 grades ao redor do personagem em @2
1067,Bloquear a condensação e o derretimento,"Faça a água congelar em @1 grade ao redor do personagem, com uma diferença de altura de @2 grades acima e abaixo"
1068,Gerar blocos aleatoriamente nas proximidades,"Dentro da área cilíndrica ao redor do jogador com um raio de @1 e uma altura de @2, gere @4 na superfície superior de um bloco aleatório a cada @3s"
1069,Dá um status ao atacante,"Ao receber @1 ataque(s), tem @2% de chance de causar @3 ao atacante"
1070,O multiplicado de recuperação de comida mudou,A quantia de recuperação de @1comida@2 aumentou @3
