ID,名字,描述,,
ID,Name,Desc,Order,IsHide
1,50 Mini-Moedas,@Null@,,
2,250 Mini-Moedas,@Null@,,
3,500 Mini-Moedas,25 Mini-Moedas extras grátis,,
4,1000 Mini-Moedas,100 Mini-Moedas extras grátis,,
5,2500 Mini-Moedas,500 Mini-Moedas extras grátis,,
6,5000 Mini-Moedas,1500 Mini-Moedas extras grátis,,
7,100 Mini-Moedas,100 Mini-Moedas grátis (limitado apenas em uma única compra),,
8,300 Mini-Moedas,300 Mini-Moedas grátis (limitado apenas em uma única compra),,
11,12 Mini Moedas,1 Mini-Moedas extras grátis,3,0
12,14 Mini Moedas,,,
13,27 Mini Moedas,,,
14,41 Mini Moedas,,,
17,20 Mini Moedas,,,
20,25 Mini Moedas,,,
21,14400 Mini Moedas,4600 Mini Moedas extras,,
22,33 Mini Moedas,Grátis 33 Mini Moedas (limitado a 1 compra),,
23,150 Mini Moedas,Grátis 150 Mini Moedas (limitado a 1 compra),,
