ID,名字,描述
ID,Name,Desc
3001,@Null@,@Null@
3002,@Null@,@Null@
3003,@Null@,@Null@
3004,@Null@,@Null@
3005,@Null@,@Null@
3006,@Null@,@Null@
3007,@Null@,@Null@
3008,@Null@,@Null@
3009,@Null@,@Null@
3010,Loja de Viagem,@Null@
3011,Comerciante do Deserto,@Null@
3012,Comerciante do Gelo,@Null@
3013,Comerciante do Natal,@Null@
3014,Comerciante do Ano Novo,@Null@
3015,Comerciante do Festival de Primavera,@Null@
3016,Comerciante de Aniversário,@Null@
3017,Comerciante de 1º de Junho,@Null@
3018,Comerciante Horas,@Null@
3019,Comerciante de Ilha Flutuante,@Null@
3020,Comerciante de desejos,@Null@
3021,Embaixador do Amor,
3022,Mercador Viajante,
3023,@Null@,@Null@
3024,@Null@,@Null@
3025,@Null@,@Null@
3026,@Null@,@Null@
3027,@Null@,@Null@
3028,@Null@,@Null@
3029,@Null@,@Null@
3030,@Null@,@Null@
3031,@Null@,@Null@
3032,@Null@,@Null@
3033,@Null@,@Null@
3034,@Null@,@Null@
3035,@Null@,@Null@
3036,@Null@,@Null@
3037,@Null@,@Null@
3038,@Null@,@Null@
3039,@Null@,@Null@
3040,@Null@,@Null@
3095,Kaka,@Null@
3096,Nini,@Null@
3097,Dashan,@Null@
3098,Scott Lee,@Null@
3099,Darwin Lee,@Null@
3100,@Null@,@Null@
3101,Guerreiro Selvagem,
3102,Bebê selvagem,@Null@
3103,Gravidade,@Null@
3104,@Null@,@Null@
3105,Lanceiro Selvagem,
3106,Festival Selvagem,@Null@
3107,Morcego,@Null@
3108,@Null@,@Null@
3109,Ovo explosivo,@Null@
3110,Rocki,@Null@
3111,Frosti,@Null@
3112,Bulli,@Null@
3113,Rooki,@Null@
3114,Froosti,@Null@
3115,Buulli,@Null@
3116,Frocki,@Null@
3117,Roclli,@Null@
3118,Froslli,@Null@
3119,@Null@,@Null@
3120,Açougueiro Rabugento,@Null@
3121,Espantalho,@Null@
3122,Açougueiro Rabugento (Domado),@Null@
3123,Espantalho Alienígena,@Null@
3124,Rocki Domado,@Null@
3125,Frosti Domado,@Null@
3126,Bulli Domado,@Null@
3127,@Null@,@Null@
3128,@Null@,@Null@
3129,@Null@,@Null@
3130,Gigante Derretido,@Null@
3131,Arqueiro de Enxofre,@Null@
3132,Arqueiro do Caos,@Null@
3133,@Null@,@Null@
3134,@Null@,@Null@
3135,Xamã Selvagem Geada,
3136,@Null@,@Null@
3137,@Null@,@Null@
3138,@Null@,@Null@
3139,@Null@,@Null@
3140,@Null@,@Null@
3141,@Null@,@Null@
3142,@Null@,@Null@
3143,@Null@,@Null@
3144,@Null@,@Null@
3145,@Null@,@Null@
