ID,名称
ID,Name
11000000,Cubo
11000001,Esfera
11000002,Cilindro
11000003,Cone circular
11000004,Cunha
11000005,Tigela
11000006,Estrelas
11000007,Semi cilindro
11000008,Mesa
11000009,Banco
11000010,Placa de madeira
11000011,Hemisfério
11000012,Boia
11000013,Disco redondo
11000014,Árvore
11000015,Válvula
11000016,Banco comprido
11000017,Bloco
11000018,Flor
11000019,Árvore de pão
11000020,Cerca
11000021,Guarda chuva
11000022,Bastão longo
11000023,Martelo
11000024,Donuts
11000025,Wafers
11000026,Folha de Trevo
11000027,Cano Vermelho
11000028,Maçã Vermelha
11000029,Carrossel Azul
11000030,Obstáculo
11000031,Folha
11000032,Cogumelo Amarelo
11000033,Arco-íris
11000035,
11000036,
11000037,
11000038,
11000039,
11000040,
11000041,
11000042,
11000043,
11000044,
11000045,
11000046,
11000047,
11000048,
11000049,
11000050,
11000051,
11000052,
11000054,
11000055,
11000056,
11000057,
11000058,
11000059,
11000060,
11000061,
11000062,
11000063,
11000064,
11000065,
11000066,
11000067,
11000068,
11000069,
11000070,
11000071,
11000072,
11000073,
11000074,
11000075,
11000076,
11000077,
11000078,
11000079,
