ID,初始描述,选后描述
ID,DefaultDesc,AfterDesc
1,Sim,@Null@
2,Não,@Null@
3,07:00:00,@Null@
4,09:00:00,@Null@
5,12:00:00,@Null@
6,18:00:00,@Null@
7,00:00:00,@Null@
8,Customizado,(Perosonalizado)$Num hora(s)
9,Padrão,@Null@
10,Apenas ensolarado,@Null@
11,Apenas chuvoso/nevado,@Null@
12,1,@Null@
13,2,@Null@
14,3,@Null@
15,4,@Null@
16,5,@Null@
17,6,@Null@
18,10% de gravidade,@Null@
19,40% de gravidade,@Null@
20,60% de gravidade,@Null@
21,100% de gravidade (Padrão),@Null@
22,500% de gravidade,@Null@
23,Customizar 0.1 - 10,(Perosonalizado)$Num
24,Visão principal,@Null@
25,Visão traseira,@Null@
26,Visão frontal,@Null@
27,Bloquear visão 1ª pessoa,@Null@
28,Bloquear visão traseira,@Null@
29,Bloquear visão frontal,@Null@
30,Aberto pelo líder da sala,@Null@
31,Ativar quando nº de pessoas alcançar a quantidade necessária,@Null@
32,Vazio,@Null@
33,Sem limite,@Null@
34,2 min(s),@Null@
35,5 min(s),@Null@
36,10 min(s),@Null@
37,Customizar (1 - 999 pt.),(Perosonalizado)$Num min(s)
38,10 min(s),@Null@
39,50 min(s),@Null@
40,100 min(s),@Null@
41,Customizar (1 - 999 min),(Perosonalizado)$Num min(s)
42,Ressuscitar já,@Null@
43,Contagem regressiva 5 seg(s),@Null@
44,Customizar (1 - 999 seg),(Perosonalizado)$Num seg(s)
45,5 seg(s),@Null@
46,10 seg(s),@Null@
47,Ilimitado,@Null@
48,Sem música,@Null@
49,bgm1 (Acelerar mundo),@Null@
50,bgm2 (Movimento Consciente),@Null@
51,bgm3 (Cavaleiro Estilo Japonês),@Null@
52,bgm4 (Deserto Ocidental),@Null@
53,bgm5 (Deus Solitário),@Null@
54,bgm6 (Horário de Pico),@Null@
55,bgm7(Bomb！),@Null@
56,bgm8,@Null@
57,Ataque Livre,@Null@
58,Proibido atacar jogadores,@Null@
59,Ataque entre equipes,@Null@
60,Alternar entre sol e chuva (Padrão),@Null@
61,Não precisa de pontos,@Null@
62,Ajustar conforme mapa,@Null@
63,Ressuscitar aleatoriamente até o ponto de nascimento,@Null@
64,Ressuscitar aleatoriamente até o ponto mais próximo,@Null@
65,Visível,@Null@
66,Invisível,@Null@
67,Drop normal,@Null@
68,Mochila vazia,@Null@
69,Manter itens,@Null@
70,Abrir automaticamente sem requisitos,@Null@
71,Visível para todos,@Null@
72,Visível para a equipe,@Null@
73,Visível para o inimigo,@Null@
74,Invísivel para todos,@Null@
75,Padrão (De acordo com os pontos),@Null@
76,Vitória para todos,@Null@
77,Derrota para todos,@Null@
78,Bloquear visão panorâmica,@Null@
79,Ilimitado,@Null@
80,2,@Null@
81,5,@Null@
82,13,@Null@
83,Customizado (1 - 99),(Perosonalizado)$Num
84,10,@Null@
85,20,@Null@
86,40,@Null@
87,Customizado (1 - 40),(Perosonalizado)$Num
88,A custom view,@Null@
89,0,@Null@
90,120,@Null@
91,Gratis,@Null@
92,Perseguindo,@Null@
93,Trocavel,@Null@
94,Drop da Caixa,@Null@
95,@Null@,@Null@
96,@Null@,@Null@
105,Visão de Cima,
106,Visão Personalizada,
107,Tempo Ruim,
108,Neve,
109,Tempestade de Areia,
110,Tormenta,
111,Nevasca,
112,Jara de Drop,
