ID,名字
ID,EnumName
10001,Sol ou Chuva
10002,Sol
10003,Chuva
10004,Trovoada
10005,Mau Tempo
10006,Neve
10007,Tempestade de Areia
10008,Tempestade
10009,Nevasca
20001,Leste
20002,Sul
20003,Oeste
20004,Norte
20005,Cima
20006,Baixo
30001,Visão Primeira Pessoa
30002,Visão Terceira Pessoa
30003,Visão Frontal
30004,Visão superior
30005,Visão Personalizada
30006,
40001,X
40002,Y
40003,Z
50001,Sistema Angulo
50002,Medida Radiano
60001,Log
60002,Ln
70001,Para Baixo
70002,Arredondamento
70003,Para Cima
80001,Dano Corpo a Corpo
80002,Danos à Distância
80003,Danos Explosivos
80004,Dano de Fogo
80005,Dano de Veneno
80006,Caos Damage
80007,Dano de Queda
80008,Asfixia
80009,Dano de Gelo
90001,Sim/Ser
90002,Nao
100001,On
100002,Off
110001,Max.
110002,Min.
120001,Igual a
120002,Não é igual a
120003,Melhor que
120004,Menos que
120005,Melhor que ou igual a
120006,Menos que ou igual a
130001,Add
130002,Subtrair
130003,Multiplicar
130004,Dividir
140001,Max. HP
140002,HP Atual
140003,Recuperação HP
140006,Saciedade Atual
140008,Oxigênio Atual
140010,Velocidade de movimento
140011,Velocidade de corrida
140012,Velocidade Furtividade
140013,Velocidade de Natação
140014,Saltar
140015,Taxa de Evasão
140016,Ataque corpo a corpo
140017,Ataque à Distância
140018,Defesa corpo a corpo
140019,Defesa à Distância
140020,Tamanho do modelo
140022,Estrelas
140023,EXP Atual
140024,Nivel Atual
140025,Resistência máxima
140026,Resistência atual
140027,Taxa recuperação de resistência
150001,Ficar Parado
150002,Mover
150004,Correr
150005,Saltar
150006,Salto Duplo
150007,Furtividade
150011,Terra
160001,Móvel
160002,Bloco Colocavel
160003,Bloco Interativo
160004,Bloco Destrutivo
160005,Item Utilizável
160006,Atacavel
160007,Pode ser danificado
160008,Derrotável
160009,Item colecionável
160010,Derrota Drop
160011,Descartar Item
170001,Equipe1Vermelho
170002,Equipe2Azul
170003,Equipe3Verde
170004,Equipe4Amarelo
170005,Equipe5Laranja
170006,Equipe6Roxo
170007,Sem Equipe
180001,Número do jogador
180002,Pontuacao
190001,Destrutível
190002,Interativo
190003,Pode ser empurrado
190004,Ativar Queda
200001,Esvaziar
200002,AFK
200003,Passeando
200004,Ataque corpo a corpo
200005,Ataque a Distância
200006,Seguir
200007,Nadar
200008,Fugir
200009,Auto Destruição
200010,Atraído
200011,Companheiro
210001,Max. HP
210002,Min. HP
210003,Recuperação HP
210005,Saciedade Atual
210007,Oxigênio Atual
210009,Velocidade de movimento
210011,Velocidade de Natação
210012,Salto c/Força
210014,Taxa de Evasão
210015,Ataque corpo a corpo
210016,Ataque a Distancia
210017,Defesa corpo a corpo
210018,Defesa à Distância
210019,Tamanho do modelo
220001,Móvel
220002,Atacável
220003,Derrotável
220004,Item colecionável
220005,Drop Derrota
230001,Escolha a Região
240001,Posição em Evento
240002,Ponto de Spawn
240003,Escolha a localização
250001,Jogadores no Evento do Gatilho
250002,Jogadores alvo no evento
260001,Bloco de Ar
260002,Tipo de bloco no evento
260003,Último tipo de bloco criado
270001,Tipo de Item no Evento
270002,Último tipo de adereço criado
280001,Projétil no Evento
290001,Soltar Item no Evento
300001,Criatura no Evento
300002,Criatura alvo no Evento
300003,Escolha Criatura
300004,Última criatura criada
310001,Emoji no Evento
320001,VERDADEIRO
320002,FALSO
330001,Sin
330002,Cos
330003,Tan
340001,Tipo de efeito especial no evento
340002,Último tipo de efeito especial criado
350001,Acima
350002,Abaixo
350003,Esquerda
350004,Direita
350005,Frente
350006,Atrás
360001,O objeto que executa a ação
370001,Tom alto 1
370002,Tom alto 1 (nítido)
370003,Tom alto 2
370004,Tom alto 2 (nítido)
370005,Tom alto 3
370006,Tom alto 4
370007,Tom alto 4 (nítido)
370008,Tom alto 5
370009,Tom alto 5 (nítido)
370010,Tom alto 6
370011,Tom alto 6 (nítido)
370012,Tom alto 7
370013,Tom médio 1
370014,Tom médio 1 (nítido)
370015,Tom médio 2
370016,Tom médio 2 (nítido)
370017,Tom médio 3
370018,Tom médio 4
370019,Tom médio 4 (nítido)
370020,Tom médio 5
370021,Tom médio 5 (nítido)
370022,Tom médio 6
370023,Tom médio 6 (nítido)
370024,Tom médio 7 (nítido)
370025,Tom baixo 1
370026,Tom baixo 1 (nítido)
370027,Tom baixo 2
370028,Tom baixo 2 (nítido)
370029,Tom baixo 3
370030,Tom baixo 4
370031,Tom baixo 4 (nítido)
370032,Tom baixo 5
370033,Tom baixo 5 (nítido)
370034,Tom baixo 6
370035,Tom baixo 6 (nítido)
370036,Tom baixo 7
380001,Tecla W
380002,Tecla A
380003,Tecla S
380004,Tecla D
380005,Tecla Espaço
380006,Tecla Shift
380007,Chave B
380008,Chave C
380009,Chave E
380010,Chave F
380011,Chave G
380012,Chave H
380013,Chave I
380014,Chave J
380015,Chave K
380016,Chave L
380017,Chave M
380018,Chave N
380019,Chave O
380020,Chave P
380021,Chave Q
380022,Chave R
380023,Chave T
380024,Chave U
380025,Chave V
380026,Chave X
380027,Chave Y
380028,Chave Z
390001,Atalho 1
390002,Atalho 2
390003,Atalho 3
390004,Atalho 4
390005,Atalho 5
390006,Atalho 6
390007,Atalho 7
390008,Atalho 8
400001,AtalhoTeclado em Evento
410001,Efeito Status no Evento
420001,Equipar Barra 1 (Capacete)
420002,Equipar Barra 2 (Peitoral)
420003,Equipar Barra 3 (Guarda-pernas)
420004,Equipar Barra 4 (Bota)
420005,Equipar Barra 5 (Engrenagem traseira)
430001,Equipar Barra em Evento
440001,O tipo de criatura no evento desencadeador
440002,O tipo de criatura alvo no evento
440003,Último tipo de criatura criada
450001,Receitas no evento
460001,Fundiu no evento
470001,Enredo no evento
480001,Número do item no evento
490001,Caixa de texto
490002,Texto Flutuante
490003,Barra de progresso
490004,Flecha apontando para o alvo
490005,Flecha apontando para a posição
490006,Área guia apontando para o alvo
490007,Área guia apontando para a posição
490008,Guia apontando para o alvo
490009,Guia apontando para a posição
500001,Ascendente
500002,Descendente
510001,Componente de evento
520001,Interface de edição atual
