ID,描述
ID,Desc
1000,Clima
1001,Região
1002,Localização
1003,Orientação
1004,Visão
1005,Valor
1006,Componente de Coordenadas
1007,Unidade de Medição de Ângulo
1008,Logaritmo Base Fixo
1009,Conversão de Núm. Inteiro
1010,Caracteres String
1011,Tipo de Dano
1012,Sim/Não
1013,Alternancia
1014,Valor Boleano
1015,Max. e Min.
1016,Operador de Comparação
1017,Operador Matemático
1018,Jogador
1019,Conj. Jogador
1020,Atributos do Jogador
1021,Status de Movimento
1022,Config. do Jogador
1023,Equipe
1024,Atributos da Equipe
1025,Tipo de Bloco
1026,Config. Bloco
1027,Item
1028,Tipo de Item
1029,Tipo de Projétil
1030,Drop Item
1031,Criatura
1032,Tipo de Criatura
1033,Conj. Criaturas
1034,Status do Movimento de Criatura
1035,Atributo da Criatura
1036,Config. da Criatura
1037,Status
1038,Gatilho
1039,Conjunto de Gatilhos
1040,Cronômetro
1041,Emoji
1042,Variavel Privada
1043,Trigonométrico
1044,Projétil
1045,Tipo Especial de Efeito
1046,Efeito sonoro
1047,Direção
1048,Objeto
1049,Tom
1050,Script
1051,Botão
1052,Barra de Atalho
1053,Valor aleatório
1054,Barra Equip.
1055,Tipo de Equipamento
1056,Cor
1057,Exibir informações
1058,Exibir tipo de informação
1059,Produtos
1060,Aparência
1061,Qualquer grupo
1062,Grupo de localização
1063,Grupo regional
1064,Grupo numérico
1065,Grupo de cordas
1066,Grupo Booleano
1067,Grupo de Tipo de Bloco
1068,Grupo de Tipo de Item
1069,Grupo de Tipo de Criatura
1070,Grupo Temporizador
1071,Grupo de tipo de efeito especial
1072,Ordenar
1073,Link Vídeo
1074,Interface
1075,Componente
1076,Modelo de imagem
1077,Modo de movimento
1078,Unidade de tempo
1079,Status da página
1080,Música
1081,Pausa na recuperação
1082,Painel de exibição
1083,Objeto Global
1084,Tabela de classificação
1085,Tabela
1086,Modo de Reprodução
1101,Especifique a Página
1137,Grupo do Terreno
