keyid,名字,属性描述
keyid,Name,AttrDesc
5001,Arremesso,Tem 10% de chance de arremessar +
5002,Arremesso,Tem 20% de chance de arremessar +
5003,Arremesso,Tem 30% de chance de arremessar +
6001,Afiado,Ataque corpo a corpo+
6002,Afiado,Ataque corpo a corpo+
6003,Afiado,Ataque corpo a corpo+
7001,Caçador Humano,Caçador Humano+
7002,Caçador Humano,Caçador Humano+
7003,Caçador Humano,Caçador Humano+
8001,Caçador de Bestas,Caçador de Bestas +
8002,Caçador de Bestas,Caçador de Bestas +
8003,Caçador de Bestas,Caçador de Bestas +
9001,Caçador de Elite,Caçador de Elite +
9002,Caçador de Elite,Caçador de Elite +
9003,Caçador de Elite,Caçador de Elite +
10001,Queimar,Nível de queima
10002,Queimar,Nível de queima
10003,Queimar,Nível de queima
11001,Aumento da Distância de Empurrão,Aumento da Distância de Empurrão
11002,Aumento da Distância de Empurrão,Aumento da Distância de Empurrão
11003,Aumento da Distância de Empurrão,Aumento da Distância de Empurrão
12001,Caçada da sorte,Nível de Caçada da sorte
12002,Caçada da sorte,Nível de Caçada da sorte
12003,Caçada da sorte,Nível de Caçada da sorte
13001,Tiro poderoso,Dano+ do Arco e Flecha
13002,Tiro poderoso,Dano+ do Arco e Flecha
13003,Tiro poderoso,Dano+ do Arco e Flecha
14001,Tiro ilimitado,Tiro ilimitado
14002,Tiro ilimitado,Tiro ilimitado
14003,Tiro ilimitado,Tiro ilimitado
15001,Durabilidade,Durabilidade+
15002,Durabilidade,Durabilidade+
15003,Durabilidade,Durabilidade+
16001,Resistência corpo a corpo,Resistência corpo a corpo+
16002,Resistência corpo a corpo,Resistência corpo a corpo+
16003,Resistência corpo a corpo,Resistência corpo a corpo+
17001,Resistência à distância,Resistência à distância+
17002,Resistência à distância,Resistência à distância+
17003,Resistência à distância,Resistência à distância+
18001,Resistência à explosão,Resistência à explosão+
18002,Resistência à explosão,Resistência à explosão+
18003,Resistência à explosão,Resistência à explosão+
19001,Resistência à queima,Resistência à queima+
19002,Resistência à queima,Resistência à queima+
19003,Resistência à queima,Resistência à queima+
20001,Resistência a Veneno,Resistência a Veneno+
20002,Resistência a Veneno,Resistência a Veneno+
20003,Resistência a Veneno,Resistência a Veneno+
21001,Resistência ao Caos,Resistência ao Caos+
21002,Resistência ao Caos,Resistência ao Caos+
21003,Resistência ao Caos,Resistência ao Caos+
22001,Contra-ataque,Tem 15% de contra-atacar unidades corporais +
22002,Contra-ataque,Tem 30% de contra-atacar unidades corporais +
22003,Contra-ataque,Tem 45% de contra-atacar unidades corporais +
23001,Redução da Distância de Empurrão,Distância de Empurrões recebidos reduzida
23002,Redução da Distância de Empurrão,Distância de Empurrões recebidos reduzida
23003,Redução da Distância de Empurrão,Distância de Empurrões recebidos reduzida
24001,Aquisição Total,Aquisição Total
24002,Aquisição Total,Aquisição Total
24003,Aquisição Total,Aquisição Total
25001,Velocidade de Escavação,Velocidade de Escavação +
25002,Velocidade de Escavação,Velocidade de Escavação +
25003,Velocidade de Escavação,Velocidade de Escavação +
26001,Escavação de sorte,Nível de Escavação de sorte
26002,Escavação de sorte,Nível de Escavação de sorte
26003,Escavação de sorte,Nível de Escavação de sorte
27001,Tiro Explosivo,Tiro Explosivo+
27002,Tiro Explosivo,Tiro Explosivo+
27003,Tiro Explosivo,Tiro Explosivo+
28001,Queda do dragão,Detecção de Queda de Altura -
28002,Queda do dragão,Detecção de Queda de Altura -
28003,Queda do dragão,Detecção de Queda de Altura -
29001,Caçador de Selvagens,Caçador de Selvagem+
29002,Caçador de Selvagens,Caçador de Selvagem+
29003,Caçador de Selvagens,Caçador de Selvagem+
30001,Descida (protetores de perna),"Agachamento no Ar, Velocidade de Queda +"
30002,Descida (protetores de perna),"Agachamento no Ar, Velocidade de Queda +"
30003,Descida (protetores de perna),"Agachamento no Ar, Velocidade de Queda +"
31001,Escalada na parede (sapatos),"Habilitar Escalada de Parede, mas velocidade"
31002,Escalada na parede (sapatos),"Habilitar Escalada de Parede, mas velocidade"
31003,Escalada na parede (sapatos),"Habilitar Escalada de Parede, mas velocidade"
32001,Sangrar,Nível de sangramento
32002,Sangrar,Nível de sangramento
32003,Sangrar,Nível de sangramento
33001,Chicote Relâmpago,Chicote Relâmpago Nível 1
33002,Chicote Relâmpago,Chicote Relâmpago Nível 2
33003,Chicote Relâmpago,Chicote Relâmpago Nível 3
34003,Chicote Relâmpago,Chicote Relâmpago Nível 4
35003,Chicote Relâmpago,Chicote Relâmpago Nível 5
36001,Pesca de Sorte,Nível de Pesca de Sorte
36002,Pesca de Sorte,Nível de Pesca de Sorte
36003,Pesca de Sorte,Nível de Pesca de Sorte
37001,Resistente ao Frio,Resistente ao Frio+
37002,Resistente ao Frio,Resistente ao Frio+
37003,Resistente ao Frio,Resistente ao Frio+
38001,Resistência a Congelamento,Resistência a Congelamento+
38002,Resistência a Congelamento,Resistência a Congelamento+
38003,Resistência a Congelamento,Resistência a Congelamento+
39003,Bênção da Ferramenta,Bênção da Ferramenta
40003,Bênção da Arma,Bênção da Arma
41003,Bênção do Equipamento,Bênção do Equipamento
42001,Dano de Gelo,Nível de Dano de Gelo
42002,Dano de Gelo,Nível de Dano de Gelo
42003,Dano de Gelo,Nível de Dano de Gelo
43001,Dano Físico Corporal Bônus,Dano Físico Corporal +
43002,Dano Físico Corporal Bônus,Dano Físico Corporal +
43003,Dano Físico Corporal Bônus,Dano Físico Corporal +
44001,Perseverança,Redução de Dano +
44002,Perseverança,Redução de Dano +
44003,Perseverança,Redução de Dano +
45001,Proteção à Distância,Dano Físico à Distância -
45002,Proteção à Distância,Dano Físico à Distância -
45003,Proteção à Distância,Dano Físico à Distância -
46001,Dano Explosivo,Dano Explosivo -
46002,Dano Explosivo,Dano Explosivo -
46003,Dano Explosivo,Dano Explosivo -
47001,Velocidade de Recuperação de Resiliência,Velocidade de Recuperação de Resiliência +
47002,Velocidade de Recuperação de Resiliência,Velocidade de Recuperação de Resiliência +
47003,Velocidade de Recuperação de Resiliência,Velocidade de Recuperação de Resiliência +
48001,Pular alto!,Habilidade de Pulo +
48002,Pular alto!,Habilidade de Pulo +
