果实ID,俄语,俄语
ID,Name,Desc
1,Золотой фрукт,"После созревания получаешь #cfa7a0fЦенный#n фрагмент скакуна, #cda6fffЦенный#nфрагмент персонажа/наряда/блока. [Урожай 10 шт.!] Обяз. получишь #cda6fffЦенную#nнаграду [Урожай 1 шт.] Обяз. получишь #c03dddaРедкую#nнаграду."
2,Большой фрукт,"После созревания получаешь #cda6fffЦенный#n фрагмент персонажа/наряда/блока, фрагменты можно использ. для активации Галереи."
3,Малый фрукт,"После созревания получаешь #c03dddaРедкий#n фрагмент персонажа/наряда/блока, фрагменты можно использ. для активации Галереи."
4,Золотой фрукт,"После созревания получаешь #cfa7a0fЦенный#n фрагмент скакуна, #cda6fffЦенный#nфрагмент персонажа/наряда/блока. Обяз. получаешь #c03dddaРедкую#nнаграду."
5,Золотой фрукт,"После созревания получаешь #cfa7a0fЦенный#n фрагмент скакуна, #cda6fffЦенный#nфрагмент персонажа/наряда/блока. [Урожай 10 шт.!] Обяз. получишь #cda6fffЦенную#nнаграду [Урожай 1 шт.] Обяз. получишь #c03dddaРедкую#nнаграду."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
