接口ID,俄语,俄语,俄语,俄语,俄语,俄语,俄语
ID,TypeName,FunctionName,FunctionDesc,Desc1,Desc2,Desc3,Desc4
10001,Игра,doGameEnd,Game:doGameEnd(),nil,ErrorCode.OK,Конец игры,local result = Game:doGameEnd()
10002,Игра,setScriptVar,"Game:setScriptVar(index, val)","index:number index from 1 , val:number customized value",ErrorCode.OK,Установить атрибут скрипта для пользовательских,"local result = Game:setScriptVar(index, val)"
10003,Игра,getScriptVar,Game:getScriptVar(index),index:number index from 1 ,"ErrorCode.OK, val:number User Value",Получить атрибут сценария для пользовательских,local result = Game:getScriptVar(index)
10004,Игра,sendScriptVars2Client,Game:sendScriptVars2Client(),nil,ErrorCode.OK,Загрузить атрибут скрипта,local result = Game:sendScriptVars2Client()
10005,Игра,addRenderGlobalEffect,Game:addRenderGlobalEffect(path),path:string,"ErrorCode.OK, effectid:number",Новый глобальный эффект,local result = Game:addRenderGlobalEffect(path)
10006,Игра,removeRenderGlobalEffect,Game:removeRenderGlobalEffect(effectid),effectid:number,ErrorCode.OK,Ясно глобальный эффект,local result = Game:removeRenderGlobalEffect(effectid)
10007,Игра,setRenderGlobalEffectPos,"Game:setRenderGlobalEffectPos(effectid, x, y, z)","effectid:number, x|y|z:number",ErrorCode.OK,Установите положение глобального эффекта,"local result = Game:setRenderGlobalEffectPos(effectid, x, y, z)"
10008,Игра,setRenderGlobalEffectScale,"Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)","effectid:number, scalex|scaley|scalez:number",ErrorCode.OK,Установить эффект глобального масштаба,"local result = Game:setRenderGlobalEffectScale(effectid, scalex, scaley, scalez)"
10009,Игра,msgBox,Game:msgBox(msg),,,окно сообщения,local result = Game:msgBox(msg)
20001,Мир,isDaytime,World:isDaytime(),none,"ErrorCode.OK, result:boolean",Является ли это в дневное время,"local isDayTx = World:isDaytime()
if isDayTx~=ErrorCode.OK then --If it is night, then give the torch to players
        local itemId, itemCnt = 817, 2 --Torch id and numbers
        Player:gainItems(playerId, itemId, itemCnt, 1)
end"
20002,Мир,isCustomGame,World:isCustomGame(),none,"ErrorCode.OK, result:boolean",Является ли это настроить игру,"local result = World:isCustomGame()
if result==ErrorCode.OK then print('Customize mode') end"
20003,Мир,isCreativeMode,World:isCreativeMode(),none,"ErrorCode.OK, result:boolean",Является ли это режим создания,"local result = World:isCreativeMode()
if result==ErrorCode.OK then print('Creation mode') end"
20004,Мир,isGodMode,World:isGodMode(),none,"ErrorCode.OK, result:boolean",Режим создания Многопользовательский режим или настроить редактировать,"local result = World:isGodMode()
if result==ErrorCode.OK then print('Multiplayer mode') end"
20005,Мир,isExtremityMode,World:isExtremityMode(),none,"ErrorCode.OK, result:boolean",Hardcore,"local result = World:isExtremityMode()
if result==ErrorCode.OK then print('Hardcore mode') end"
20006,Мир,isFreeMode,World:isFreeMode(),none,"ErrorCode.OK, result:boolean",Режим выживания - Свободный режим,"local result = World:isFreeMode()
if result==ErrorCode.OK then print('Survival mode-Free mode') end"
20007,Мир,isSurviveMode,World:isSurviveMode(),none,"ErrorCode.OK, result:boolean",Одиночный режим или режим Survival - Свободный режим,"local result = World:isSurviveMode()
if result==ErrorCode.OK then print('Single Survival mode') end"
20008,Мир,isCreateRunMode,World:isCreateRunMode(),none,"ErrorCode.OK, result:boolean",Режим выживания превратился из режима создания,"local result = World:isCreateRunMode()
if result==ErrorCode.OK then print('Survival mode, turned from creation mode') end"
20009,Мир,isGameMakerMode,World:isGameMakerMode(),none,"ErrorCode.OK, result:boolean",Режим редактирования Индивидуального,"local result = World:isGameMakerMode()
if result==ErrorCode.OK then print('Customized edit mode') end"
20010,Мир,isGameMakerRunMode,World:isGameMakerRunMode(),none,"ErrorCode.OK, result:boolean",Индивидуальный режим эксплуатации,"local result = World:isGameMakerRunMode()
if result==ErrorCode.OK then print('Customized operation mode') end"
20011,Мир,getHours,World:getHours(),none,"ErrorCode.OK, result:number",Текущее время (ч),"local result, dayTime = World:getHours()
if result==ErrorCode.OK then print('Current time:', dayTime) end"
20012,Мир,getCameraEditState,World:getCameraEditState(),none,"ErrorCode.OK, state:number0Default，1Edit，2Test",Получить вид редактирования состояния,"local result, state = World:getCameraEditState()
if result==ErrorCode.OK then print('Current view editing state:', state) end"
20013,Мир,setCameraEditState,World:setCameraEditState(state),state:CameraEditState,ErrorCode.OK,Установить вид состояния редактирования,"--Get Camera(userdata)，Back to nil
local result, config = World:getCustomCameraConfig()
if result==ErrorCode.OK and config~=nil then --Customized view
        config:setOption(CAMERA_OPTION_INDEX_CONFIG_SET, CCG_FLATVIEW)
end"
20014,Мир,getCustomCameraConfig,World:getCustomCameraConfig(),none,"ErrorCode.OK, config:CameraEditState",Получить настроенную конфигурацию камеры,local result = World:getCustomCameraConfig()
20015,Мир,getRangeXZ,World:getRangeXZ(),none,"ErrorCode.OK, startX|startZ|endX|endZ:number",Получить диапазон блока (фрагмент),"local result, startX,startZ,endX,endZ = World:getRangeXZ()
if result==ErrorCode.OK then print('StartXZ=(',startX,', ',startZ,'), EndXZ=(',endX,', ',endZ,')')  end"
20016,Мир,getActorsByBox,"World:getActorsByBox(objtype, x1, y1, z1, x2, y2, z2)","type:number designate type, x1|y1|z1:number starting point, x2|y2|z2:number ending point","ErrorCode.OK, num:number, objids:tableobjid array",Получить актер в обозначенном районе,"local actorType = 0 --OBJ_TYPE_MONSTER
local x1, y1, z1 = -5, 1, -5
local x2, y2, z2 = 15, 9, 15
local ret, num, array = World:getActorsByBox(actorType, x1,y1,z1, x2,y2,z2)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20017,Мир,getPlayerTotal,World:getPlayerTotal(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number Number",Получить все игроки. Может контролировать их положение выживания,local result = World:getPlayerTotal(alive)
20018,Мир,getAllPlayers,World:getAllPlayers(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, num:number number, array:table player uin array",Получить все игроки. Может контролировать их положение выживания,"local aliveType = -1 --Get all players data
local ret, num, array = World:getAllPlayers(aliveType)
if ret == ErrorCode.OK then print('Actors ===>> ', num, array) end"
20019,Мир,randomOnePlayer,World:randomOnePlayer(alive),alive:number0 means being killed，1 means survival，default-1 means all the players,"ErrorCode.OK, uin:number",Случайные игрока,"local aliveType = 1 --Any survivors Id
local ret, playerId = World:randomOnePlayer(aliveType)
if ret == ErrorCode.OK then print('Player ===>> ', playerId) end"
20020,Мир,despawnActor,World:despawnActor(objid),objid:number,ErrorCode.OK,Удалить актер,"local ret, num, array = World:getActorsByBox(aType, x1,y1,z1, x2,y2,z2)
if array and #array>0 then --Remove Actor
        local result = World:despawnActor(array[#array])
        if result == ErrorCode.OK then print('Despawn the last actor') end
end"
20021,Мир,spawnCreature,"World:spawnCreature(x, y, z, actorid, num)","x|y|z:number, mobid:number, num:number","ErrorCdoe.OK, objids:tableobjid array","Сформировать существо (в том числе монстров, NPC, животных и т.д.)","local x, y, z = 6, 7, 8
local actorId, actorCnt = 3812, 2 --Little cow
local ret, objids = World:spawnCreature(x, y, z, actorId, actorCnt)
if objids and #objids>0 then
        for idx = 1, #objIds do --Set the Oxygen dependence
                Creature:setOxygenNeed(objids[idx], true)
        end 
end"
20022,Мир,despawnCreature,World:despawnCreature(objid),objid:number,ErrorCode.OK,Удалить существо,"local result = World:despawnCreature(objids[1])
if result == ErrorCode.OK then print('Despawn the creature') end"
20023,Мир,spawnItem,"World:spawnItem(x, y, z, itemid, num)","x|y|z:number, itemid:number, num:number","ErrorCode.OK, objid:number",Сформировать элементы в обозначенном месте,"local xPos, yPos, zPos = 5, 6, 7
local itemId, itemCnt = 15003, 30 --Item's id and number
local ret, objIds = World:spawnItem(xPos, yPos, zPos, itemId, itemCnt)
if ret == ErrorCode.OK then print(""Item[1]====>>>"", objIds[1]) end"
20024,Мир,despawnItemByBox,"World:despawnItemByBox(x1, y1, z1, x2, y2, z2)","x1|y1|z1:number starting point, x2|y2|z2:number ending point",ErrorCode.OK,Удалить элементы (по регионам),"local x1, y1, z1 = -5, 5, -5
local x2, y2, z2 = 15, 9, 15
local result = World:despawnItemByBox(x1,y1,z1, x2,y2,z2)
if result == ErrorCode.OK then print('Successfully remove Item in designate region') end"
20025,Мир,despawnItemByObjid,World:despawnItemByObjid(objid),objid:number,ErrorCode.OK,Удалить элемент (по ID),"local result = World:despawnItemByObjid(objIds[1])
if result == ErrorCode.OK then print('Successfully remove designate item') end"
20026,Мир,spawnProjectile,"World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)","shooter:number, itemid:number, x|y|z:number, dirx|diry|dirz:number, speed:number",ErrorCode.OK,Сформировать Projectile,"local result = World:spawnProjectile(shooter, itemid, x, y, z, dirx, diry, dirz, speed)"
30001,блок,isSolidBlock,"Block:isSolidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Будет ли блок предприятие,"local result = Block:isSolidBlock(x, y, z)"
30002,блок,isLiquidBlock,"Block:isLiquidBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Будет ли блок жидкости,"local result = Block:isLiquidBlock(x, y, z)"
30003,блок,isAirBlock,"Block:isAirBlock(x, y, z)",x|y|z:number,"ErrorCode.OK, data:boolean",Будет ли блок воздуха,"local result = Block:isAirBlock(x, y, z)"
30004,блок,getBlockID,"Block:getBlockID(x, y, z)",x|y|z:number,"ErrorCode.OK, id:number",Получить соответствующий идентификатор блока,"local result = Block:getBlockID(x, y, z)"
30005,блок,setBlockAll,"Block:setBlockAll(x, y, z, blockid, data)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Установите blockalldata обновление и сообщить,"local result = Block:setBlockAll(x, y, z, blockid, data)"
30006,блок,destroyBlock,"Block:destroyBlock(x, y, z, dropitem)","x|y|z:number, dropitem:boolean",ErrorCode.OK,Уничтожить блок,"local result = Block:destroyBlock(x, y, z, dropitem)"
30007,блок,placeBlock,"Block:placeBlock(blockid, x, y, z, face)","blockid:number, x|y|z:number, face:number","ErrorCode.OK, ret:boolean whether it is placed right",Поместите блок,"local result = Block:placeBlock(blockid, x, y, z, face)"
30008,блок,setBlockAllForUpdate,"Block:setBlockAllForUpdate(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Установить blockalldata и информировать окружающие блоки,"local result = Block:setBlockAllForUpdate(x, y, z, blockid)"
30009,блок,setBlockAllForNotify,"Block:setBlockAllForNotify(x, y, z, blockid)","x|y|z:number, blockid:number, data:number, flag:number",ErrorCode.OK,Установите blockalldata и обновлять текущие блоки местоположения,"local result = Block:setBlockAllForNotify(x, y, z, blockid)"
