ID,名字,类别名,描述
ID,Name,TypeName,Desc
10001,Преобразовать местоположение в регион,Общий,"Центральная точка -- |@1|, размер зоны -- (|@2|, |@3|, |@4|)"
10002,Смещение региона,Общий,"@1| Смещение вдоль оси (|@2|, |@3|, |@4|)"
10003,Расширить регион,Общий,"Увеличить размер |@1| по трем осям соответственно на X|@2|, Y|@3|, Z|@4| клеток."
10005,Указанное координатное местоположение,Общий,Местоположение координат X|@1|Y|@2|Z|@3|
10006,Место смещения (изменения в исходном месте),Общий,Смещение |@1| вдоль оси координат（|@2|，|@3|，|@4|）
10007,Центральное расположение региона,Общий,Центральное местоположение |@1
10008,Случайное расположение региона,Общий,Случайное местоположение |@1
10009,Таймер Время,Общий,Время |@1
10010,Длина луча заданного направления,Общий,"Начиная с |@1|, проецируйте на |@2| луч в |@3| клетки. Длина луча между препятствующий блоком и исходным положением"
10011,Конкатенация строк,Общий,@1| и |@2
10012,Преобразовать значение в строку,Общий,Преобразовать |@1| в строку символов
10013,Булево сравнение,Общий,@1||@2||@3
10014,Сравнение значений,Общий,@1||@2||@3
10015,Тип блока попал под луч,Общий,"Начиная с |@1|, выпустить |@3| клеток к |@2|. Тип блока, препятствующего лучу"
10016,Облицовочные три координаты оси,Общий,"@1| в направлении X|@2|, Y|@3|, Z|@4|"
10017,Облицовочные сферические координаты,Общий,"@1| в направлении азимута |@2|, угла возвышения |@3"
10018,Выберите проигрыватель,Общий,Выберите |@1|
10019,Выберите существо,Общий,Select |@1
10020,Выберите снаряд,Общий,Select |@1
10021,Выберите капли,Общий,Select |@1
10022,Тон превращается в число,Общий,@1| преобразовать в значение
10023,Характер сравнения строк,Общий,@1||@2||@3
10024,Место смещения (Original место без изменений),Общий,Смещение |@1| вдоль оси координат（|@2|，|@3|，|@4|）
10025,Булево значение,Общий,|@1
10026,Значение,Общий,|@1
10027,Строка символа,Общий,|@1
10028,Тип Внешний вид,Общий,|@1
10029,Логическая группа,Общий,|@1
10030,номер группы,Общий,|@1
10031,Строка группы,Общий,|@1
10032,Получить значение счетчика группы,Общий,Получить количество значений в |@1|
10033,Получить значение счетчика значения в группе,Общий,Получить количество |@2| в |@1|
10034,Получить идентификатор значения в группе,Общий,Получить номер |@2| в |@1|
10035,"Определить, если значение существует в группе",Общий,В |@1| существует |@2
10036,"Определить, если определенный идентификатор существует в группе",Общий,Значение местоположения с номером |@2| в |@1
10037,Экстракт строки,Общий,Extract |@1| of |@2| - |@3| position string
10038,Конвертировать строку в целое число,Общий,@1| Преобразовать в значение
10039,Получить основное время установки устройства,Общий,Obtain device |@1| time
10040,Получить полное основное время настройки времени,Общий,Получить полную настройку времени основного устройства
10041,Случайный тип блока,Общий,Случайный тип блока
10042,Разделенная строка,генерал,"Разделение|@1|, сплиттер |@2|, перехватить сегмент |@3| после разделения"
10043,Получает строку указанного тега,генерал,"Получить |@1|, содержимое имени ключа |@2|"
10044,Получить время игрового сервера,генерал,Получить |@1| время игрового сервера
10045,Конвертировать метку времени в единицу времени,генерал,Преобразовать отметку времени |@1| в |@2
10046,Получить полное время сервера,генерал,Получить полное время сервера
10047,Конвертировать timestamp в full time,генерал,Преобразование временных меток |@1| в полный рабочий день
20001,Численный расчет,Математика,@1||@2||@3
20002,остаток,Математика,@1| Mod |@2
20003,Случайный номер,Математика,Сгенерировать случайное значение между |@1| и |@2|
20004,Максимальное значение,Математика,@1| и |@3| |@2
20005,Точное деление,Математика,|@1| Divide |@2
20006,Значение координаты местоположения,Математика,@2| координатное значение |@1
20007,Горизонтальный угол между местоположением,Математика,Горизонтальный угол между |@1| и |@2
20008,Вертикальный угол между местоположением,Математика,Вертикальный угол между |@1| и |@2
20009,Возведение,Математика,@2| степень |@1
20010,Укоренение,Математика,@1| в |@2| степени
20011,Абсолютная величина,Математика,Абсолютное значение |@1
