ID,大类名称
ID,TypeName
1,เฟอร์นิเจอร์
2,เฟอร์นิเจอร์
3,เฟอร์นิเจอร์
4,เฟอร์นิเจอร์
5,เฟอร์นิเจอร์
6,เฟอร์นิเจอร์
7,เฟอร์นิเจอร์
8,เฟอร์นิเจอร์
9,เฟอร์นิเจอร์
10,เฟอร์นิเจอร์
11,เฟอร์นิเจอร์
12,เฟอร์นิเจอร์
13,เฟอร์นิเจอร์
14,เฟอร์นิเจอร์
15,เฟอร์นิเจอร์
16,เฟอร์นิเจอร์
17,เฟอร์นิเจอร์
18,เฟอร์นิเจอร์
19,เฟอร์นิเจอร์
20,เฟอร์นิเจอร์
21,เฟอร์นิเจอร์
22,เฟอร์นิเจอร์
23,เฟอร์นิเจอร์
24,เฟอร์นิเจอร์
25,เฟอร์นิเจอร์
26,เฟอร์นิเจอร์
27,เฟอร์นิเจอร์
28,เฟอร์นิเจอร์
29,เฟอร์นิเจอร์
30,เฟอร์นิเจอร์
31,เฟอร์นิเจอร์
32,เฟอร์นิเจอร์
33,เฟอร์นิเจอร์
34,เฟอร์นิเจอร์
35,เฟอร์นิเจอร์
36,เฟอร์นิเจอร์
37,เฟอร์นิเจอร์
38,เฟอร์นิเจอร์
39,เฟอร์นิเจอร์
40,เฟอร์นิเจอร์
41,เฟอร์นิเจอร์
42,เฟอร์นิเจอร์
43,สิ่งก่อสร้าง
44,สิ่งก่อสร้าง
45,สิ่งก่อสร้าง
46,สิ่งก่อสร้าง
47,สิ่งก่อสร้าง
48,เฟอร์นิเจอร์
49,เฟอร์นิเจอร์
50,เฟอร์นิเจอร์
51,อุปกรณ์
52,อุปกรณ์
53,อุปกรณ์
54,อุปกรณ์
55,อุปกรณ์
56,อุปกรณ์
57,อุปกรณ์
58,อุปกรณ์
59,เฟอร์นิเจอร์
60,เฟอร์นิเจอร์
61,เฟอร์นิเจอร์
62,เฟอร์นิเจอร์
63,เฟอร์นิเจอร์
64,เฟอร์นิเจอร์
65,เฟอร์นิเจอร์
66,เฟอร์นิเจอร์
67,เฟอร์นิเจอร์
68,เฟอร์นิเจอร์
69,เฟอร์นิเจอร์
70,เฟอร์นิเจอร์
71,เฟอร์นิเจอร์
72,เฟอร์นิเจอร์
73,เฟอร์นิเจอร์
74,เฟอร์นิเจอร์
75,เฟอร์นิเจอร์
76,เฟอร์นิเจอร์
77,เทศกาล
78,เทศกาล
79,เทศกาล
80,เทศกาล
81,เทศกาล
82,เทศกาล
83,เทศกาล
84,เทศกาล
85,เทศกาล
86,เทศกาล
87,เทศกาล
88,เทศกาล
89,เทศกาล
90,สิ่งก่อสร้าง
91,สิ่งก่อสร้าง
92,สิ่งก่อสร้าง
93,สิ่งก่อสร้าง
94,สิ่งก่อสร้าง
95,สิ่งก่อสร้าง
96,สิ่งก่อสร้าง
97,สิ่งก่อสร้าง
98,สิ่งก่อสร้าง
99,สิ่งก่อสร้าง
100,สิ่งก่อสร้าง
101,สิ่งมีชีวิต
102,สิ่งมีชีวิต
103,สิ่งมีชีวิต
104,สิ่งก่อสร้าง
105,สิ่งก่อสร้าง
106,สิ่งก่อสร้าง
107,สิ่งก่อสร้าง
108,สิ่งก่อสร้าง
109,สิ่งก่อสร้าง
110,สิ่งก่อสร้าง
111,สิ่งก่อสร้าง
112,สิ่งก่อสร้าง
113,สิ่งก่อสร้าง
114,สิ่งก่อสร้าง
115,สิ่งก่อสร้าง
116,สิ่งก่อสร้าง
117,สิ่งก่อสร้าง
118,สิ่งก่อสร้าง
119,สิ่งก่อสร้าง
120,สิ่งก่อสร้าง
121,สิ่งก่อสร้าง
122,สิ่งก่อสร้าง
123,สิ่งก่อสร้าง
124,อุปกรณ์
125,อุปกรณ์
126,อุปกรณ์
127,อุปกรณ์
128,อุปกรณ์
129,อุปกรณ์
130,อุปกรณ์
131,อุปกรณ์
132,เทศกาล
133,เทศกาล
134,เทศกาล
135,สิ่งก่อสร้าง
136,สิ่งก่อสร้าง
137,สิ่งก่อสร้าง
138,สิ่งก่อสร้าง
139,สิ่งก่อสร้าง
140,สิ่งก่อสร้าง
149,เฟอร์นิเจอร์
150,เฟอร์นิเจอร์
151,เฟอร์นิเจอร์
152,เฟอร์นิเจอร์
153,เฟอร์นิเจอร์
