ID,名称
ID,Name
1000001,สวิตช์หมอก
100001,เปิด
100002,ปิด
10001,ฟ้าโปร่งและฝนตกสลับกัน
10002,ฟ้าโปร่ง
10003,ฝนตก
10004,พายุฝนฟ้าคะนอง
10005,สภาพอากาศที่เลวร้าย
10006,หิมะตก
10007,พายุฝุ่น
10008,พายุฝน
10009,พายุหิมะ
1010001,สวิตช์ช่วงความชัด
110001,ค่าสูงสุด
110002,ค่าต่ำสุด
120001,=
120002,≠
120003,>
120004,<
120005,≥
120006,≤
130001,+
130002,-
130003,*
130004,/
140001,ค่า HP สูงสุด
140002,HP ปัจจุบัน
140003,ฟื้นฟู HP
140006,ความหิวในปัจจุบัน
140008,ค่าออกซิเจนในปัจจุบัน
140010,ความเร็วในการเคลื่อนที่
140011,ความเร็วการวิ่ง
140012,ความเร็วการเดินย่อ
140013,ความเร็วการว่ายน้ำ
140014,กระโดด
140015,อัตราการหลบหลีก
140016,โจมตีระยะประชิด
140017,โจมตีระยะไกล
140018,ป้องกันระยะประชิด
140019,ป้องกันระยะไกล
140020,ขนาดโมเดล
140022,จำนวนดาว
140023,EXP ปัจจุบัน
140024,เลเวลปัจจุบัน
140025,พลังกายสูงสุด
140026,พลังกายปัจจุบัน
140027,ตัวคูณความเร็วการฟื้นฟูพลังกาย
140028,โจมตีกายภาพ
140029,โจมตีธาตุ
140030,ป้องกันกายภาพ
140031,ป้องกันธาตุ
150001,หยุดนิ่ง
150002,เคลื่อนที่
150004,วิ่ง
150005,กระโดด
150006,กระโดดสองครั้ง
150007,เดินย่อง
150011,ลงบนพื้น
160001,เคลื่อนที่ได้
160002,วางบล็อกได้
160003,โต้ตอบกับบล็อกได้
160004,ทำลายบล็อกได้
160005,ใช้งานไอเทมได้
160006,โจมตีได้
160007,ถูกดาเมจได้
160008,ถูกสังหารได้
160009,เก็บไอเทมได้
160010,ดรอปหลังตายได้
160011,ทิ้งไอเทมได้
170001,ทีม 1 สีแดง
170002,ทีม 2 สีฟ้า
170003,ทีม 3 สีเขียว
170004,ทีม 4 สีเหลือ
170005,ทีม 5 สีส้ม
170006,ทีม 6 สีม่วง
170007,ไม่มีทีม
180001,จำนวนผู้เล่น
180002,คะแนน
190001,ถูกทำลายได้
190002,ถูกโต้ตอบได้
190003,ถูกผลักได้
190004,ดรอปไอเทมได้
200001,ว่างเปล่า
200002,สแตนด์บาย
200003,เดินเล่น
200004,โจมตีระยะประชิด
200005,โจมตีระยะไกล
200006,ติดตาม
200007,ว่ายนํ้า
200008,วิ่งหนี
200009,ระเบิดเอง
20001,ตะวันออก
200010,ถูกดึงดูด
200011,ผสมพันธุ์
20002,ใต้
20003,ตะวันตก
20004,เหนือ
20005,บน
20006,ล่าง
2030001,ไม่มี
2030002,ตัดขาดเอง
2030003,ตัดขาดลำดับความสำคัญต่ำ
2030004,ทั้งหมด
2040001,โหนดย่อยใด ๆ สำเร็จ
2040002,โหนดทั้งหมดสำเร็จ
2050001,ไม่มี
2050002,โหนดย่อยใด ๆ ล้มเหลว
2050003,โหนดทั้งหมดล้มเหลว
2060001,ใด ๆ
2060002,เพื่อน
2060003,ศัตรู
2060004,เป็นกลาง
2070001,ใด ๆ
2070002,ศัตรูที่เป็นกลาง
2070003,พาสซีฟที่เป็นกลาง
2070010,ไม่มีทีม
2070011,ทีม 1 สีแดง
2070012,ทีม 2 สีฟ้า
2070013,ทีม 3 สีเขียว
2070014,ทีม 4 สีเหลือ
2070015,ทีม 5 สีส้ม
2070016,ทีม 6 สีม่วง
2090001,บริเวณรอบ
2090002,ด้านหน้า
2090003,ด้านหลัง
2100001,ติดตามผู้สร้าาง
2100002,เพิ่มเป็นแผนที่โปรด
2100003,ให้คะแนนแผนที่
210001,ค่า HP สูงสุด
210002,HP ปัจจุบัน
210003,ฟื้นฟู HP
210005,ความหิวในปัจจุบัน
210007,ค่าออกซิเจนในปัจจุบัน
