ID,名字
ID,EnumName
100101,ความเร็วพื้นฐาน
100102,ความเร็วการวิ่ง
100103,ความเร็วการว่ายน้ำ
100104,ความเร็วการย่อง
100201,HP
100202,ค่าความหิว
100203,อุณหภูมิ
100301,ดาเมจระยะใกล้
100302,ดาเมจระยะไกล
100303,ดาเมจระเบิด
100304,ดาเมจเผา
100305,ดาเมจพิษ
100306,ดาเมจโกลาหล
100307,ดาเมจต่ออีลิท
100308,ดาเมจต่ออสูร
100309,ดาเมจใส่ผู้เล่น
100310,ดาเมจใส่คนป่า
100311,ดาเมจทั้งหมด
100313,ดาเมจธาตุน้ำแข็ง
100401,ดาเมจระยะใกล้
100402,ดาเมจระยะไกล
100403,ดาเมจระเบิด
100404,ดาเมจเผา
100405,ดาเมจพิษ
100406,ดาเมจโกลาหล
100407,ดาเมจที่มาจากอีลิท
100408,ดาเมจที่มาจากอสูร
100409,ดาเมจใส่ผู้เล่น
100410,ดาเมจใส่คนป่า
100411,ดาเมจตก
100412,ดาเมจทั้งหมด
100413,ดาเมจธาตุน้ำแข็ง
100501,ป้องกันระยะใกล้
100502,ป้องกันระยะไกล
100503,ป้องกันระเบิด
100504,ต่อต้านเผาไหม้
100505,ต่อต้านพิษ
100506,ต่อต้านอลวน
100507,ป้องกันทั้งหมด
100508,ต้านทานแช่แข็ง
100601,ขุด
100602,ล่า
100701,ร่างกาย
100702,ศีรษะ
100801,ใต้น้ำ
100802,ในที่ว่าง
100901,โจมตีใกล้
100902,โจมตีไกล
100903,โจมตีด้วยระเบิด
100904,โจมตีด้วยไฟ
100905,โจมตีด้วยพิษ
100906,โจมตีโกลาหล
100907,โจมตีทั้งหมด
100908,พลังโจมตีธาตุน้ำแข็ง
101001,ดาเมจระยะใกล้
101002,ดาเมจระยะไกล
101003,ดาเมจระเบิด
101004,ดาเมจเผา
101005,ดาเมจพิษ
101006,ดาเมจโกลาหล
101007,ดาเมจโดยตรง
101008,ดาเมจธาตุน้ำแข็ง
101101,ความแข็งแรง
101102,ขยายความแข็งแรง
101201,การกระทำทั้งหมดที่เสียความแข็งแรง
101202,วิ่ง
101203,ว่ายน้ำ
101204,วิ่งกระโดด
101205,ขุดบล็อค
101206,การชาร์จเครื่องมือ
101301,สถานะทั้งหมดที่ฟื้นฟูความแข็งแรง
101302,อยู่เฉยๆ
101303,เดิน
101304,ย่อง
101401,ออกกำลังอย่างหนัก
101402,วิ่ง
101403,ว่ายน้ำ
101404,วิ่งกระโดด
101405,การขุดบล็อค
101406,การชาร์จเครื่องมือ
101501,อุณหภูมิต่ำ
101502,อุณหภูมิสูง
101601,ทั้งหมด
101602,บล็อกน้ำ
101603,บล็อกทรายดูด
101604,บล็อกน้ำผึ้ง
101605,บล็อกลาวา
101701,ทั้งหมด
101702,ที่สุด
101703,ที่ย่าง
101704,ที่ต้ม
101705,ยา
101801,ทั้งหมด
101802,HP
101803,พลังกาย
101804,โล่
101805,ความเด็ดเดี่ยว
101806,ออกซิเจน
