ID,名字,描述,获得方式
ID,Name,Desc,GetWay
0,อากาศ,ไม่มีใครมองเห็นได้,@Null@
1,หินฐานรากแกนโลก,อยู่ในส่วนลึกที่สุดของแกนโลก แข็งสุดๆ ไม่สามารถสั่นคลอนได้,
2,บล็อกฟังก์ชัน,บล็อกที่มหัศจรรย์ ฤทธิเดชไม่กระจ่าง,@Null@
3,น้ำนิ่ง,บล็อกนํ้าที่หยุดนิ่ง,@Null@
4,น้ำ,น้ำที่ไหลได้,
5,ลาวานิ่ง,ลาวาหยุดนิ่ง แต่ร้อนมากต้องระวัง！,
6,ลาวา,บล็อกลาวาที่ไหลไปมาได้ ร้อนมากต้องระวังถูกลวก！,
7,แสงวาร์ป,เหมือนจะเป็นบล็อกมายากลนะ,@Null@
8,อิฐสลักนูน,บล็อกสร้างที่เต็มไปด้วยรูปแกะสลัก  แข็งมาก,
9,บล็อกเพิ่มความเร็วในการเลื่อน,คนที่ผ่านบล็อกนี้จะได้รับแรงผลักดันที่ลึกลับ,
10,บล็อกพลังงานดาว,วางแล้วจะปล่อยออก#c0aba1dสัญญาณพลังงานดาว#nอย่างต่อเนื่อง,
11,น้ำผึ้งนิ่ง,น้ำผึ้งนิ่ง,@Null@
12,น้ำผึ้ง,น้ำผึ้งที่ไหลได้,
13,ทรายดูดคงที่,"""แม่น้ำ"" ที่เกิดจากทราย เป็นอันตราย!",
14,ทรายดูด,แม่น้ำ ที่เกิดจากทรายละเอียด เป็นอันตราย!,
15,หินสาปแช่ง,จะเกิดอะไรขึ้นกับหินที่มีกลิ่นแปลกๆ เมื่อสัมผัสกับทรายดูด? พบกับคำสาปเลือดเมื่อขุด!,ผนังด้านนอกของซากปรักหักพังใต้ดิน
16,หินสาปแช่ง-เปิดใช้,จะเกิดอะไรขึ้นกับหินที่มีกลิ่นแปลกๆ เมื่อสัมผัสกับทรายดูด?พบกับคำสาปเลือดเมื่อขุด!,ผนังด้านนอกของซากปรักหักพังใต้ดิน
17,น้ำพิษนิ่ง,ของเหลวที่มีกลิ่นอันตราย พยายามอยู่ให้ห่างไกล,
18,น้ำพิษ,ของเหลวที่มีกลิ่นอันตราย พยายามอยู่ให้ห่างไกล,
19,หินลมกัดเซาะ,หินทะเลทรายที่ถูกลมแรงกัดเซาะ ค่อนข้างเปราะบาง,
20,อากาศในมนุษย์ต่างดาว,ไปดาวน์โหลดเวอร์ชั่นเกมล่าสุดทันที!,
21,@Null@,@Null@,@Null@
22,@Null@,@Null@,@Null@
23,หินตะกอน,โครงสร้างชั้นที่เกิดจากการถูกบีบอัดเป็นเวลาหลายหมื่นปีในทะเลลึกประกอบด้วยสารอาหารทุกชนิดที่สาหร่ายทะเลน้ำลึกต้องการ เหมาะอย่างยิ่งสำหรับการผูกปลูกสาหร่ายเรืองแสงและสาหร่ายแดง,รับได้จากการทำลายหินตะกอน
