ID,名称
ID,Name
79000000,บล็อกหญ้า
79000001,บล็อกลาวาดำ
79000002,บล็อกลาวาดำ
79000003,บล็อกลาวาดำ
79000004,บล็อกลาวาดำ
79000005,บล็อกลาวาดำ
79000006,บล็อกลาวาดำ
79000007,ที่ดินเพาะปลูก
79000008,ที่ดินเพาะปลูก
79000009,บล็อกมลพิษ
79000010,คริสตัลสีดำ
79000011,บล็อกบลูเบอร์รี่
79000012,บล็อกดินบลูเบอร์รี่
79000013,บล็อกลาวา
79000014,บล็อกหญ้าโฮราส
79000015,ผลึกกำมะถัน
79000016,แร่เหล็ก
79000017,หินเมจิก
79000018,หินมอสส์
79000019,บล็อกเถ้าพืช
79000020,ที่ดินเพาะปลูกสีแดง
79000021,ที่ดินเพาะปลูกสีแดง
79000022,ดินสีแดง
79000023,ทรายแดง
79000024,หินตะกอน
79000025,หินตะกอน
79000026,หินลมกัดเซาะ
79000027,หินลมกัดเซาะ
79000028,บล็อกดิน
79000029,หินสาปแช่ง
79000030,ดินแห้ง
79000031,น้ำแข็งแข็งแกร่ง
79000032,ทรายร้อน
79000033,ทรายร้อน
79000034,ดินเยือกแข็ง
79000035,บล็อกพลังควบแน่น
79000036,ผลไม้บลูยักษ์
79000037,ผลไม้เกล็ดยักษ์
79000038,บล็อกขึ้นหญ้า
79000039,บล็อกเศษหิน
79000040,น้ำแข็งเปราะ
79000041,น้ำแข็งเปราะ
79000042,น้ำแข็งย้อยเปราะ
79000043,น้ำแข็งย้อยแข็งแกร่ง
79000044,ไม้เจนไร้ใบไม้
79000045,ไม้เจน
79000056,ไม้อาร์เบอร์
79000057,กิ่งไม้ป็อปลาร์หนา
79000058,กิ่งต้นสนใบใหญ่
79000059,ไม้มะพร้าว
79000060,กิ่งไม้เชอร์รี่
79000061,ต้นอาร์เบอร์แกนป่าดงดิบ
79000062,ต้นอาร์เบอร์แกนป่าดงดิบ
79000063,กิ่งไม้พีชหนา
79000064,ไม้โฟบี
79000065,ท่อนไม้ต้นหูหยาง
79000066,ท่อนไม้ต้นหูหยาง
79000067,กิ่งไม้โคสต์เรดวูดหนา
79000068,ลำต้นศักดิ์สิทธิ์
79000069,กิ่งไม้ต้นวอลนัทหนา
79000070,อิฐกึ่งทันสมัย
79000071,ใบรูพรุนกลายพันธุ์
79000072,ก้านพืชกลายพันธุ์
79000073,ทรายเหลือง
79000074,บล็อกปิโตเลียม
79000075,ทรายเหลือง
79000076,ทราย
79000077,บล็อกพลังงานดาว
79000078,ก้อนหิน
79000079,หินกำมะถัน
79000080,หินฐานรากแกนโลก
79000081,ตอม่อ-คอนกรีต
79000082,ตอม่อ-ดินร้าว
79000083,ตอม่อสีขาว
79000084,ตอม่อ-น้ำแข็งก้อนใหญ่
79000085,อิฐดิน
79000086,พื้น
79000087,พื้นใบไม้ร่วงสีส้ม
79000088,พื้นไม้บีโกเนียสีแดง
79000089,แผ่นทองแดงบางแนวตั้ง
79000090,แผ่นอิฐซีเมนต์บางแนวตั้ง
79000091,อิฐหินขั้นต่ำ
79000092,ก้อนคาราเมล
79000093,ตัวถังรถ
79000094,อิฐกึ่งแบบจีน
79000095,อิฐกึ่งแบบจีน
79000096,อิฐเรียบง่าย
79000097,อิฐกึ่งเรียบง่าย
79000098,อิฐบุผนังเรียบง่าย
79000099,อิฐบุผนังเรียบง่าย
79000100,บล็อกกระจก
79000101,กระเบื้องเคลือบ
79000102,กระเบื้องเคลือบแนวนอน
79000103,กระเบื้องเคลือบแนวตั้ง
79000104,กระเบื้องเคลือบตาราง
79000105,กระเบื้องเคลือบไม่สม่ำเสมอ
79000106,กระจกสีเขียว
79000107,บล็อกกระจกแข็ง
79000108,กองหญ้า
79000109,น้ำผึ้งไหม้
79000110,บล็อกหินดาว
79000111,อิฐน้ำแข็ง
79000112,บล็อกเซ็นเซอร์อินฟราเรด
79000113,แผ่นแมงกานีสบางแนวตั้ง
79000114,แผ่นมิธริลบางแนวตั้ง
79000115,แผ่นมะนาวเหลืองบางแนวตั้ง
79000116,แผ่นไม้ไผ่บางแนวตั้ง
79000117,แผ่นสีขาวงาช้างบางแนวตั้ง
79000118,แผ่นสีส้มใบไม้ร่วงบางแนวตั้ง
79000119,แผ่นสีเทาอ่อนบางแนวตั้ง
79000120,แผ่นบางแนวตั้ง
79000121,แผ่นสีปูนขาวบางแนวตั้ง
79000122,แผ่นไม้กระดานปูนขาว
79000123,แผ่นสีแดงเลือดนกบางแนวตั้ง
79000124,แผ่นสีส้มพระอาทิตย์ตกบางแนวตั้ง
79000125,ไม้กระดานหูหยาง
79000126,แผ่นบีโกเนียสีแดงบางแนวตั้ง
79000127,แผ่นสีน้ำตาลแดงเข้มบางแนวตั้ง
79000128,แผ่นไม้ลอย
79000129,บล็อกเถ้าพืช
79000130,ผนังอิฐ
79000131,หินเล็ก
79000132,แผ่นหินบางแนวตั้ง
79000133,บันไดอิฐสีเหลือง
79000134,แผ่นอิฐสีเหลือง
79000135,แผ่นอิฐเหลืองหนา
79000136,แผ่นมิธริลสนิม
79000137,แผ่นมิธริลสนิมลวดลาย
79000138,บล็อกมิธริลสนิมพลังงานดาว
79000139,แผ่นมิธริลหนา
79000140,แผ่นมิธริลสองชั้น
79000141,บล็อกไมกาลวดลาย
79000142,บล็อกไมกาแนวตั้ง
79000143,บันไดไมกา
79000144,แผ่นอิฐหินบางแนวตั้ง
79000145,อิฐหินมีรอยร้าว
79000146,อิฐหินหินมอสส์
79000147,แผ่นบางหินมอสส์
79000148,อิฐช็อกโกแลต
79000149,แผ่นอิฐกำมะถันบางแนวตั้ง
79000150,ตอม่อ-แผ่นเหล็ก
79000151,บล็อกคัดลอกพื้นที่
79000152,บล็อกคัดลอกพื้นที่
79000153,บล็อกคัดลอกพื้นที่
79000154,อิฐลายสีขาวดำ
79000155,เครื่องคัดลอกบล็อก
79000156,เครื่องคัดลอกบล็อก
79000157,เครื่องคัดลอกบล็อก
79000158,อิฐบุผนังแบบจีน
79000159,บล็อกทริกเกอร์
79000160,บล็อกทริกเกอร์-สิ่งมีชีวิต
79000161,บล็อกทริกเกอร์-บอล
79000162,บล็อกทริกเกอร์-ฟิสิกส์
79000163,บล็อกทริกเกอร์ 5
79000164,บล็อกทริกเกอร์ 5
79000165,อิฐลายสีน้ำตาล
79000166,ก้อนเมฆโฮราส
79000167,บล็อกฝ้าย
79000168,บล็อกฝ้าย
79000169,บล็อกฝ้าย
79000170,แผ่นลุกโชนบางแนวตั้ง
79000171,แร่ลุกโชน
79000172,แร่ลุกโชน
79000173,กระเบื้องลายฟ้า
79000174,กระเบื้องลายฟ้า
79000175,กระเบื้องสีขาวบริสุทธิ์เคลือบ
79000176,กระเบื้องรูปทรงแสง
79000177,กระเบื้องวังแอปริคอต
79000178,คริสตัลเรืองแสง
79000179,บล็อกหินดาวม่วง
79000180,น้ำพิษนิ่ง
79000181,รังผึ้งเปล่า
79000182,รังผึ้งเต็ม
79000183,ผลึกน้ำผึ้ง
79000184,บล็อกน้ำผึ้ง
79000185,บล็อกฟรอสต์ไฟร์
79000186,ซาร์โดนิกซ์
79000187,บล็อกอำพัน
79000188,น้ำแข็งกระจก
79000189,บล็อกมิธริลเก่า
79000190,แผ่นมิธริลลายตั้ง
79000191,บล็อกมิธริลเส้นสีม่วง
79000192,บล็อกโฟม
79000193,บล็อกพลังงานดาว
79000194,บล็อกสปอร์แสงดาวสีขาว
79000195,บล็อกหยุดลม
79000196,แผ่นไทเทเนียมบางแนวตั้ง
79000197,บล็อกทองทังสเตน
79000198,อิฐตะวันตก
79000199,บล็อกลาวาดำ
79000200,บล็อกซีเมนต์
79000201,บล็อกโลหะ
79000202,บล็อกเรียบ
