ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,แพนด้า,เด็กชายแพนด้าที่แสนเย่อหยิ่ง ชอบกินไผ่ที่ซู้ด!,รับการ์ดสกินได้จากผลไม้ในสวน,ลักษณะพิเศษ：ทิ้งรอยเท้าแพนด้าไว้,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์แพนด้า,@Null@,,,
2,ซุนหงอคง,ขายพิเศษในช่วงตรุษจีนปีลิง มีลิงน้อยมังกี้ฉลองตรุษจีนกับคุณ!,รับการ์ดสกินได้จากผลไม้ในสวน,ลักษณะพิเศษ：ทิ้งเมฆแห่งความโชคดีไว้,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์มังกี้,@Null@,,,
3,บันนี่,บันนี่เกิร์ล เวลาเดินไปที่ไหนก็มักจะทิ้งรอยเท้าแครอทไว้,รับการ์ดสกินได้จากผลไม้ในสวน,ลักษณะพิเศษ：ทิ้งรอยเท้าแครอทไว้,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์บันนี่,@Null@,,,
4,มิสรา,ปิ้ววววว!ระวังมิสราในโลกดึกดำบรรพ์ด้วยล่ะ!,รับการ์ดสกินได้จากผลไม้ในสวน,ลักษณะพิเศษ：ทิ้งรอยเท้าไดโนเสาร์ไว้,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์มิสรา,@Null@,,,
5,สวีทตี้,สวัสดีจ้า!ยินดีต้อนรับสู่ร้านกาแฟเมี๊ยว!,รับไอเทมปลดล็อกได้จากผลไม้ในสวน,ลักษณะพิเศษ：ทิ้งรอยเท้าเหมียวไว้,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์สวีทตี้,@Null@,,,
6,จอร์จ,รักกีฬาและดนตรี,รับไอเทมปลดล็อกได้จากผลไม้ในสวน,ลักษณะพิเศษ：ทิ้งรอยเท้าหัวใจสีฟ้าไว้,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์จอร์จ,@Null@,,,
7,แอนนี่,เด็กสาวที่ชอบการเต้นรำและขนมที่สุด,รับไอเทมปลดล็อกได้จากผลไม้ในสวน,ลักษณะพิเศษ：ทิ้งรอยเท้าหัวใจสีแดงไว้,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์แอนนี่,@Null@,,,
8,เสี่ยวเฟย,ยอดนักกลไก หนึ่งในสมาชิกสำนักโม่โบราณ,@Null@,ลักษณะพิเศษ：ทิ้งปีกสายลมไว้,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์เสี่ยวเฟย,ท่าบินพิเศษในโหมดสร้างสรรค์,สร้างเอฟเฟกต์การบินโหมด,,
9,แดร็กคิวล่า,รัชทายาทผู้ซึ่งเย็นชาและดูเลิศหรูมีระดับตลอดเวลา,รับไอเทมปลดล็อกได้จากผลไม้ในสวน,ลักษณะพิเศษ：มีหมอกสีแดงและค้างคาวสีดำบินรอบๆ,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์แดร็กคิวล่า,@Null@,,,
10,กวางกริ๊ง,กวางที่อาศัยอยู่ในหุบเขาคริสต์มาส ดื้อและน่ารัก,@Null@,ลักษณะพิเศษ：มีแหวนคริสต์มาสอยู่บนตัว,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์กวางกริ๊ง,รอยเท้า:ทิ้งรอยเท้ากวางเรนเดียร์ไว้ในสถานที่ที่เดินผ่าน,,,
11,สโนว์วี่,สโนว์วี่ผู้กล้าหาญมาจากขั้วโลกเหนือ มีเหยี่ยวเป็นเพื่อนซี้,@Null@,ลักษณะพิเศษ：มีเกล็ดหิมะเย็นๆปลิวว่อน,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์สโนว์วี่,รอยเท้า:ทิ้งรอยเท้าหิมะไว้ในสถานที่ที่เดินผ่าน,,,
12,ยูจิ,เซียนผู้จุติมายังโลกมนุษย์ ได้พบกับมู่หรงโดยบังเอิญ,@Null@,ลักษณะพิเศษ：มีกลีบดอกไม้ปลิวว่อน,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์ยูจิ,@Null@,,,
13,มู่หรง,ฤาษีผู้ลงเขาไปบำเพ็ญ ได้พบกับยูจิโดยบังเอิญ,@Null@,ลักษณะพิเศษ：มีพลังวิเศษกระจายอยู่,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์มู่หรง,รอยเท้า:ทิ้งรอยเท้าไว้ในสถานที่ที่เดินผ่าน,,,
14,โจอี้,อุ๊ย ขอโทษนะ สงสัยกระสุนของฉันคงไม่ได้ชอบเธอขนาดนั้น,@Null@,ลักษณะพิเศษ：มีควันแบบคาวบอยกระจายอยู่ใต้เท้า,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์โจอี้,รอยเท้า:ทิ้งรอยเท้าตำรวจชื่อดังไว้ในสถานที่ที่เดินผ่าน,,,
15,ลูคัซ,ฉลาด ว่องไว แม่นยำ ถือเป็นซุปตาร์ที่ควบคุมทั้งสนามได้,@Null@,@Null@,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์ลูคัซ,รอยเท้า:ทิ้งรอยเท้าบาสเก็ตบอลไว้ในสถานที่ที่เดินผ่าน,,,
16,แคลร์,เหมือนกับลูคัส หล่อนสามารถดึงดูดสายตาทุกคน มีเสน่ห์เหลือเกิน,@Null@,@Null@,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์แคลร์,รอยเท้า:ทิ้งรอยเท้าริบบิ้นหลากสีไว้ในสถานที่ที่เดินผ่าน,,,
17,โรส,หึ กระสุนของฉันอาจจะชอบคุณนะ,@Null@,ลักษณะพิเศษ：มีหัวใจลอยอยู่รอบตัว,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์โรส,@Null@,,,
18,กัปตันทีช,แมรี่..ฉันจะเป็นกัปตันโจรสลัดที่ดังที่สุด ไปค้นหาขุมทรัพย์ทั่วโลก!,@Null@,@Null@,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์กัปตัน,รอยเท้า:ทิ้งรอยเท้าไว้ในสถานที่ที่เดินผ่าน,,,
19,แมรี่,งั้นเค้าก็คือผู้ช่วยกัปตันโจรสลัดที่โด่งดังที่สุด~,@Null@,ลักษณะพิเศษ：มีรสชาติแบบทะเลสีชมพู,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
20,จิ่นอี,ลมบูรพาพัดหวนที่หอเล็ก ภายใต้แสงพระจันทร์อดวามเศร้าใจที่สูณเสียประเทศไม่ได้,@Null@,ลักษณะพิเศษ：เมื่อเดินฝ่าเท้าเกิดลม,รูปโปรไฟล์:ปลดล็อกรูปโปรไฟล์,@Null@,,,
