ID,初始描述,选后描述
ID,DefaultDesc,AfterDesc
1,ใช่,@Null@
2,ไม่ใช่,@Null@
3,07:00:00,@Null@
4,09:00:00,@Null@
5,12:00:00,@Null@
6,18:00:00,@Null@
7,00:00:00,@Null@
8,ตั้งค่า,กำหนด$Numชม.
9,อัตโนมัติ,@Null@
10,มีแค่ฟ้าโปร่ง,@Null@
11,มีแค่ฝน-หิมะ,@Null@
12,1,@Null@
13,2,@Null@
14,3,@Null@
15,4,@Null@
16,5,@Null@
17,6,@Null@
18,แรงถ่วง0.1เท่า,@Null@
19,แรงถ่วง0.4เท่า,@Null@
20,แรงถ่วง0.6เท่า,@Null@
21,แรงถ่วง1เท่า(อัตโนมัติ),@Null@
22,แรงถ่วง5เท่า,@Null@
23,ตั้งค่า 0.1-10,กำหนด$Num
24,มุมมองหลัก,@Null@
25,มุมมองหลัง,@Null@
26,มุมมองหน้า,@Null@
27,ล็อกมุมมองหลัก,@Null@
28,ล็อกมุมมองหลัง,@Null@
29,ล็อกมุมมองหน้า,@Null@
30,เจ้าของห้องเปิด,@Null@
31,เปิดเมื่อครบคน,@Null@
32,ไม่มี,@Null@
33,ไม่จำกัดเวลา,@Null@
34,2 นาที,@Null@
35,5 นาที,@Null@
36,10 นาที,@Null@
37,ตั้งค่า(1-999 นาที),กำหนด$Numนาที
38,10 นาที,@Null@
39,50 นาที,@Null@
40,100 นาที,@Null@
41,ตั้งค่า(1-999 นาที),กำหนด$Numนาที
42,ฟื้นชีพทันที,@Null@
43,รอ 5 วินาที,@Null@
44,ตั้งค่า(1-999 วินาที),กำหนด$Numวินาที
45,5 วินาที,@Null@
46,10 วินาที,@Null@
47,ไม่จำกัด,@Null@
48,ไม่มีดนตรี,@Null@
49,bgm1(เร่งความเร็วโลก),@Null@
50,bgm2(เคลื่อนไหวให้ตื่น),@Null@
51,bgm3(นักสู้วาฟู),@Null@
52,bgm4(ทะเลทราย),@Null@
53,bgm5(พระเจ้าโดดเดี่ยว),@Null@
54,bgm6(ช่วงเวลาพีค),@Null@
55,bgm7(Bomb！),@Null@
56,bgm8,@Null@
57,โจมตีอิสระ,@Null@
58,ห้ามโจมตีผู้เล่น,@Null@
59,โจมตีระหว่างทีม,@Null@
60,ฝนตก-ฟ้าโปร่งสลับกัน(อัตโนมัติ),@Null@
61,ไม่ใช้สกอร์,@Null@
62,ตั้งค่าเป็นกดแมพตั้งค่า,@Null@
63,สุ่มฟื้นชีพที่จุดทีม,@Null@
64,ฟื้นชุดที่จุดทีมที่ใกล้ที่สุด,@Null@
65,เปิดเผย,@Null@
66,ไม่เปิดเผย,@Null@
67,ดรอปปกติ,@Null@
68,ล้างเป้,@Null@
69,เก็บไอเทม,@Null@
70,เปิดโดยไม่มีเงื่อนไข,@Null@
71,สาธารณะ,@Null@
72,เฉพาะทีมเรามองเห็น,@Null@
73,เฉพาะทีมศัตรูมองเห็น,@Null@
74,ไม่เปิดเผย,@Null@
75,อัตโนมัติ(ตามสกอร์),@Null@
76,ชนะทั้งหมด,@Null@
77,แพ้ทั้งหมด,@Null@
78,ล็อกมุมมองเงย,@Null@
79,ไม่จำกัด,@Null@
80,2,@Null@
81,5,@Null@
82,13,@Null@
83,ตั้งค่า(1-99),กำหนด$Num
84,10,@Null@
85,20,@Null@
86,40,@Null@
87,ตั้งค่า(1-40),กำหนด$Num
88,ล็อคเองมุมมอง,@Null@
89,0,@Null@
90,120,@Null@
91,@Null@,@Null@
92,@Null@,@Null@
93,@Null@,@Null@
94,@Null@,@Null@
95,@Null@,@Null@
96,@Null@,@Null@
105,มุมมองด้านบน,
106,กล้องประดิษฐ์,
107,อากาศร้ายแรง,
108,หิมะตก,
109,พายุทราย,
110,พายุฝน,
111,พายุหิมะ,
112,กระป๋องดรอป,
