keyid,名字,属性描述
keyid,Name,AttrDesc
5001,เคาะ,มีโอกาส 10% เคาะ +
5002,เคาะ,มีโอกาส 20% เคาะ +
5003,เคาะ,มีโอกาส 30% เคาะ +
6001,คม,การโจมตีระยะประชิด +
6002,คม,การโจมตีระยะประชิด +
6003,คม,การโจมตีระยะประชิด +
7001,นักล่ามนุษย์,นักล่ามนุษย์ +
7002,นักล่ามนุษย์,นักล่ามนุษย์ +
7003,นักล่ามนุษย์,นักล่ามนุษย์ +
8001,นักล่าสัตว์ป่า,นักล่าสัตว์ป่า +
8002,นักล่าสัตว์ป่า,นักล่าสัตว์ป่า +
8003,นักล่าสัตว์ป่า,นักล่าสัตว์ป่า +
9001,นักล่าอีลิท,นักล่าอีลิท +
9002,นักล่าอีลิท,นักล่าอีลิท +
9003,นักล่าอีลิท,นักล่าอีลิท +
10001,จุดไฟ,ระดับจุดไฟ
10002,จุดไฟ,ระดับจุดไฟ
10003,จุดไฟ,ระดับจุดไฟ
11001,ขยายระยะขับไล่,ขยายระยะขับไล่
11002,ขยายระยะขับไล่,ขยายระยะขับไล่
11003,ขยายระยะขับไล่,ขยายระยะขับไล่
12001,โชคการล่า,ระดับโชคการล่า
12002,โชคการล่า,ระดับโชคการล่า
12003,โชคการล่า,ระดับโชคการล่า
13001,ยิงทรงพลัง,ดาเมจธนู+
13002,ยิงทรงพลัง,ดาเมจธนู+
13003,ยิงทรงพลัง,ดาเมจธนู+
14001,ยิงแบบไม่จำกัด,ยิงแบบไม่จำกัด
14002,ยิงแบบไม่จำกัด,ยิงแบบไม่จำกัด
14003,ยิงแบบไม่จำกัด,ยิงแบบไม่จำกัด
15001,ทนทาน,ความทนทาน +
15002,ทนทาน,ความทนทาน +
15003,ทนทาน,ความทนทาน +
16001,ต้านทานระยะประชิด,ต้านทานระยะประชิด +
16002,ต้านทานระยะประชิด,ต้านทานระยะประชิด +
16003,ต้านทานระยะประชิด,ต้านทานระยะประชิด +
17001,ต้านทานระยะไกล,ต้านทานระยะไกล +
17002,ต้านทานระยะไกล,ต้านทานระยะไกล +
17003,ต้านทานระยะไกล,ต้านทานระยะไกล +
18001,ต้านทานการระเบิด,ต้านทานการระเบิด +
18002,ต้านทานการระเบิด,ต้านทานการระเบิด +
18003,ต้านทานการระเบิด,ต้านทานการระเบิด +
