ID,名称,描述
ID,Name,Desc
100001,When taking damage,"When taking damage, store the attacker in %1"
100002,When affected by item interaction,"When interacting with the %1 of another object, store the object in %2"
100003,When receive Broadcast,When receiving Broadcast %1
100004,When hearing nearby audio,"When hearing %3 within a %2-tile range around %1, store the audio location in %4"
200001,Negate,The return values of the following nodes are negated
200002,Execute once,The following nodes are executed only once
200003,Loop,Execute loops %1 time(s)
200004,Always successful,Return successful
200005,Always fail,Return fail
300001,Execute by order,Execute %1 by order
300002,Selective execution,Selective execution of %1
300003,Simultaneous execution,Simultaneous execution of %1%2
400201,Game hours,%1%2%3
400203,Determine the area the location belongs to,%1%2 is in %3
400204,The distance between locations,%1%2%3
400205,Determine object attribute,%1%2%3
400206,Determine team relation between objects,The relation between %1 and %2 is %3
400207,Whether the object exists,%1 exists
400208,Determine object type,The type of %1 is %2%3
400209,Determine type of Item holding by object,The type of the item holding by %1 is %2%3
400210,Internal - Whether it’s a Void Night,Now is a special night
400211,Determine object status effect,%1%2 is in %3
400301,Determine player attribute,%1%2%3
400302,Whether there is a player nearby,%1 exists
400311,Determine Player Attribute,%1%2%3
400312,Whether there is a player nearby,%1 exists
400401,Determine creature attribute,%1%2%3
400402,Whether there is a creature nearby,%1 exists
400411,Determine creature attribute,%1%2%3
400412,Whether there is a creature nearby,%1 exists
400421,Internal - Whether the creature holds shield,%1 is holding a shield
400422,Whether the creature is under pick-up status,%1 is under pick-up status
400501,Whether there is a designated block nearby,There is a block on top of %1
400502,Determine type of block near the location,The type of the block of %1 is %2
400601,Determine item attribute,%1%2%3
400602,Whether there is a designated item nearby,%1 exists
400611,Determine item attribute,%1%2%3
401001,Numerical comparison,%1%2%3
401002,Boolean value comparison,%1%2%3
401003,String comparison,%1%2%3
401004,Location comparison,%1%2%3
401005,Object comparison,%1%2%3
401201,Determine timer time,%1%2%3
500101,Set Value,Set %1 to %2
500102,Set String,Set %1 to %2
500103,Boolean Values Settings,Set %1 to %2
500104,Set Object,Set %1 to %2
500105,Set Location,Set %1 to %2
500106,Set Area,Set %1 to %2
500107,Set Players,Set %1 to %2
500108,Set Creature,Set %1 to %2
500201,Change Object Attribute,Make %1’s %2%3%4
500202,Waiting Time,Wait for %1 second(s) before executing the next node
500203,Send broadcast,Send broadcast %1
500204,Set Object Orientation,Set the Gradual Movement Duration of %1 Facing towards %2 for %3 second(s)
500205,Set Object's Team,Set %1's team to %2
500206,Change Appearance,Change the appearance of %1 to %2
500207,Replace Object,"Replace %1 with %2, %3 remains an HP Percentage"
500208,Mount Object,Mount %1
500209,Internal - Play Animation,"Animation with Play ID %1, lasts %2 second(s)"
500301,Change Player Attribute,Make player %1’s %2%3%4
500311,Change Player Attribute,Make %1’s %2%3%4
500401,Change Creature Attribute,Make creature %1’s %2%3%4
500411,Change Creature Attribute,Make %1’s %2%3%4
500412,Change Appearance,Change the appearance of %1 to %2
500413,Replace Creature,"Replace %1 with %2, %3 remains an HP Percentage"
500414,Mount Creature,Mount %1
500415,Create Creature,Create Creature %2 at %1
500416,Defeat Creature,Defeat %1
500417,Delete Creature,Delete %1
500418,Pick up Creature,Pick up %1
500419,Drop down picked-up creature,Drop down picked-up creature
500420,Set creature drops from death,"When setting the death of this unit, there is a %1% chance to drop %2 %3"
500501,Dig Blocks,"Approach %1 and dig, %2 block drops"
500502,Interact with blocks,Interact with %1’s blocks
500503,Destroy Block,"Destroy blocks at %1’s location, %2 block drops"
500504,Place Block,"Place %2 at %1, facing towards %3"
500505,Substitute Block,"Replace Block on %1 with %2, orienting %3"
500506,Destroy blocks within the area,"Destroy blocks within %1 at an interval of %2 seconds, %3 block drops"
500602,Stored Items,Store %1 %2 to %3
500603,Take out Backpack Items and hold them on hands,Take out %1 from Backpack and hold it on hands
500604,Create item and put it into Backpack,Create %1 and put it into Backpack
500605,Pick up nearby items and put them into Backpack,Pick up %2 within a %1-tile range nearby and put them into Backpack
500606,Create item and holding them on hands,Create %1 and holding them on hands
501201,Run Timer,Start %1
501202,Pause Timer,Pause %1
501203,Reset Timer,Restore %1
501204,Reset Timer,Reset %1
501401,Play special effects at designated location,"Play %2 at %1, with the size being %3"
501402,Play special effects on the object,"Play %2 on %1, with the size being %3"
501403,Delete special effects at designated location,Delete %1’s special effects %2
501404,Delete the special effects on Object,Delete special effects %2 on %1
501501,Play Audio,"Play %2 at %1 at volume %3, repeat for %4 time(s)"
510201,Move to Designated Location,"Move to %1 at the speed of %2, %3 is allowed to change its direction"
510202,Random Location Movement,"Move randomly within a %2-tile range centered on %1 at the speed of %3, %4 is allowed to change its direction"
510203,Move by Following the Object,"Move by following %1 while keeping a distance of %2 at the speed of %3, %4 is allowed to change its direction"
510204,Move by Following Designated Route,"Move by following %1 at the speed of %2, %3 goes back and forth"
510205,Move by Keeping Away from Location,"Move by keeping away from %1 at the speed of %2, with the duration of keeping away being %3 second(s)"
510206,Move Randomly within Area,"Move randomly within %1 at the speed of %2, and %3 is allowed to change its direction"
510207,Set Object’s Movement Mode,Set %1's movement mode to %2
510301,Melee Attack,Melee Attack %1 with an attack interval of %2 second(s) and attack range of %3 tile(s)
510302,Attack with Projectiles,"Ranged Attack %1 with an attack interval of %2 second(s) and attack range of %3 tile(s), tossing %4"
510303,Launch Projectiles by Using Weapons,Load %1 with %2 to attack %3 with an attack interval of %4 seconds and attack range of %5 tile(s)
510304,Perform charged attack with weapons,"Load %1 with %2 for a charged attack against %3, with a %4-second charge duration, %5-second attack interval, and 6-tile attack range"
510305,Internal - Perform successive attacks with a weapon for N time(s),Perform %2-phrase attack using %1 at %3 attack and %4-tile attack range
