ID,名称
ID,Name
10001,yavaş yavaş ortaya
10002,Yakınlaştır
10003,Uzaklaştır
20001,gözden kaybolmak
20002,Sakla yakınlaştır
20003,Saklamayı yakınlaştır
30001,titreyen
30002,vuruş
30003,kalp atışı
30004,salıncak
30005,rotasyon
30006,çevirmek
30007,Saat yönünde tarama
30008,Saat yönünün tersine tarama
30009,titreşim
40001,Daktilo
50001,Pürüzsüz hareket
50002,Pürüzsüz artış pozisyonu
50003,Pürüzsüz ölçeklendirme
50004,Genişlik ve yükseklikte pürüzsüz artış
50005,Pürüzsüz dönüş
50006,Pürüzsüz artış açısı
