ID,名字,Desc
ID,Name,Desc
1053,,
1054,,
1055,,
1056,Ekran Aplike,Karakterin ekran görüntüsünü aplike hale getirme
1057,Eylemi Durdur,Karakterin geçerli karede durmasını sağlama
1058,Dokuyu Değiştir,Karakterin dokusunu buz malzemesine dönüştürme
1059,Buz Özel Efekti,Karaktere buz özel efektleri ekleyin
1060,Sıcaklık değişimini sonlandırın,Durum sona erdiğinde karakterin sıcaklığını @2 olarak ayarlayın
1061,Özel efektleri ve ses efektlerini oynatmayı sonlandırın,Durum sona erdiğinde özel efektler ve ses efektleri çalma
1062,Sıcaklık süreyi etkiler,"Durumun süresi, çevredeki sıcaklığa bağlı olarak değişecektir"
1063,Kümülatif hasar alırken durumu kaldırın,Kümülatif @1 hasarı @2'ye ulaştığında durum kaldırılır
1064,Zaman İçinde Sıcaklığı Değiştirme,Karakterin sıcaklığını her @1s @2 ile değiştirin
1065,Görünür Sıcaklık Değişimi,Karakteri etkileyen ortam sıcaklığını @1 ile değiştirin
1066,Çevre Sıcaklık Değişimi,Karakterin etrafındaki @1 ızgaralardaki ortam sıcaklığını @2 artırın
1067,Blok Yoğuşma ve Erime,"Karakterin etrafındaki @1 ızgaralar içinde, yukarıda ve aşağıda @2 ızgara yükseklik farkı ile suyun donmasını sağlayın"
1068,Yakındaki blokları rastgele oluşturun,"Yarıçapı @1 ve yüksekliği @2 olan oyuncunun etrafındaki silindirik alanda, her @3s rastgele bir bloğun üst yüzeyinde @4 oluşturun"
1069,saldırganın durum kazanmasına neden olabilir,"@1 saldırıldığında, saldırganın @2% şansla @3 kazanmasına neden olabilir"
1070,Yiyeceklerin iyileştirme oranları değiştirildi,@1Yiyeceklerin@2iyileştirme kapasitesi arttı@3
