ID,名字
ID,EnumName
100203,Sıcaklık
100307,Elitlere zarar
100308,Zarar hayvanlara
100313,Donma Hasarı
100407,Zararlı yeteneklerden kaynaklı hasarlar.
100408,Yaratıkların neden olduğu hasarlar
100413,Donma Hasarı
100504,Yangına dayanıklılık
100505,Zehir direnci
100506,Karma dirençliği
100508,Dondurma direnci
100908,Donma Saldırısı
101007,Danno vero
101008,Donma Hasarı
101501,Düşük Sıcaklık
101502,Yüksek Sıcaklık
101601,Tüm
101602,Su Bloğu
101603,Quicksand Blok
101604,Bal Bloğu
101605,Lav Bloğu
101701,Hepsi
101702,Çiğ
101703,Grillenen
101704,Haşlanmış
101705,Tıp
101801,Hepsi
101802,Sağlık puanları
101803,Dayanıklık puanları
101804,Kalkanlar
101805,Resolve
101806,Oksijen
