ID,名称
ID,name
11311,Ülseratif kolit.
11423,Yabancılaşmış dev hindistancevizi yaprağı
11603,Düşük seviye saldırı runeları
11604,Orta Seviye Saldırı Rune
11605,Yüksek Seviye Saldırı Runesi
11606,Düşük savunma runik yazıtı
11607,Orta Seviye Savunma Runu
11608,Gelişmiş Savunma Runesi
11609,Düşük Verim İşareti
11610,Orta seviye verimlilik runu.
11611,Yüksek Verimli Rünler
11657,Parlayan kızdırma çubuğu
12615,çiğ yosun
12616,Hazine haritası cam şişe
13600,Fener balığı
13602,ışın
13604,Soluk mavi aptal balık
13605,Koyu mavi aptal balık
13606,Siyah aptal balık
13607,Soluk mavi garip balık
13608,Pembe çirkin balık
13609,Altın aptal balık
13610,Altın Cheetfish
13611,Altın çirkin balık
13612,Pembe aptal balık
13613,Sarı Kiki balığı
13614,Mor çirkin balık
13615,Yeşil Cheetfish
13616,Çizgili çirkin balık
13617,Kırmızı Cheetfish
13618,Kırmızı aptal balık
13619,Turuncu çirkin balık
13621,yengeç
13623,hipokampus
13624,Küçük denizatı
13626,denizanası
13627,Uçan balık
13628,köpekbalığı
13629,stingray
13630,kızdırma çubuğu yosun balığı
245,su bitkileri
247,Yüzen yaprakları
248,Yüzen tahta
250,Lotus
27,Uzakta sürüklenme şişesi
295,Büyük hindistancevizi
314,Kırmızı yosun
486,Cape mercan
487,Cape Beyazlatma Mercan
488,Kabarcık Mercan
489,Ağartılmış Kabarcık Mercan
490,disk mercan
491,Ağartılmış disk mercan
492,ağaç mercan
493,Albino ağacı mercan
