ID,名字,描述
ID,Name,Desc
3001,@Null@,@Null@
3002,@Null@,@Null@
3003,@Null@,@Null@
3004,@Null@,@Null@
3005,@Null@,@Null@
3006,@Null@,@Null@
3007,@Null@,@Null@
3008,@Null@,@Null@
3009,@Null@,@Null@
3010,Gezgin tüccar,@Null@
3011,Çöl Tüccarı,@Null@
3012,Buz Bölgesi Tüccarı,@Null@
3013,Noel Tüccarı,@Null@
3014,Yeni Yıl Tüccarı,@Null@
3015,Bahar Festivali Tüccarı,@Null@
3016,Yıldönümü Tüccarı,@Null@
3017,Çocuk bayramı Tüccarı,@Null@
3018,Evren Tüccarı,@Null@
3019,Yüzen ada tüccarı,@Null@
3020,Dilerim tüccar,@Null@
3021,Aşk Elçisi,
3022,Gezici Tüccar,
3023,Yedek ID,@Null@
3024,Yedek ID,@Null@
3025,Yedek ID,@Null@
3026,Yedek ID,@Null@
3027,Yedek ID,@Null@
3028,Yedek ID,@Null@
3029,Yedek ID,@Null@
3030,Yedek ID,@Null@
3031,Yedek ID,@Null@
3032,Yedek ID,@Null@
3033,Yedek ID,@Null@
3034,Yedek ID,@Null@
3035,Yedek ID,@Null@
3036,Yedek ID,@Null@
3037,Yedek ID,@Null@
3038,Yedek ID,@Null@
3039,Yedek ID,@Null@
3040,Yedek ID,@Null@
3095,Kaka.,
3096,Nini,
3097,Dashan,
3098,Scott Lee,
3099,Darwin Lee,
3100,@Null@,@Null@
3101,Boarman Savaşçısı,
3102,Jockey,@Null@
3103,Graviti,@Null@
3104,Gizemli Gezegen Adam,@Null@
3105,Boarman Mızrakçı,
3106,Festival Boarman,@Null@
3107,yarasa,
3108,Yedek ID,@Null@
3109,Patlayan Yumurta,@Null@
3110,Rooki,@Null@
3111,Frosti,@Null@
3112,Bulli,@Null@
3113,Rooki,@Null@
3114,Froosti,@Null@
3115,Buulli,@Null@
3116,Frocki,@Null@
3117,Roclli,@Null@
3118,Froslli,@Null@
3119,Yedek ID,@Null@
3120,Zorba kasap,@Null@
3121,Korkuluk,@Null@
3122,Zorba kasap (Evcilleştirilmiş),@Null@
3123,Sinirli uzaylı,@Null@
3124,Evcilleştirilmiş Rocki,@Null@
3125,Evcilleştirilmiş Frosti,@Null@
3126,Evcilleştirilmiş Bulli,@Null@
3127,Yedek ID,@Null@
3128,Yedek ID,@Null@
3129,Yedek ID,@Null@
3130,Lav devi,@Null@
3131,Sülfür Okçu,@Null@
3132,Kaos Okçu,@Null@
3133,Yedek ID,@Null@
3134,Yedek ID,@Null@
3135,Frost Boarman Şamanı,
3136,Yedek ID,@Null@
3137,Yedek ID,@Null@
3138,Yedek ID,@Null@
3139,Yedek ID,@Null@
3140,Yedek ID,@Null@
