姓或形容词（在最前）,男人名字,女人名字
Surname,Male,Female
,Dürüst Abdullah,Dürüst Asiye
,Sakin Adem,Sakin Aynur
,Komik Ahmet ,Komik Ayşe
,Nazik Ali ,Nazik Ayşegül
,Geçinmesi kolay Arif,Geçinmesi kolay Aysel
,Akıllı Bayram,Akıllı Ayten
,Bilge Bekir,Bilge Burcu
,Çalışkan Burak,Çalışkan Büşra
,Arkadaş canlısı Cemal,Arkadaş canlısı Cemile
,Cesur Emre,Cesur Cansu
,Sevecen Enes,Sevecen Derya
,Çocuksu Fatih,Çocuksu Dilek
,Unutkan Furkan,Unutkan Döndü
,Açgözlü Gökhan,Açgözlü Ebru
,İyimser Gölge,İyimser Ece
,Meddeci Hakan,Meddeci Ecrin
,Küstah Halil,Küstah Elif
,Açıksözlü Halil ibrahim,Açıksözlü Emine
,Gururlu Hasan,Gururlu Esma
,Güvenilir Hüseyin,Güvenilir Esra
,Sıcakkanlı İbrahim,Sıcakkanlı Fadime
,Konuşkan Kadir,Konuşkan Fatma
,Neşeli Kemal,Neşeli Filiz
,Cana yakın Mahmut,Cana yakın Gülsüm
,İyiliksever Mehmet,İyiliksever Hacer
,Dakik Mehmet ali,Dakik Halime
,Özgüven sahibi Metin,Özgüven sahibi Hanife
,İnatçı Muhammed,İnatçı Hatice
,Duygusal Muhammet,Duygusal Havva
,Bay Murat,Bay Hayriye
,Yaramaz Musa,Yaramaz Hülya
,Zeki Mustafa,Zeki Hümeyra
,Soğukkanlı Ömer,Soğukkanlı İsmail
,Yakşıklı  Onur,Güzel Kadriye
,Genç Orhan,Genç Kezban
,Kırılgan Osman,Kırılgan Kübra
,Dürüst Ramazan,Dürüst Leyla
,Sakin Recep,Sakin Melek
,Komik Şaban,Komik Merve
,Nazik Salih,Nazik Meryem
,Akıllı Şerife,Akıllı Rabia
,Bilge Serkan,Bilge Rukiye
,Çalışkan Şükrü,Çalışkan Selma
,Cesur Uğur,Cesur Sevim
,Sevecen Yakup,Sevecen Sibel
,Çocuksu Yaşar,Çocuksu Songül
,Unutkan Yasin,Unutkan Sultan
,Açgözlü Yilmaz,Açgözlü Tuğba
,İyimser Yunus,İyimser Yasemin
,Meddeci Yusuf,Meddeci Zehra
,Küstah Reşit,Küstah Zeliha
,Açıksözlü Raşit,Açıksözlü Zeynep
