ID,名称
ID,Name
11000000,küp
11000001,küre
11000002,silindir
11000003,koni
11000004,Kama
11000005,kase
11000006,yıldız
11000007,yarı silindir
11000008,masa
11000009,tezgah
11000010,tahta tahta
11000011,yarımküre
11000012,yüzük
11000013,yuvarlak kek
11000014,ağaç
11000015,valf
11000016,tezgah
11000017,Küp
11000018,çiçek
11000019,Ekmek ağacı
11000020,çit
11000021,şemsiye
11000022,uzun çubuk
11000023,çekiç
11000024,Çörekler
11000025,Waffle kurabiyesi
11000026,Yonca yaprağı
11000027,Kırmızı su borusu
11000028,Kırmızı elma
11000029,Mavi dönen tekerlek
11000030,Engelli koşu
11000031,Yapraklar
11000032,Sarı mantar
11000033,Gökkuşağı
11000035,
11000036,
11000037,
11000038,
11000039,
11000040,
11000041,
11000042,
11000043,
11000044,
11000045,
11000046,
11000047,
11000048,
11000049,
11000050,
11000051,
11000052,
11000054,
11000055,
11000056,
11000057,
11000058,
11000059,
11000060,
11000061,
11000062,
11000063,
11000064,
11000065,
11000066,
11000067,
11000068,
11000069,
11000070,
11000071,
11000072,
11000073,
11000074,
11000075,
11000076,
11000077,
11000078,
11000079,
