ID,任务名,任务描述,任务追踪
ID,Name,Desc,TrackDesc
1001001,kutsal meyveyi yerleştirin,"@item_587 #@1 'i yaşam kaidesine yerleştirin #r (""Kutsal Meyve"", ""The Past"" tarafından şimdiye kadarki en parlak genetik modifikasyon teknolojisini temsil eder.)",Hayat Taşı üzerine@item_587 yerleştirin
1001002,Alevli kırık kılıcı yerleştirin,"@item_588 #@1 Cesaret Taşı #r (""Alev Kırık Kılıç"", ""Eski"" ve ""Kara Ejder"" arasındaki uzun vadeli işbirliğinin sembolünü temsil eder.)",Cesaret Taşı üzerine@item_588# yerleştirin
1001003,Taş adamın gözünü koy,"Place@item_589 #@1 on the Wisdom Stone #r (""Taş Adamın Gözü"", ""Yaşlı Adam"" ın bir zamanlar gurur duyduğu yapay zekayı temsil ediyor.)",Bilgelik Taşı üzerine@item_589 # yerleştirin
1001004,Battle Void Phantom!,Boşluğun Hayaletini yenin! #r (Mini evren için geri dönüş yok!),Boşluğun hayaletini yen!
1001005,Boşlukla iletişime geç,@item_11333 ##r alın (Bu... yeni bir başlangıç?...),Al@item_11333 #
1002001,Mira 'ya dön,Sonunda gezegene sağ salim vardılar. #r ama yıldız zinciri ablukasını aştıklarında tüm ekip dağıldı. Gezegene gelen başka ortaklar var mı bilmiyorum?,Mira 'ya varmak
1002002,biraz taşa ihtiyacım var,"@item_110# Get@item_11627#@1 #r (toplamak için taşa uzun basın, ayrıca kontrol panelini açabilirsiniz,@item_104# get@item_11627# işleme arayüzünde)",Yakalama@item_110 # Yakalama@item_11627#@1
1002003,Daha fazla malzeme,"@item_11006#@1 almak için dalları toplayın#r (toplamak için dallara uzun basın, bazı ağaç dalları nispeten yüksek bir yerde büyür, kendinizi ne şekilde yukarı itebilirsiniz)",Ağaçtan@item_11006#@1 alın
1002004,İyi bir hayata başla ~,@item_11627# ve@item_11006# kullanarak@item_11002#@1#r (kullanışlı araçlar kaynakları daha hızlı toplayabilir),Açık Kontrol Panosu İşleme@item_11002#@1
1002005,oduncu,"El tipi@item_11002#, sandıkları toplayın!@item_11323#@1#r alın (@item_11323# önümüzdeki yolculukta çok önemlidir)",Doğrama Ağaçları Koleksiyonu@item_11323#@1
1002006,İnşaat uzmanı,"@item_206 #@1 #r işlemek için@item_11323 # kullanın (@item_206 # hariç, çoğu ahşap aksesuarın@item_11323 # kullanması gerekir, daha fazlasını toplayabilirsiniz)",İşleme@item_206 #@1
1002007,Yaşanacak yer,"Yer@item_206 #@1 #r (yıldız istasyonunun yakınında yeni gelen kırık bir ev var gibi görünüyor, belki@item_206 # ile tamir edilebilir, bu yüzden yaşamak için endişelenmenize gerek yok)",Yer@item_206 #@1
1002008,Arm Yourself,"Use @item_11323# and @item_11627# to craft @item_12012#@1#r (Surviving in the wilderness can be dangerous, so having a handy weapon is essential!)",Craft @item_12012#@1
1002009,Yap şunu!,Herhangi bir yaratığı yenin@1 #r (En iyi savunma saldırıdır? Yeni yapılmış silahı deneyin. Nasıl hissettiriyor),Herhangi bir yaratığı yen@1
1002010,Karanlıkta ışık!,"@item_11006# ve@item_11226# kullanarak@item_298#@1#r (Not! Küçük meşalenin sınırlı bir yanma süresi vardır ve söndürülürse yeniden kullanılması gerekir, ancak geçici bir aydınlatma aracı olarak hareket etmek kesinlikle sorun değildir)",İşleme@item_298#@1
1002011,şenlik ateşi,@item_298 # to light@item_1200 #@1 #r kullanın (yıldız istasyonunun yakınındaki kırık evde hazır@item_1200 # olabilir veya kendiniz işleyebilirsiniz.),Ateşle@item_1200 #@1
1002012,zanaatkar,"@item_800 #@1 'i işlemek için@item_11323 # ve@item_11627 # kullanın #r (zanaatkar masası, seyahat ve ev için bir zorunluluktur! Vay ~ daha fazla öğeyi işleyebilir)",İşleme@item_800 #@1
1002013,Hayatta kalmak için bir zorunluluk,"@item_828 #@1 #r işlemek için@item_12600 # ve@item_11226 # kullanın (işlerken@item_800 # kullanmanız gerekir. İşledikten sonra,@item_828 # 'i güvenli bir yere koymayı unutmayın, yakınlarda bir tehdit varsa uyuyamazsınız!)",İşleme@item_828 #@1
1002014,iyi dinlenmeler,"#r uyumak için@item_828 # kullanın (uzanmak için@item_828 # 'a tıklayın, ancak gündüz uyuyamazsınız, geceye kadar beklemeniz gerekir. Mira' da gece 20: 00 'de başlıyor, saate dikkat edin)",Yerleştirilen@item_828 # uyku üzerine tıklayın
1003001,"Barbekü, hoş kokulu!","@item_12513 # kamp ateşine koyun ve@item_12514 #@1 #r alın (hayvanların düşürdüğü etlerin çoğu kavrulabilir ve doğrudan vahşi doğada çiğ et yemek de çok tehlikelidir, lütfen yemeden önce kızartın!)",@item_1200 # almak için@item_12514 #@1 kullanın
1003002,Barbekü tarafından fethedildi,Biraz yiyin@item_12514 # gücünüzü yeniden kazanın@1 #r (yedikten sonra güç dolu hissedin!),Yemek@item_12514 #@1
1003003,mineral düşmanı,"@item_11012##r@item_11627# ve@item_11006# ile işlenmesi (@item_11012# ile mineralleri daha hızlı toplamak için, boş elle madencilik çok acı verici!)",İşleme@item_11012#@1
1003004,Yeni enerji?,"@item_11012 # dig@item_402 # get@item_11201 #@1 #r (@item_11201 #, Myra 'daki hem yerin üstünde hem de altında en yaygın eritme yakıtıdır, dikkat etmeyi unutmayın.)",Yakalama@item_402 #@1
1003005,Yepyeni mineraller!,El tipi@item_11012 # kazma@item_451 #@1 #r (@item_451 # Myra 'da yaygın olarak dağıtılır ve yerin üstünde ve altında çok fazla üretim vardır),Yakalama@item_451 #@1
1003006,Eritme masası işlemcisi,"@item_11226 # ve@item_101 # kullanarak@item_802 #@1 #r (@item_802 # ile metal koklayabilirsiniz, aracı saat başı yükseltme zamanı)",İşleme@item_802 #@1
