ID,Name,ChildName,Desc,Remarks
ID,Name,ChildName,Desc,Remarks
1010001,Hava değiştiğinde,Dünya,Hava her değiştiğinde,Hava güneşliden yağmurluya ve yağmurludan güneşliye değiştiğinde
1010002,Arazi grubundaki hava değiştiğinde,Dünya,Belirtirken |@1| 'in hava durumu değişiklikleri,"Ortak grup: ova / orman / uçurum / orman / havza / boş ada / nehir; okyanus grubu: plaj / derin deniz / sığ deniz / ada; çöl grubu: çöl / vaha; sıradan soğuk bölge: iğne yapraklı orman / buz alanı; tepe soğuk bölge: buzdağı; volkanik grup: yanardağ; sulak alan grubu: yağmur ormanı / bataklık; düz, boş ada"
1020001,Oyun oluşturulduğunda,Oyun Mantığı,Oyun oluşturulduğunda tetiklenir,Bittikten sonra oyun başladığında oyun geri sayımı 3，2，1'e girin
1020002,oyun içi zaman,Oyun Mantığı,Oyundaki süre |@1|noktada,Oyunun geçerli saati belirtilen zamanda olduğunda
1020003,Oyun çalışma süresi,Oyun Mantığı,Oyun çalışma süresi|@1|saniye sonra,Oyuna girdikten ve belirli bir süre koştuktan sonra
1020004,oyun zaferi,Oyun Mantığı,Herhangi bir oyuncu zaferi tetiklediğinde,@Null@
1020005,oyun bitti,Oyun Mantığı,Herhangi bir oyuncu tetiklemede başarısız olduğunda,@Null@
1020007,Oyuncu oyuna girer,Oyun Mantığı,Herhangi bir oyuncu oyuna girdiğinde,@Null@
1020008,Oyuncu oyunu terk eder,Oyun Mantığı,Herhangi bir oyuncu oyundan çıktığında,@Null@
1020009,Zamanlayıcı değişikliği,Oyun Mantığı,Herhangi bir zamanlayıcı değiştiğinde,Değişken kitaplığındaki herhangi bir zamanlayıcı değişkeni değiştiğinde
1020010,Zamanlayıcı değişikliğini belirtin,Oyun Mantığı,@1|Bir değişiklik olduğunda,Değişken kitaplığında belirtilen zamanlayıcı değişkeni değiştiğinde
1020011,Oyun ne zaman çalışırsa (döngü),Oyun Mantığı,Oyun her çalıştığında|@1|sn,"1. Minimum değer 0，05 saniyedir，0，01-0，09 0，05 olacaktır.
 2. Oyun，belirli bir süre boyunca (döngü) her çalıştırıldığında tetiklenir"
1020012,Harita bilgi aldığında,Oyun Mantığı,Harita herhangi bir dize bilgisi aldığında,@Null@
1030001,Oyuncu yenildi,Oyuncu,Herhangi bir oyuncu yenildiğinde,@Null@
1030002,Yeniden doğma,Oyuncu,Herhangi bir oyuncu dirildi,@Null@
1030003,Öznitelik Değişimi,Oyuncu,Herhangi bir oyuncu|@1|değiştir,Oyuncunun belirli bir özelliği，örneğin kan hacmi değiştiğinde
1030004,Hedefi Yen,Oyuncu,Herhangi bir oyuncu diğer oyuncuları veya herhangi bir yaratığı yener,Oyuncu diğer oyuncuları，yaratıkları yendiğinde. Yenilen oyuncu ve yaratık，etkinlikteki hedef oyuncu ve yaratıktır.
1030005,Saldırı,Oyuncu,Herhangi bir oyuncu saldırdığında,@Null@
1030006,Saldırı vuruşu,Oyuncu,Herhangi bir oyuncu saldırısı，herhangi bir oyuncuya veya yaratığa çarpar,Oyuncunun saldırısı diğer oyunculara veya yaratıklara çarptığında. Vurulan oyuncular ve yaratıklar，etkinlikteki hedef oyuncular ve yaratıklardır.
1030007,bazı hasarlara neden olmak,Oyuncu,Herhangi bir oyuncu，herhangi bir oyuncuya veya yaratığa zarar verir,Oyuncu diğer oyunculara veya yaratıklara zarar verdiğinde. Yaralı oyuncu ve yaratık，etkinlikteki hedef oyuncu ve yaratıktır.
1030008,Saldır,Oyuncu,Herhangi bir oyuncu hasar alır,@Null@
1030009,Hamle,Oyuncu,Herhangi bir oyuncu bir blok mesafe hareket ettiğinde,@Null@
1030010,Animasyonlu ifadeler kullanın,Oyuncu,Herhangi bir oyuncu animasyonlu ifadeler kullanır,@Null@
1030011,Öğeleri Kullan,Oyuncu,Herhangi bir oyuncu sahne kullanır,@Null@
1030012,Öğeleri Al,Oyuncu,Herhangi bir oyuncu sahne alır,@Null@
1030013,Öğeleri Tüket,Oyuncu,Herhangi bir oyuncu öğeleri tüketir,@Null@
1030014,Yaratığa Tıkla,Oyuncu,Herhangi bir oyuncu yaratığa tıklar,@Null@
1030015,Kareye Tıkla,Oyuncu,Herhangi bir oyuncu kareye tıklar,@Null@
1030016,Sür,Oyuncu,Herhangi bir oyuncu herhangi bir binek ve araca biner,@Null@
1030017,sürüşü iptal et,Oyuncu,Herhangi bir oyuncu sürüşü iptal eder,@Null@
1030018,Hareket Durumu Değişimi,Oyuncu,Herhangi bir oyuncu |@1| durumuna girdiğinde,@Null@
1030019,Çarpışma,Oyuncu,Herhangi bir oyuncu diğer oyuncularla/çetelerle çarpışır,@Null@
1030020,Öğe Al,Oyuncu,Herhangi bir oyuncu herhangi bir düşüşü alır,@Null@
1030021,Alana Gİr,Oyuncu,Herhangi bir oyuncu |@1|Saat girer,@Null@
1030022,Alandan Ayrıl,Oyuncu,Herhangi bir oyuncu|@1|Saat ayrılır,@Null@
1030023,Ekipman çubuğu değişiklikleri,Oyuncu,Herhangi bir oyuncunun ekipman çubuğu değişiklikleri,@Null@
1030024,Sırt Çantası Öğe Değişimi,Oyuncu,Herhangi bir oyuncunun sırt çantası envanteri değişiklikleri,@Null@
1030025,Hızlı envanter değişikliği,Oyuncu,Herhangi bir oyuncunun kısayol envanteri değişiklikleri,@Null@
1030026,Kısayol öğe çubuğunu seçin,Oyuncu,Herhangi bir oyuncu，kısayol çubuğunun herhangi bir seri numarasını seçer,@Null@
1030027,Eşya bırak,Oyuncu,Herhangi bir oyuncu öğeleri atar,@Null@
1030028,Zırhı giy,Oyuncu,Herhangi bir oyuncu ekipmanı koyar,@Null@
1030029,Zırhtan çık,Oyuncu,Herhangi bir oyuncu ekipmanı çıkarır,@Null@
1030030,Sohbet kutusu görüntüleme dizesi,Oyuncu,Sohbet kutusu ekranı|@1|,@Null@
1030031,Giriş dizesi,Oyuncu,Herhangi bir oyuncu sohbet kutusundan girer|@1,@Null@
1030032,Bas,Oyuncu,Herhangi bir oyuncu|@1|'e basar,@Null@
1030033,Uzun bas,Oyuncu,Herhangi bir oyuncu uzun basın|@1|,@Null@
1030034,Serbest bırak,Oyuncu,Herhangi bir oyuncu sürümü|@1|,@Null@
1030035,Durum efekti al,Oyuncu,Herhangi bir oyuncu durum efektini alır,@Null@
1030036,Durum efekti kaybet,Oyuncu,Herhangi bir oyuncu durum etkisini kaybeder,@Null@
1030037,Belirli durum efektini kaybet,Oyuncu,Herhangi bir oyuncu kaybeder|@1,@Null@
1030038,Seviye değişikliği,Oyuncu,Herhangi bir oyuncu seviyesi değişikliği,@Null@
1030039,Oyuncu sohbet bilgilerini girer (dize dahil),Oyuncu,Herhangi bir oyuncu sohbet kutusundan |@1| içeren bilgileri girer,Player sohbet kutusuna ve verildiğinde girdiğinde
1040001,Saldırıya uğrama,Yaratık,Herhangi bir yaratık hasar aldığında tetiklenir,
1040002,Saldırı,Yaratık,Herhangi bir yaratık saldırmaya başlar,
1040003,Saldırı vuruşu,Yaratık,Herhangi bir yaratık saldırısı，herhangi bir oyuncuya veya yaratığa çarpar,
1040004,bazı hasarlara neden olmak,Yaratık,Herhangi bir yaratık，herhangi bir oyuncuya veya yaratığa zarar verir,@Null@
1040005,Yaratık yenildi,Yaratık,Herhangi bir yaratık yenildiğinde,@Null@
