keyid,名字,属性描述
keyid,Name,AttrDesc
5001,Launch,%10 şansla geriye itme+yüksek atış
5002,Başlatma,%20 şansla savurarak +
5003,Başlatma,%30 şansla uzaklaştırma +
6001,Keskin,Yakın Dövüş Saldırısı+
6002,Keskin,Yakın Dövüş Saldırısı+
6003,Keskin,Yakın Dövüş Saldırısı+
7001,İnsan Avcısı,İnsan Avcısı+
7002,İnsan Avcısı,İnsan Avcısı+
7003,İnsan Avcısı,İnsan Avcısı+
8001,Beast Hunter,Beast Hunter +
8002,Beast Hunter,Beast Hunter +
8003,Beast Avcısı,Beast Avcısı +
9001,Elite Avcı,Elite Avcı +
9002,Elite Avcı,Elite Avcı +
9003,Elite Avcı,Elite Avcı +
10001,Yanıyor,Yanma Seviyesi
10002,Yanıyor,Yanma Seviyesi
10003,Yanıyor,Yanma Seviyesi
11001,İtme Mesafesi arttırıldı,İtme Mesafesi arttırıldı
11002,Vuruş Geri İtme Mesafesi arttırıldı,Vuruş Geri İtme Mesafesi arttırıldı
11003,Knockback Mesafesi arttı.,Knockback mesafesi artırıldı.
12001,Şanslı Avcılık,Şanslı Av Seviyesi
12002,Şanslı Avcılık,Şanslı Av Seviyesi
12003,Şanslı Avcılık,Şanslı Av Seviyesi
13001,Güçlü Çekim,Yay ve Ok Hasarı+
13002,Güçlü Çekim,Yay ve Ok Hasarı+
13003,Güçlü Çekim,Yay ve Ok Hasarı+
14001,Sınırsız Atış,Sınırsız Atış
14002,Sınırsız Atış,Sınırsız Atış
14003,Sınırsız Atış,Sınırsız Atış
15001,Dayanıklılık,Dayanıklılık+
15002,Dayanıklılık,Dayanıklılık+
15003,Dayanıklılık,Dayanıklılık+
16001,Yakın Dövüş Direnci,Yakın Dövüş Direnci+
16002,Yakın Dövüş Direnci,Yakın Dövüş Direnci+
16003,Yakın Dövüş Direnci,Yakın Dövüş Direnci+
17001,Aralıklı Direnç,Aralıklı Direnç+
17002,Aralıklı Direnç,Aralıklı Direnç+
17003,Aralıklı Direnç,Aralıklı Direnç+
18001,Patlama Direnci,Patlama Direnci+
18002,Patlama Direnci,Patlama Direnci+
18003,Patlama Direnci,Patlama Direnci+
19001,Yanma Direnci,Yanma Direnci+
19002,Yanma Direnci,Yanma Direnci+
19003,Yanma Direnci,Yanma Direnci+
20001,Zehir Direnci,Zehir Direnci+
20002,Zehir Direnci,Zehir Direnci+
20003,Zehir Direnci,Zehir Direnci+
21001,Kaos Direnişi,Kaos Direnci+
21002,Kaos Direnişi,Kaos Direnci+
21003,Kaos Direnişi,Kaos Direnci+
22001,Counterstrike,Yüzdelik olarak %15 şansı bulunur. Yakın dövüş birimlerine karşı karşı atağa geçer. + Karşı Saldırı
22002,Karşı saldırı,%30 şansla yakın dövüş birimlerine karşı karşı saldırı yapma +
22003,Karşı saldırı.,%45 olasılıkla yakın dövüş birimlerine karşı karşı saldırı yapma yeteneği +
23001,İtinayısı azaltıldı,Itinayısı azaltıldı
23002,Reddedilme Mesafesi Azaltıldı,Dizedi Reddedildiğinde Mesafe Azaltıldı
23003,İtme mesafesi azaltıldı,Vurulma mesafesi azaltıldı
24001,Komple Satın Alma,Komple Satın Alma
24002,Komple Satın Alma,Komple Satın Alma
24003,Komple Satın Alma,Komple Satın Alma
25001,Kazma Hızı,Kazma Hızı +
25002,Kazı Hızı,Kazı Hızı +
25003,Kazma hızı,Kazma hızı +
26001,Şanslı Kazı,Şanslı Kazma Seviyesi
26002,Şanslı Kazı,Şanslı Kazma Seviyesi
26003,Şanslı Kazı,Şanslı Kazma Seviyesi
27001,Patlama Atışı,Patlama Atışı+
27002,Patlama Atışı,Patlama Atışı+
27003,Patlama Atışı,Patlama Atışı+
28001,Ejderhanın Düşüşü,Düşme hasar-
28002,Ejderhanın Düşüşü,Düşme hasar-
28003,Ejderhanın Düşüşü,Düşme hasar-
29001,Mızrak Goblin,Mızrak Goblin+
29002,Mızrak Goblin,Mızrak Goblin+
29003,Mızrak Goblin,Mızrak Goblin+
30001,Yokuş aşağı (Greaves),"Havada çömelme, düşme hızı +"
30002,Yokuş aşağı (Greaves),"Havada çömelme, düşme hızı +"
30003,Yokuş aşağı (Greaves),"Havada çömelme, düşme hızı +"
31001,Duvar Tırmanışı (Ayakkabı),"Duvar Tırmanışını etkinleştir, ancak hız"
31002,Duvar Tırmanışı (Ayakkabı),"Duvar Tırmanışını etkinleştir, ancak hız"
31003,Duvar Tırmanışı (Ayakkabı),"Duvar Tırmanışını etkinleştir, ancak hız"
32001,Kanamak,Taşma Payı Seviyesi
32002,Kanamak,Taşma Payı Seviyesi
32003,Kanamak,Taşma Payı Seviyesi
33001,Yıldırım Kamçısı,Yıldırım Kırbaç Lvl 1
33002,Yıldırım Kamçısı,Yıldırım Kırbaç Lvl 2
33003,Yıldırım Kamçısı,Yıldırım Kırbaç Lvl 3
34003,Yıldırım Kamçısı,Yıldırım Kırbaç Lvl 4
35003,Yıldırım Kamçısı,Yıldırım Kırbaç Lvl 5
36001,Şanslı Balıkçılık,Şanslı Balıkçılık Seviyesi
36002,Şanslı Balıkçılık,Şanslı Balıkçılık Seviyesi
36003,Şanslı Balıkçılık,Şanslı Balıkçılık Seviyesi
37001,Soğuğa dayanıklı,Soğuğa dayanıklı+
37002,Soğuğa dayanıklı,Soğuğa dayanıklı+
37003,Soğuğa dayanıklı,Soğuğa dayanıklı+
38001,Donma Direnci,Donma Direnci+
38002,Donma Direnci,Donma Direnci+
38003,Donma Direnci,Donma Direnci+
39003,Alet Kutsaması,Alet Kutsaması
40003,Silah Kutsaması,Silah Kutsaması
41003,Ekipman Nimeti,Ekipman Nimeti
42001,Buz Hasarı,Buz Hasar Seviyesi
42002,Buz Hasarı,Buz Hasar Seviyesi
42003,Buz Hasarı,Buz Hasar Seviyesi
