id编号,标题,内容,作者,是否匿名
Id,Title,Context,Author,ShouldAnonymity
1,大海啊大海,啊~~大海~~都是水~~~啊~~沙漠~~都是沙~~~,沙漠商人,
2,很高興認識你,這位撿到我漂流瓶的朋友，我想你一定是個勇敢、積極、好看的人！也許還有一些不服輸的韌性。如果我沒猜錯的話，我一定是猜對了。,卡卡,
3,廢話文學,"我最近接觸到了一些廢話文學，比如這句：但凡你這話有點道理，也不至於一點道理也沒有。聽說適度地使用能打破一些尷尬的沉默起到活躍氣氛的作用，我還聽說魯迅先生也曾用“廢話”來營造氛圍，比如這句：在我的後園,可以看見牆外有兩株樹,一株是棗樹,還有一株也是棗樹。 ——《秋夜》",卡卡,
4,相信自己,如果你願意多花點時間了解，你就會發現其實我們都有很多優點，如果你願意多花時間照照鏡子，你就發現你其實長得很好看！自信一點，相信自己，你可以的！,卡卡,
5,做更好的自己,台上一分鐘，台下十年功！人生在世，最容易獲得的除了衰老，沒有其他，哪怕是長胖還要努力吃呢！所以如果有了目標，一定要努力努力再努力！想要擁有強健的體魄，就要不停鍛煉；想要擁有智慧的大腦，就要不停學習！與君共勉~,妮妮,
6,海洋風格家具,一日不見，如隔三秋。近來無恙否？上次你說，有空了就來看我，你現在有空了嗎？我這兩天新進了一批奇珍異寶，物美價廉，而且種類繁多，其中有一套海洋風格的家具，記得抽空過來呀，我在珊瑚島等你呀~,海島商人,
7,星辰花的味道,前兩天我在海上遇到了一位乘坐著皮筏出海的小哥，哎呀呀，就是看不起我們啊！居然坐著小皮筏就敢來，這等挑釁，我等豈能放過。雖說小哥的載具有點拿不出手，但戰利品卻是很豐富的，其中最讓我愛不釋手的，就是一種名叫星辰花的植物，那味道那顏色，簡直和我夢想中星辰大海的一模一樣，可惜這花不能久放，如果能有花種子就完美了…,假裝匿名的海盜獵手,
8,就等你來！,你來我船，成就夢想！這裡是穿越過海上風暴，找到了深海寶藏的航海時代先驅——黑帽子船長發布的招聘廣告，我們船上人才多，能文能武還做得一手美食，現在就等你來，有意者請聯繫我！,甜心瑪麗,
9,征服星辰大海,邁出你的第一步，不懼困難，不怕挫折，和我們一起，征服大海！我們的船隊現在停在漁村附近的淺海，在這裡暫時休整，如果你要來，要盡快！我們即將出發，開啟大航海時代！等你來，一起征服星辰大海！,黑帽子船長蒂奇,
10,,我需要更多黃沙、黃沙、黃沙…,某不原透露姓名的沙人,
11,無語！,一個晚霞漫天的黃昏，我想砍棵椰子樹，回家裝飾一下地板，結果被掉下來的椰子砸中，直接錯睡了一整夜，再睜眼的時候，太陽正高高掛在頭頂，哎，真是太丟人了，就不署名了吧~撿到我漂流瓶的有緣人，記得吸取我的教訓啊~,,1
12,三生萬色,調色板好好玩，拿2種顏色，就可以調和出豐富多彩的色彩來，讓我有了一生二，二生三，三生萬物的感悟，如果你還沒玩過，一定要感受一下呀，真是太有意思了。,妮妮,
13,沃沃獸,沃沃獸太可愛了，好想馴服一隻，再用點顏料給它也畫上圖騰，一定非常霸氣！,妮妮,
14,,我媽只讓我玩一個小時，我也太慘了，好想快點長大！,,1
15,,新版本好好玩，愛了愛了,,1
16,,作業終於做完了……有一起玩的友友嗎？,,1
17,鯊魚！大鯊魚！,嘿！我今天釣到了一條大鯊魚喲，超級大，比我們村的海神像都大，想要來看看嗎？我擺在村中央的曬魚架上了！,勝過傳奇的釣手,
18,,我爸雙十一給我買了少女團手辦嗚嗚嗚，好開心好開心,,1
19,巨大的紅杉樹,有一位遇到的冒險家送了我一棵樹的種子，我把它種下了，你猜它長成後有多大？它有紅色的葉子，特徵很明顯了吧！你猜到了嗎？簡直是比我們家門口的井還要大！十個人都合抱不過來！,沙漠村民,
20,更多形狀,新出的三角形方塊挺有意思的，我嘗試搭了一些建築，看起來還不錯呀，的確是突破了原來的方塊的感覺，希望官方能再多出一些其他的多邊形,,1
21,,距離寒假還有幾十天倒計時，噢耶噢耶！,,1
22,,發現學校圖書館裡有迷你聯盟大冒險，絕絕子,,1
23,,在網上和黑子對罵，氣死我了，不管怎麼樣迷你yyds!,,1
24,,關注迷你星工廠以來第一次中獎得皮膚，開心到中午吃了兩碗飯,,1
25,,最喜歡月無雙姐姐啦，表白表白,,1
26,,《龍響》能不能更快點啊，不夠看的……求迷你給黑叔加雞腿！,,1
27,沙漠和海洋相比,我還是覺得沙漠更有性價比，我這裡的貨物每樣都有大來頭，想要了解更詳細嗎？來找我吧，我當面和你講。,沙漠商人,
28,,妮妮總說三思而後行，但我的身體總能搶先一步動起來。,卡卡,
29,,寒假之前是期末考試。嗯，果然日子總是先苦後甜。,,1
30,,為什麼數學不能像語文一樣簡單明了呢？,,1
31,,生存還是考試，嗯，這是個問題。,,1
32,,如果能有時光機就好了啊，我要過一百遍暑假。,,1
33,,大家長大後想成為什麼？我想當一名作家！,,1
