ID,名字,描述
ID,Name,Desc
1001,示例移動速度,@Null@
1002,示例移動速度,@Null@
1003,示例移動速度,@Null@
2001,示例挖掘速度,@Null@
3001,緩慢生命恢復1級,每4秒恢復5點生命值。
3002,緩慢生命恢復2級,每2秒恢復5點生命值。
3003,緩慢生命恢復3級,每1秒恢復5點生命值。
4001,疾跑1級,基礎速度提高25%。
4002,疾跑2級,基礎速度提高50%。
4003,疾跑3級,基礎速度提高75%。
4004,疾跑4級,基礎速度提高75%。
5001,速泳1級,游泳速度提高25%。
5002,速泳2級,游泳速度提高50%。
5003,速泳3級,游泳速度提高75%。
6001,跳高高1級,跳躍高度提高
6002,跳高高2級,跳躍高度提高
6003,跳高高3級,跳躍高度提高，小心摔斷腿！
6004,跳高高4級,跳躍高度提高，小心摔斷腿！
6005,強化跑酷,基礎速度提高90%，跳躍提升25。
7001,瘋狂挖掘1級,挖掘速度提高25%。
7002,瘋狂挖掘2級,挖掘速度提高50%。
7003,瘋狂挖掘3級,挖掘速度提高75%。
8001,遲緩1級,基礎速度降低25%。
8002,遲緩2級,基礎速度降低50%。
8003,遲緩3級,基礎速度降低75%。
9001,挖掘疲勞1級,挖掘速度降低25%。
9002,挖掘疲勞2級,挖掘速度降低50%。
9003,挖掘疲勞3級,挖掘速度降低75%。
10001,吸收傷害1級,給予2點吸收傷害生命。
10002,吸收傷害2級,給予4點吸收傷害生命。
10003,吸收傷害3級,給予6點吸收傷害生命。
11001,暴擊1級,暴擊傷害提高25%。
11002,暴擊2級,暴擊傷害提高50%。
11003,暴擊3級,暴擊傷害提高75%。
12001,強力擊退1級,擊退距離新增2米。
12002,強力擊退2級,擊退距離新增4米。
12003,強力擊退3級,擊退距離新增6米。
13001,擊退抵抗1級,降低被擊退距離1米。
13002,擊退抵抗2級,降低被擊退距離2米。
13003,擊退抵抗3級,降低被擊退距離3米。
14001,挖掘幸運1級,獲得特殊掉落幾率提高1%。
14002,挖掘幸運2級,獲得特殊掉落幾率提高2%。
14003,挖掘幸運3級,獲得特殊掉落幾率提高3%。
15001,狩獵幸運1級,獲得特殊掉落幾率提高1%。
15002,狩獵幸運2級,獲得特殊掉落幾率提高2%。
15003,狩獵幸運3級,獲得特殊掉落幾率提高3%。
16001,夜視1級,視野亮度提高20。
16002,夜視2級,視野亮度提高40。
16003,夜視3級,視野亮度提高50。
16004,夜視4級,視野亮度提高60。
16005,夜視5級,視野亮度提高50。
17001,強力攻擊1級,近戰傷害提高25%。
17002,強力攻擊2級,近戰傷害提高50%。
17003,強力攻擊3級,近戰傷害提高75%。
18001,強力射擊1級,遠程傷害提高25%。
18002,強力射擊2級,遠程傷害提高50%。
18003,強力射擊3級,遠程傷害提高75%。
19001,強力爆炸1級,爆炸傷害提高25%。
19002,強力爆炸2級,爆炸傷害提高50%。
19003,強力爆炸3級,爆炸傷害提高75%。
20001,火焰攻擊1級,火焰傷害提高100%。
21001,毒素攻擊1級,毒素傷害提高100%。
22001,混亂攻擊1級,混亂傷害提高100%。
23001,精英獵手1級,對精英傷害提高25%。
23002,精英獵手2級,對精英傷害提高50％。
23003,精英獵手3級,對精英傷害提高75%。
24001,野獸獵手1級,對野獸傷害提高25％。
24002,野獸獵手2級,對野獸傷害提高50%。
24003,野獸獵手3級,對野獸傷害提高75%。
25001,人類獵手1級,對人類傷害提高25%。
25002,人類獵手2級,對人類傷害提高50%。
25003,人類獵手3級,對人類傷害提高75%。
26001,近戰防禦1級,降低25%受到的近戰傷害。
26002,近戰防禦2級,降低50%受到的近戰傷害。
