ID,名字,Desc
ID,Name,Desc
1001,改變移動速度,使角色的@1@2
1002,改變挖掘速度,使角色的挖掘速度@1
1003,改變傷害倍率,使角色造成的@1@2
1004,跳躍,使角色的跳躍力增加@1
1005,改變最大生命值/飢餓度,使角色的最大@1@2
1006,持續改變飢餓度,每隔@1秒使角色的飢餓度@2點
1007,持續恢復生命值,每隔@1秒持續恢復角色的生命值@2點
1008,持續受到傷害,每隔@1秒持續使角色受到@2點@3
1009,視野亮度,使角色的視野亮度@1
1010,受傷倍率,使角色受到的@1@2
1011,飢餓流失速度,使角色的飢餓度流失速度@1
1012,幸運,使角色@1時有@2的機率獲得@3倍掉落
1013,擊退強化,使角色擊退時的距離增加@1格
1014,擊退抵抗,使角色被擊退時的距離減少@1格
1015,模型體積,使角色的@1的體積@2
1016,改變模型,使角色的模型改變為@1
1017,暈頭轉向,使角色的移動操作，變為反向
1018,無敵,使角色無法被攻擊
1019,泡泡,使角色被泡泡包裹
1020,無法移動,使角色無法進行移動
1021,氧氣,使角色在@1環境中每隔@2秒氧氣值@3點
1022,吸收傷害,使角色獲得一個可以吸收@1傷害的護盾
1023,改變攻擊力,使角色的@1@2
1024,攻擊擊飛,使角色的近戰攻擊會將目標擊飛@1格
1025,攻擊附加狀態,使角色攻擊命中時有@1的機率對目標附加持續時間為@2秒的@3效果
1026,改變防禦值,使角色的@1@2
1027,反傷,使角色受到近戰攻擊的時有@1的機率對攻擊者造成@2點傷害
1028,爬牆,使角色在任意側面都可以像爬梯那樣移動
1029,生命值恢復速度,使角色的生命值恢復速度@1
1030,經驗獲取速度,使角色的經驗獲取速度@1
1031,體力值上限百分比,使角色的@1上限@2
1032,體力值上限值,使角色的@1上限@2
1033,持續恢復體力值,每隔@1秒恢復@2點體力值
1034,體力值消耗速率,使角色進行@1時，體力消耗@2
1035,體力值恢復速率,使角色處於@1時，體力恢復速度@2
1036,疲勞解除,角色體力值恢復至@1以上時，解除疲勞狀態
1037,禁食,無法使用食物道具
1038,狀態開始時產出掉落物,@1狀態開始時，使角色產生出@2
1039,持續產出掉落物,每隔@1秒，使角色產生出@2
1040,無法奔跑,使角色無法進行奔跑
1041,狀態結束時產出掉落物,@1狀態結束時，使角色產生出@2
1042,改變模型（皮膚）,使角色的模型改變為@1
1043,持續恢復生命值,每秒恢復自己和隊友的生命值2點
1044,持續受到傷害,每秒使怪物受到2點傷害
1045,消耗體力受到傷害,角色消耗體力時受到等量的@1
1046,執行動作時受到傷害,角色進行@1時受到@2點@3
1047,狀態免疫,角色免疫@1
1048,附增狀態,每隔@1秒使角色獲得@2
1049,禁止操作,禁止角色所有行為
1050,狀態類型免疫,角色免疫@1類的所有狀態
1051,墜落,使飛行生物跌落到地上
1052,禁止移動,禁止角色移動
1053,,
1054,,
1055,,
1056,螢幕貼花,使角色螢幕顯示貼花
1057,停止動作,使角色動作停在當前幀
1058,改變貼圖,使角色貼圖變為冰塊材質
1059,冰塊特效,在角色身上添加冰塊特效
1060,結束改變溫度,狀態結束時將角色的溫度設置為@2
1061,結束播放特效音效,狀態結束時播放特效和音效
1062,溫度影響持續時間,狀態時長會因為周圍溫度改變
1063,累計受到傷害解除狀態,累計受到@1傷害達到@2解除狀態
1064,持續改變溫度,每隔@1秒使角色溫度改變@2
1065,體感溫度改變,使角色受到的環境溫度改變@1
1066,改變周圍溫度,使角色周圍@1格內的環境溫度增加@2
1067,方塊凝結與融化,使角色周圍@1格，上下高度@2格內的水凝結
1068,周圍隨機生成方塊,在玩家周圍半徑@1高度@2的圓柱範圍內，每隔@3秒隨機一個方塊頂面生成@4
1069,使攻擊者獲得狀態。,受到@1次攻擊時，有@2%機率使攻擊者獲得@3
1070,食物恢復量倍率改變,@1食物的@2恢復量提高@3
