ID,名字,描述
ID,Name,Desc
1,坐騎寶寶,擁有這個技能的坐騎，在地圖中玩一段時間後，會產出1個坐騎寶寶，可以送給房間中的其他小夥伴。
2,衝刺,蓄力期間移動速度增加30%。
3,踏水,可以在水面上快速行走，但不可以在水面上跳躍。
4,超跳,擁有超強的跳躍能力。
5,滑翔,可以在空中乘風滑翔。
6,炎走,可以在岩漿表面行走。
7,疾沖,跳躍後在空中按下跳躍鍵，會往面朝方向疾速衝刺。
9,雙騎,可以乘載兩名乘客，帶上你的小夥伴吧~
10,蹦躍,可以不斷使用跳躍鍵向上飛，但下墜得特別快哦。
11,頑強,擁有較高的生命力。
12,浮水,可以浮在水面。
13,潛泳,可以潛入水中遨遊。
14,激流,在水中按下跳躍鍵，會往面朝方向疾速突進。
15,汽車人突擊,向前衝刺撞擊
16,霸天虎導彈,直線發射導彈
17,黃蜂突刺,向前衝刺一段時間
18,飛撲,長按跳躍鍵蓄滿力，跳躍落地時對前方生物施加減速buff。
19,威懾,長按跳躍鍵蓄滿力，跳躍落地時可以短距離擊退前方生物。
20,漂浮,可以漂浮在空中進行短距離飛行，下落過程不會掉血。
21,飛行,可以在空中飛行一段距離，下落過程不會掉血。
22,雙騎,可以乘載兩名乘客，帶上你的小夥伴吧~
23,能量盾,可以形成一個防護盾保護你和你的同伴。
24,單騎,可以乘載一名乘客。
25,空中警報,可以在空中飛行一段距離，下落過程不會掉血。
26,紅色閃電,向前衝刺一段時間
27,聚變激光,直線發射導彈
28,炎獄火,點擊攻擊鍵可噴出火焰，對前方生物施加灼燒Debuff
29,幽冥火,點擊攻擊鍵可噴出火焰，對前方生物施加灼燒Debuff
30,振翅,長按跳躍鍵可以在空中進行短距離飛行，下落過程不會掉血
31,展翼,長按跳躍鍵可以在空中進行較長距離飛行，下落過程不會掉血
32,暴龍咆哮,點擊攻擊鍵咆哮，對前方生物施加減速buff
33,迅捷之翼,長按跳躍鍵可以在空中進行短距離飛行，下落過程不會掉血
34,骨刺橫掃,點擊攻擊鍵可甩動尾部，對後方扇形區域生物造成3點傷害
35,星光,向上發射星星進行照明，冷卻時間15秒。
36,月生,長按跳躍鍵可以在空中進行短距離飛行，下落過程不會掉血
37,時間告急,向前急速奔跑一段時間
38,雙騎,可以乘載兩名乘客，帶上你的小夥伴吧~
39,踏雪行,可以踩著雪花在空中行走，下落過程不會掉血
40,嘟嘟車衝啊,使用可以發出車喇叭的聲音，車前燈閃爍
41,五穀豐登,使用後向四周投擲元寶、銅幣
42,四人同行,可以乘載4名乘客，帶上你的小伙伴吧。
43,星河穿梭,可以在空中飛行一段距離，下落過程不會掉血
44,鯨之浮島,可以潛入水中遨遊
45,蠻牛之力震懾,長按跳躍鍵蓄滿力，跳躍落地時對前方生物施加減速buff。
46,蠻牛之力強擊,長按跳躍鍵蓄滿力，跳躍落地時可以短距離擊退前方生物。
47,飛花,可以在空中飛行一段距離，下落過程不會掉血
48,驚鴻,可以在空中飛行一段距離，下落過程不會掉血
49,葉舞,使用身邊會飄散葉片
50,日輪,使用獲得一個可以吸收20傷害的護盾
51,神光,使用使玩家傷害提升5%
52,魔法煙花,滿足蓄力條件，跳躍落地時觸發，坐騎周圍會燃放煙花、播放音效
53,華麗煙花,滿足蓄力條件，跳躍落地時觸發，坐騎周圍會燃放精緻華麗的煙花、播放音效
54,衝鋒,向前衝鋒
55,衝擊,向前衝鋒，並且可以短距離擊退前方生物。
