ID,名称
ID,Name
11000000,立方體
11000001,球體
11000002,圓柱體
11000003,圓錐
11000004,楔形
11000005,碗
11000006,星星
11000007,半圓柱
11000008,桌子
11000009,板凳
11000010,木板
11000011,半球
11000012,泳圈
11000013,圓餅
11000014,樹
11000015,閥門
11000016,長凳
11000017,方塊
11000018,花
11000019,麪包樹
11000020,柵欄
11000021,雨傘
11000022,長棍
11000023,錘子
11000024,甜甜圈
11000025,威化餅
11000026,三葉草
11000027,紅水管
11000028,紅蘋果
11000029,藍轉盤
11000030,跨欄
11000031,葉子
11000032,黃蘑菇
11000033,彩虹
11000035,
11000036,
11000037,
11000038,
11000039,
11000040,
11000041,
11000042,
11000043,
11000044,
11000045,
11000046,
11000047,
11000048,
11000049,
11000050,
11000051,
11000052,
11000054,
11000055,
11000056,
11000057,
11000058,
11000059,
11000060,
11000061,
11000062,
11000063,
11000064,
11000065,
11000066,
11000067,
11000068,
11000069,
11000070,
11000071,
11000072,
11000073,
11000074,
11000075,
11000076,
11000077,
11000078,
11000079,
