ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
ID,Name,Desc,BuyTips,EffectDesc1,EffectDesc2,EffectDesc3,EffectDesc4,EffectDesc5,EffectDesc6
1,胖噠,傲嬌的熊貓男孩，最愛嘎嘣脆的竹子！,裝扮卡片可在家園果實中獲得！,行走足跡：走過的地方會留下熊貓腳印。,頭像：解鎖胖噠頭像。,@Null@,,,
2,齊天小聖,猴年春節限量發售，齊天小聖陪你歡度新春！,裝扮卡片可在家園果實中獲得！,行走足跡：走過的地方會留下祥雲。,頭像：解鎖齊天小聖頭像。,@Null@,,,
3,兔美美,萌萌噠兔女孩，走過的地方會留下蘿蔔腳印。,裝扮卡片可在家園果實中獲得！,行走足跡：走過的地方會留下蘿蔔腳印。,頭像：解鎖兔美美頭像。,@Null@,,,
4,迷斯拉,嘩嘩嘩！在原始世界要小心迷斯拉！,裝扮卡片可在家園果實中獲得！,行走足跡：走過的地方會留下恐龍爪印。,頭像：解鎖迷斯拉頭像。,@Null@,,,
5,琉璃醬,叮！呤~歡迎來到喵喵咖啡廳！,解鎖道具可在家園果實中獲得。,行走足跡：走過的地方會留下貓咪腳印。,頭像：解鎖琉璃醬頭像。,@Null@,,,
6,喬治,喜歡運動和音樂的陽光少年。,解鎖道具可在家園果實中獲得。,行走足跡：走過的地方會留下藍色愛心。,頭像：解鎖喬治頭像。,@Null@,,,
7,安妮,喜歡跳舞和點心的元氣少女。,解鎖道具可在家園果實中獲得。,行走足跡：走過的地方會留下紅色愛心。,頭像：解鎖安妮頭像。,@Null@,,,
8,墨家小飛,古老的墨家一員，是製作機關的高手。,@Null@,行走足跡：走過的地方會留下風之翼。,頭像：解鎖機關師頭像。,創造模式特殊飛行動作,創造模式飛行特效,,
9,德古拉六世,接受了初擁的王室後裔，永遠高雅、冷酷。,解鎖道具可在家園果實中獲得。,身體特效：身上散發著血霧與黑色蝙蝠。,頭像：解鎖伯爵頭像。,@Null@,,,
10,叮叮噹,歡樂聖誕穀中生活的小麋鹿，淘氣可愛。,@Null@,身體特效：身上散發聖誕光環！,頭像：解鎖鹿蝶兒頭像。,行走足迹：走過的地方會留下聖誕鹿脚印,,,
11,荒原獵人雪諾,勇敢的雪諾來自極地，雄鷹都成為他的朋友。,@Null@,身體特效：身上散發著涼涼的雪花,頭像：解鎖雪諾頭像。,行走足迹：走過的地方會留下雪球脚印,,,
12,羽姬,落到凡間的仙子，偶然間邂逅了慕容笑天,@Null@,身體特效：身上飄散著花瓣,頭像：解鎖羽姬頭像。,@Null@,,,
13,慕容笑天,出山修行的隱士，偶然間邂逅了羽姬。,@Null@,身體特效：身上散發著真氣,頭像：解鎖慕容笑天頭像。,行走足迹：走過的地方會留下脚印,,,
14,西部警長喬伊,哦，對不起，也許我的子彈並不那麼喜歡你,@Null@,身體特效：身上散發著真氣,頭像：解鎖西部警長喬伊頭像。,行走足迹：走過的地方會留下警星脚印,,,
15,籃球隊長盧卡斯,犀利的意識，飄逸的走位，華麗的扣籃，掌控全場的藝員。,@Null@,@Null@,頭像：解鎖小前鋒盧卡斯頭像。,行走足迹：走過的地方會留下籃球脚印,,,
16,啦啦隊長克雷爾,和盧卡斯一樣，她在場能吸引所有人的目光，魅力四射。,@Null@,@Null@,頭像：解鎖啦啦隊長克萊爾頭像。,行走足迹：走過的地方會留下彩帶脚印,,,
17,西部玫瑰露西,嗯哼，我的子彈或許喜歡你,@Null@,身體特效：散發著迷人愛心！,頭像：解鎖露西頭像,@Null@,,,
18,黑帽子船長蒂奇,瑪麗，我要成為最負盛名的海盜船長，搜尋大海盡頭的寶藏！,@Null@,@Null@,頭像：解鎖船長頭像,行走足迹：走過的地方會留下脚印,,,
19,甜心瑪麗,那我就做最負盛名的海盜船長的小跟班~,@Null@,身體特效：散發著迷人愛心！,頭像：解鎖頭像,@Null@,,,
20,程錦衣,小樓昨夜又東風，故國不堪回首月明中,@Null@,行走足迹：脚底生風,頭像：解鎖頭像,@Null@,,,
21,花小樓,回想故國還在時與哥哥壹起夜觀煙火，如今卻天涯淪落不知人在何方,@Null@,身體特效：飄著朵朵桃花,頭像：解鎖頭像,@Null@,,,
22,莉莉絲,不給糖吃就搗蛋！,@Null@,身體特效：散發女巫氣息,頭像：解鎖頭像,@Null@,,,
23,月無雙,本姑娘可不是那麼好欺負的，哼，人家超厲害的！,@Null@,身體特效：身上散發藍花,頭像：解鎖包子頭像,@Null@,,,
24,小龍,小師妹的世界，由我來守護！,@Null@,行走足跡：走過的地方留下黑色煙霧。,頭像：解鎖葉小龍頭像。,@Null@,,,
25,二郎神,人間竟有如此美妙之地，吾定保此地平安！,@Null@,身體特效：身上散發著天罡正氣。,頭像：解鎖二郎神頭像。,@Null@,,,
