ID,初始描述,选后描述
ID,DefaultDesc,AfterDesc
1,是,@Null@
2,否,@Null@
3,7點,@Null@
4,9點,@Null@
5,12點,@Null@
6,18點,@Null@
7,24點,@Null@
8,自訂,自訂$Num點
9,默認,@Null@
10,只有晴天,@Null@
11,只有雨雪,@Null@
12,1,@Null@
13,2,@Null@
14,3,@Null@
15,4,@Null@
16,5,@Null@
17,6,@Null@
18,0.1倍重力,@Null@
19,0.4倍重力,@Null@
20,0.6倍重力,@Null@
21,1倍重力(默認),@Null@
22,5倍重力,@Null@
23,自訂0.1-10,自訂$Num
24,主視角,@Null@
25,背視角,@Null@
26,正視角,@Null@
27,鎖定主視角,@Null@
28,鎖定背視角,@Null@
29,鎖定正視角,@Null@
30,房主開啟,@Null@
31,達到人數自動開啟,@Null@
32,無,@Null@
33,不限時間,@Null@
34,2分鐘,@Null@
35,5分鐘,@Null@
36,10分鐘,@Null@
37,自定(1-999分),自訂$Num分鐘
38,10分,@Null@
39,50分,@Null@
40,100分,@Null@
41,自定(1-999分),自訂$Num分
42,立即再次挑戰,@Null@
43,倒計時5秒,@Null@
44,自定(1-999秒),自訂$Num秒
45,5秒,@Null@
46,10秒,@Null@
47,無限,@Null@
48,無音樂,@Null@
49,bgm1(加速世界),@Null@
50,bgm2(古靈精怪),@Null@
51,bgm3(中國風),@Null@
52,bgm4(戰鬥！),@Null@
53,bgm5(孤獨上帝),@Null@
54,bgm6(解密氛圍),@Null@
55,bgm7(Bomb！),@Null@
56,bgm8（足球場）,@Null@
57,自由攻擊,@Null@
58,禁止攻擊玩家,@Null@
59,隊伍間攻擊,@Null@
60,晴雨交錯(默認),@Null@
61,不需要分數,@Null@
62,默認按地圖設置,@Null@
63,隨機到小隊集合點,@Null@
64,到最近小隊集合點,@Null@
65,可見,@Null@
66,不可見,@Null@
67,正常掉落,@Null@
68,清空背包,@Null@
69,保留物品,@Null@
70,不限條件自動開啟,@Null@
71,所有人可見,@Null@
72,己方隊伍可見,@Null@
73,敵方隊伍可見,@Null@
74,全部不可見,@Null@
75,默認(根據分數),@Null@
76,全體勝利,@Null@
77,全體失敗,@Null@
78,鎖定俯視角,@Null@
79,立即復活,@Null@
80,2,@Null@
81,5,@Null@
82,13,@Null@
83,自訂(1-99),自訂$Num
84,10,@Null@
85,20,@Null@
86,40,@Null@
87,自訂(1-40),自訂$Num
88,鎖定自定義視角,@Null@
89,0,@Null@
90,120,@Null@
91,自由觀戰,@Null@
92,跟隨屏幕,@Null@
93,可切換,@Null@
94,掉落箱子,@Null@
95,@Null@,@Null@
96,@Null@,@Null@
105,俯視角,
106,自定義視角,
107,惡劣天氣,
108,下雪,
109,沙塵暴,
110,暴風雨,
111,暴風雪,
112,掉落罐子,
